# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
3.74400,0.0,-1683.00
3.75960,0.0,-1665.00
3.77526,0.0,-1647.00
3.79100,0.0,-1629.00
3.80679,0.0,-1611.00
3.82265,0.0,-1593.00
3.83858,0.0,-1575.00
3.85457,0.0,-1557.00
3.87064,0.0,-1539.00
3.88676,0.0,-1521.00
3.90296,0.0,-1503.00
3.91922,0.0,-1485.00
3.93555,0.0,-1467.00
3.95195,0.0,-1449.00
3.96841,0.0,-1431.00
3.98495,0.0,-1413.00
4.00155,0.0,-1395.00
4.01823,0.0,-1377.00
4.03497,0.0,-1359.00
4.05178,0.0,-1341.00
4.06866,0.0,-1323.00
4.08562,0.0,-1305.00
4.10264,0.0,-1287.00
4.11973,0.0,-1269.00
4.13690,0.0,-1251.00
4.15414,0.0,-1233.00
4.17145,0.0,-1215.00
4.18883,0.0,-1197.00
4.20628,0.0,-1179.00
4.22381,0.0,-1161.00
4.24141,0.0,-1143.00
4.25908,0.0,-1125.00
4.27682,0.0,-1107.00
4.29464,0.0,-1089.00
4.31254,0.0,-1071.00
4.33051,0.0,-1053.00
4.34855,0.0,-1035.00
4.36667,0.0,-1017.00
4.38487,0.0,-999.00
4.40314,0.0,-981.00
4.42148,0.0,-963.00
4.43990,0.0,-945.00
4.45840,0.0,-927.00
4.47698,0.0,-909.00
4.49564,0.0,-891.00
4.51437,0.0,-873.00
4.53318,0.0,-855.00
4.55207,0.0,-837.00
4.57103,0.0,-819.00
4.59008,0.0,-801.00
4.60920,0.0,-783.00
4.62841,0.0,-765.00
4.64769,0.0,-747.00
4.66706,0.0,-729.00
4.68651,0.0,-711.00
4.70603,0.0,-693.00
4.72564,0.0,-675.00
4.74533,0.0,-657.00
4.76510,0.0,-639.00
4.78496,0.0,-621.00
4.80489,0.0,-603.00
4.82492,0.0,-585.00
4.84502,0.0,-567.00
4.86521,0.0,-549.00
4.88548,0.0,-531.00
4.90583,0.0,-513.00
4.92628,0.0,-495.00
4.94680,0.0,-477.00
4.96741,0.0,-459.00
4.98811,0.0,-441.00
5.00889,0.0,-423.00
5.02977,0.0,-405.00
5.05072,0.0,-387.00
5.07177,0.0,-369.00
5.09290,0.0,-351.00
5.11412,0.0,-333.00
5.13543,0.0,-315.00
5.15683,0.0,-297.00
5.17831,0.0,-279.00
5.19989,0.0,-261.00
5.22156,0.0,-243.00
5.24331,0.0,-225.00
5.26516,0.0,-207.00
5.28710,0.0,-189.00
5.30913,0.0,-171.00
5.33125,0.0,-153.00
5.35346,0.0,-135.00
5.37577,0.0,-117.00
5.39817,0.0,-99.00
5.42066,0.0,-81.00
5.44325,0.0,-63.00
5.46593,0.0,-45.00
5.48870,0.0,-27.00
5.51157,0.0,-9.00
5.53453,0.0,9.00
5.55760,0.0,27.00
5.58075,0.0,45.00
5.60401,0.0,63.00
5.62736,0.0,81.00
5.65080,0.0,99.00
5.67435,0.0,117.00
5.69799,0.0,135.00
5.72173,0.0,153.00
5.74557,0.0,171.00
5.76951,0.0,189.00
5.79355,0.0,207.00
5.81769,0.0,225.00
5.84193,0.0,243.00
5.86627,0.0,261.00
5.89072,0.0,279.00
5.91526,0.0,297.00
5.93991,0.0,315.00
5.96466,0.0,333.00
5.98951,0.0,351.00
6.01447,0.0,369.00
6.03953,0.0,387.00
6.06469,0.0,405.00
6.08996,0.0,423.00
6.11534,0.0,441.00
6.14082,0.0,459.00
6.16640,0.0,477.00
6.19210,0.0,495.00
6.21790,0.0,513.00
6.24381,0.0,531.00
6.26982,0.0,549.00
6.29595,0.0,567.00
6.32218,0.0,585.00
6.34852,0.0,603.00
6.37497,0.0,621.00
6.40154,0.0,639.00
6.42821,0.0,657.00
6.45499,0.0,675.00
6.48189,0.0,693.00
6.50890,0.0,711.00
6.53602,0.0,729.00
6.56325,0.0,747.00
6.59060,0.0,765.00
6.61806,0.0,783.00
6.64563,0.0,801.00
6.67332,0.0,819.00
6.70113,0.0,837.00
6.72905,0.0,855.00
6.75709,0.0,873.00
6.78524,0.0,891.00
6.81351,0.0,909.00
6.84190,0.0,927.00
6.87041,0.0,945.00
6.89904,0.0,963.00
6.92778,0.0,981.00
6.95665,0.0,999.00
6.98564,0.0,1017.00
7.01474,0.0,1035.00
7.04397,0.0,1053.00
7.07332,0.0,1071.00
7.10279,0.0,1089.00
7.13239,0.0,1107.00
7.16211,0.0,1125.00
7.19195,0.0,1143.00
7.22192,0.0,1161.00
7.25201,0.0,1179.00
7.28222,0.0,1197.00
7.31257,0.0,1215.00
7.34303,0.0,1233.00
7.37363,0.0,1251.00
7.40435,0.0,1269.00
7.43521,0.0,1287.00
7.46619,0.0,1305.00
7.49729,0.0,1323.00
7.52853,0.0,1341.00
7.55990,0.0,1359.00
7.59140,0.0,1377.00
7.62303,0.0,1395.00
7.65480,0.0,1413.00
7.68669,0.0,1431.00
7.71872,0.0,1449.00
7.75088,0.0,1467.00
7.78317,0.0,1485.00
7.81560,0.0,1503.00
7.84817,0.0,1521.00
7.88087,0.0,1539.00
7.91371,0.0,1557.00
7.94668,0.0,1575.00
7.97979,0.0,1593.00
8.01304,0.0,1611.00
8.04643,0.0,1629.00
8.07996,0.0,1647.00
8.11362,0.0,1665.00
