star name,star M [M_sun],star Teff [K],star R [R_sun],star D [pc],star magk,star ra [deg],star dec [deg]
chk_k6,1,5000,1,20,6,90,18
chk_k8,1,5000,1,20,8,90,18
T2500,1,2500,1,20,8,90,18
T2750,1,2750,1,20,8,90,18
T3000,1,3000,1,20,8,90,18
T3250,1,3250,1,20,8,90,18
T3500,1,3500,1,20,8,90,18
T3750,1,3750,1,20,8,90,18
T4000,1,4000,1,20,8,90,18
T4250,1,4250,1,20,8,90,18
T4500,1,4500,1,20,8,90,18
T4750,1,4750,1,20,8,90,18
T5000,1,5000,1,20,8,90,18
T5250,1,5250,1,20,8,90,18
T5500,1,5500,1,20,8,90,18
T5750,1,5750,1,20,8,90,18
T6000,1,6000,1,20,8,90,18
T6250,1,6250,1,20,8,90,18
T6500,1,6500,1,20,8,90,18
T6750,1,6750,1,20,8,90,18
T7000,1,7000,1,20,8,90,18
T7250,1,7250,1,20,8,90,18
T7500,1,7500,1,20,8,90,18
