# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
1.05600,0.0,-720.00
1.06480,0.0,-702.00
1.07367,0.0,-684.00
1.08262,0.0,-666.00
1.09164,0.0,-648.00
1.10074,0.0,-630.00
1.10991,0.0,-612.00
1.11916,0.0,-594.00
1.12849,0.0,-576.00
1.13789,0.0,-558.00
1.14737,0.0,-540.00
1.15694,0.0,-522.00
1.16658,0.0,-504.00
1.17630,0.0,-486.00
1.18610,0.0,-468.00
1.19599,0.0,-450.00
1.20595,0.0,-432.00
1.21600,0.0,-414.00
1.22613,0.0,-396.00
1.23635,0.0,-378.00
1.24666,0.0,-360.00
1.25704,0.0,-342.00
1.26752,0.0,-324.00
1.27808,0.0,-306.00
1.28873,0.0,-288.00
1.29947,0.0,-270.00
1.31030,0.0,-252.00
1.32122,0.0,-234.00
1.33223,0.0,-216.00
1.34333,0.0,-198.00
1.35453,0.0,-180.00
1.36581,0.0,-162.00
1.37720,0.0,-144.00
1.38867,0.0,-126.00
1.40025,0.0,-108.00
1.41191,0.0,-90.00
1.42368,0.0,-72.00
1.43554,0.0,-54.00
1.44751,0.0,-36.00
1.45957,0.0,-18.00
1.47173,0.0,0.00
1.48400,0.0,18.00
1.49636,0.0,36.00
1.50883,0.0,54.00
1.52141,0.0,72.00
1.53409,0.0,90.00
1.54687,0.0,108.00
1.55976,0.0,126.00
1.57276,0.0,144.00
1.58586,0.0,162.00
1.59908,0.0,180.00
1.61241,0.0,198.00
1.62584,0.0,216.00
1.63939,0.0,234.00
1.65305,0.0,252.00
1.66683,0.0,270.00
1.68072,0.0,288.00
1.69472,0.0,306.00
1.70885,0.0,324.00
1.72309,0.0,342.00
1.73745,0.0,360.00
1.75192,0.0,378.00
1.76652,0.0,396.00
1.78125,0.0,414.00
1.79609,0.0,432.00
1.81106,0.0,450.00
1.82615,0.0,468.00
1.84137,0.0,486.00
1.85671,0.0,504.00
1.87218,0.0,522.00
1.88779,0.0,540.00
1.90352,0.0,558.00
1.91938,0.0,576.00
1.93537,0.0,594.00
1.95150,0.0,612.00
1.96777,0.0,630.00
1.98416,0.0,648.00
2.00070,0.0,666.00
2.01737,0.0,684.00
2.03418,0.0,702.00
