component,explained_variance_ratio,ch4_share,o3_share
0,0.9714898580661767,0.1454423782359385,0.6729018387708792
1,0.012585412217344626,0.020213990179890194,0.007571759264031223
2,0.008113435371559213,0.24085961894709979,0.0013102226591608348
3,0.0038867691942091605,0.5631736617238908,0.025616445755249902
4,0.001204990136960977,0.007133243270268547,0.277568215403793
5,0.0007821131944495938,0.019269746480655766,2.7884900475974196e-06
6,0.0007523739362549583,0.0011235630569425652,0.004638177170678532
7,0.0002558669648895215,0.0002519830255069795,0.000409533241394565
8,0.00021812414725231515,0.00014538579300624242,0.001977847503805435
9,0.00012191756637966907,3.5690752148732144e-05,0.004671694862925762
10,9.765151235962705e-05,0.0008329961539394818,4.296700461745797e-09
11,7.806813063255497e-05,0.0002043508883414302,0.0001783059550831624
12,7.106247538468972e-05,0.0008625994600820783,0.0015983171063556996
13,5.6225910345485326e-05,8.015139553496806e-06,0.00028500611173885366
14,4.4193744965968696e-05,1.2331644554307291e-05,0.0002503869204147366
15,3.240366606433407e-05,1.1159228715680333e-05,2.4198280483213095e-06
16,2.4995599376061143e-05,1.3917926826627963e-05,0.0002472798424794587
17,2.0220791540915762e-05,3.009580003526357e-05,0.00010725022330387933
18,1.999641673569501e-05,4.044211849304932e-05,6.850326524719538e-06
19,1.658869813109853e-05,7.375127800859175e-05,5.264188715149018e-06
20,1.1341806161531684e-05,2.258352531498477e-06,0.0003026675148805968
21,1.0740796923188012e-05,2.9611775778321507e-05,8.656181138153409e-05
22,9.615169071745586e-06,2.977096213223995e-06,2.7303370544133323e-05
23,9.203495772928844e-06,4.711369050695068e-05,4.558506696404654e-05
24,8.63507289624062e-06,1.0371638297007973e-05,5.411088214371342e-05
25,7.2344416174469e-06,2.4314485368956095e-05,1.5751078784856506e-05
26,6.47406169911096e-06,1.450932342143054e-05,1.6872962061815432e-06
27,5.955051722400333e-06,4.3466719403758736e-08,3.323018631898072e-08
28,4.940996800057056e-06,1.352860507459346e-05,2.2159011058483324e-08
29,4.697259200815676e-06,3.275377175675863e-05,4.492875611426323e-07
30,4.06925286440318e-06,2.299789734093025e-05,1.8803146960401147e-05
31,3.6885045270535206e-06,1.081873963135383e-05,2.174384048386122e-06
32,3.0539316556498444e-06,6.090859890986808e-07,1.758861077491088e-05
33,2.8255008461655337e-06,1.8145211668433862e-07,5.263240777750987e-07
34,2.572635871366491e-06,2.8384636382066366e-08,2.513035838821263e-06
35,2.412152942821858e-06,7.99540575767808e-07,3.6373928377752836e-06
36,2.1658842788186334e-06,1.4326793704874857e-06,1.1854618150861034e-05
