Per-component discriminative power of the PCA feature space
Training samples: 2696   Pooled test samples: 2697

Leading components (the ones carrying the variance):
  PC      var %   AUC train   AUC test       MI   Pearson r
   0  97.1490%      0.5055     0.5080   0.0131      0.0075
   1   1.2585%      0.5301     0.5317   0.0217     -0.0235
   2   0.8113%      0.5252     0.5210   0.0066     -0.0794
   3   0.3887%      0.6204     0.6429   0.0341      0.1025
   4   0.1205%      0.6438     0.6500   0.0388      0.0893
   5   0.0782%      0.5561     0.5703   0.0158     -0.0558

Top 15 components by single-feature AUC (training set):
  PC      var %   AUC train   AUC test       MI
   9   0.0122%      0.6626     0.6539   0.0634
   4   0.1205%      0.6438     0.6500   0.0388
   3   0.3887%      0.6204     0.6429   0.0341
  23   0.0009%      0.6048     0.6114   0.0408
  93   0.0000%      0.5843     0.5898   0.0182
  14   0.0044%      0.5763     0.5765   0.0331
  20   0.0011%      0.5678     0.5610   0.0267
  12   0.0071%      0.5668     0.5600   0.0061
  63   0.0000%      0.5656     0.6094   0.0208
  97   0.0000%      0.5637     0.5566   0.0078
  55   0.0000%      0.5606     0.5761   0.0145
   5   0.0782%      0.5561     0.5703   0.0158
  99   0.0000%      0.5559     0.5928   0.0184
 100   0.0000%      0.5501     0.5739   0.0215
  64   0.0000%      0.5495     0.5277   0.0131

Of the 20 most discriminative components, 14 fall outside the 20 highest-variance components.
Mean AUC of PC0–PC1: 0.5178
Mean AUC of PC2–PC101: 0.5306
Max AUC anywhere: 0.6626 (PC9)
