component,explained_variance_ratio,loading_match,loading_match_r,driver1,driver1_r2,driver2,driver2_r2
0,0.9714898580661767,flat/mean-depth,0.9999891289840219,p_mass,0.20897365939479007,atm base_pressure,0.14429937038842255
1,0.012585412217344626,wavelength-tilt,0.6367607069021997,atm H2O,0.05426295568963613,p_radius,0.0037862544621140026
2,0.008113435371559213,CH4,0.5075208310148819,atm H2O,0.032288461487633535,p_mass,0.023129478577319285
3,0.0038867691942091605,CH4,0.8150334453263894,atm CH4,0.05293303385059678,atm CO2,0.02133313475946863
4,0.001204990136960977,O3,0.48686865659519235,atm O3,0.06039081481615993,atm CO2,0.004672707929890496
5,0.0007821131944495938,CO2,0.19671229775079419,atm CO2,0.024219739933427298,atm H2O,0.011254597718560855
6,0.0007523739362549583,wavelength-tilt,0.11132692790210603,p_radius,0.007592851976671033,s temperature,0.006633451958996783
7,0.0002558669648895215,wavelength-tilt,0.12065823608117666,atm temperature,0.005164206280838357,p_radius,0.003278668176887378
8,0.00021812414725231515,O3,0.041616734833082626,atm O3,0.002354214582706571,p_radius,0.0021578581774680528
9,0.00012191756637966907,wavelength-tilt,0.11227077234826022,atm O3,0.011155986738641599,atm CH4,0.0007280021012369131
10,9.765151235962705e-05,wavelength-tilt,0.08850032900990629,atm temperature,0.02391983018859234,p_radius,0.017979843406930263
11,7.806813063255497e-05,wavelength-tilt,0.3378723684240116,atm temperature,0.016858505880086305,p_radius,0.009642797728325214
12,7.106247538468972e-05,wavelength-tilt,0.05424498276091687,atm CO2,0.01381058413958347,atm O3,0.008698228162062227
13,5.6225910345485326e-05,wavelength-tilt,0.09483318718172276,atm temperature,0.009359260235038858,p_radius,0.006961303883275649
14,4.4193744965968696e-05,wavelength-tilt,0.0499776281063114,atm CO2,0.005452426108964348,atm top_pressure,0.002817140307374455
15,3.240366606433407e-05,wavelength-tilt,0.12687428989973587,atm H2O,0.004042565723659242,s temperature,0.0016305797312183845
16,2.4995599376061143e-05,wavelength-tilt,0.021602365910005597,atm temperature,0.0032792077559015143,atm CO2,0.003235117330477544
17,2.0220791540915762e-05,wavelength-tilt,0.12318346994303528,atm CO2,0.004108492509273365,atm O3,0.0013583750610884904
18,1.999641673569501e-05,wavelength-tilt,0.06539772120963872,atm temperature,0.005144414769373995,s temperature,0.004951759104987574
19,1.658869813109853e-05,wavelength-tilt,0.024442207309280005,atm CO2,0.005858367564853362,atm CH4,0.0016452249651444095
20,1.1341806161531684e-05,O3,0.015798495431544587,atm O3,0.007497343767284836,atm temperature,0.00691991416452209
21,1.0740796923188012e-05,wavelength-tilt,0.009791686161545254,atm CO2,0.0038830296242585716,atm O3,0.0020632713327890517
22,9.615169071745586e-06,wavelength-tilt,0.06782502228266038,p_radius,0.005394380440171265,s temperature,0.005029631140460178
23,9.203495772928844e-06,wavelength-tilt,0.06786782537744263,atm CH4,0.002388964457468279,atm O3,0.0018644679278819742
