pool_idx,true_label,ch4_inj,ch4_med,ch4_lo,ch4_hi,o3_inj,o3_med,o3_lo,o3_hi,p_pos,ret_label,flip,sec
115,1,-5.004422993295286,-5.004576514293918,-5.012609914441534,-4.996455217368614,-6.894786285715174,-6.893563304683009,-6.914766187665005,-6.8728771993266,0.9999999236559696,1,0,669.5178029537201
118,1,-3.604584799227025,-3.604190954763394,-3.6090304249097054,-3.600339478828741,-3.015782079445719,-3.0156246307232206,-3.0285255638052018,-3.0032894785390365,0.9999999999999998,1,0,1664.7045662403107
126,1,-3.491821769116962,-3.462882147215523,-3.6538499015999513,-3.249917913895946,-6.0864317026991595,-5.987276580799038,-6.45601930977967,-5.556592568108191,0.9831349432040954,1,0,524.3093440532684
172,1,-4.225651135621059,-3.9619135756504917,-5.992916435750207,-2.378829596859095,-6.068943577476583,-6.127357804388211,-9.71206486891905,-3.0618535543099115,0.48900199629580654,1,0,130.93455147743225
247,1,-5.930309911683051,-5.972966259313001,-6.3925815710685585,-5.633654753756547,-2.7862180679407667,-2.7115962275824486,-3.215162738841359,-2.2337704086543604,0.5229814481209113,1,0,474.1902322769165
540,1,-5.000140696877237,-5.000155265596902,-5.0003712804041704,-4.999914007134095,-1.8527448397731199,-1.8527642791988173,-1.852971330027459,-1.8525440668933133,1.0000000000000002,1,0,3333.066962957382
772,1,-3.3589597373062574,-6.734259880557312,-10.710758697201321,-3.23678015286675,-6.665065760497705,-7.0169321771669875,-10.11518071650886,-3.0510659152967072,0.22748083219369086,0,1,55.11871862411499
1114,1,-3.1309539061605465,-3.1311159331887874,-3.1319931782199983,-3.1299665987949794,-5.3079975127735555,-5.307789777004177,-5.312386906672048,-5.30398243358652,1.0000000000000002,1,0,3753.5368733406067
1122,1,-5.141695987153563,-5.1403602004311795,-5.19607030445455,-5.0911618082936405,-5.598706140729138,-5.607836330750713,-5.735875111063274,-5.480251555429796,0.9999999999999997,1,0,644.7749841213226
1144,1,-3.507518055655243,-3.507390935688343,-3.5282393603211055,-3.4854626382810543,-5.717918938298624,-5.717034413862875,-5.817010181421982,-5.631169581959463,1.0,1,0,688.4896490573883
1212,1,-5.415886117362965,-9.655004284851206,-9.656377749986866,-9.653630819715543,-1.208185598730715,-1.2316923518551235,-1.2318583795015945,-1.2315263242086525,3.3870799628620928e-108,0,1,3518.811506509781
1228,1,-4.889048953317062,-4.8908162299043445,-4.942146042582916,-4.8452534479086165,-1.204876608046809,-1.205031786176208,-1.2095401532149903,-1.2000031319051088,1.0000000000000002,1,0,1374.568263053894
1243,1,-5.38492460230958,-5.384916198601562,-5.385424045270961,-5.384372950064619,-5.954262488461158,-5.954244624087653,-5.954937754672674,-5.953608296666637,1.0,1,0,1386.1580317020416
1680,1,-4.128501621297586,-4.981261695597339,-9.153005380984888,-4.007585469726459,-2.980998834381909,-3.067781876760368,-3.6578650032128497,-2.658337396152872,0.629723807752995,1,0,747.3851628303528
1741,1,-5.5679112855184725,-5.5680153062275695,-5.616340076727368,-5.519192764611005,-4.662736150429473,-4.656059418791284,-4.756907746965207,-4.565330185708084,1.0,1,0,523.5948827266693
1773,1,-4.98140416276774,-4.981429304989869,-4.981777426595705,-4.981072944404422,-6.7236558567448395,-6.72362491254045,-6.724420293532155,-6.722879616812875,1.0,1,0,1271.933573961258
1796,1,-5.008148788548832,-4.791299852434131,-5.662035493865122,-3.8420199224553757,-5.9558426063406795,-5.474880334592333,-7.676447062601539,-2.8078337848211157,0.707977389790531,1,0,232.37625551223755
1831,1,-4.068408066322091,-4.064031699254536,-4.114819454369743,-4.01825959739025,-1.4437571930822584,-1.444281277936312,-1.4741647838761769,-1.416071719888981,1.0000000000000002,1,0,1460.7413125038147
1839,1,-5.913927027366978,-5.9053413015369225,-6.270535722429528,-5.593804142831187,-1.4347767048251798,-1.406556410266635,-1.5754756082736918,-1.2649534761466106,0.6230264516014712,1,0,860.3752686977386
1866,1,-5.153192014408264,-5.14088995059226,-5.262665929585606,-5.011794219923183,-5.983537315494019,-5.917067075742933,-6.1944317522098675,-5.637478771085348,0.999988301342577,1,0,1108.7225558757782
1867,1,-5.473001904579906,-5.472142502172637,-5.569759786578152,-5.362760679325123,-6.0608835964204575,-6.042239797764142,-6.265214033779195,-5.829101128769016,0.9999987443833024,1,0,534.8032965660095
2204,1,-5.146849476468204,-5.140880672728674,-5.238573496766345,-5.049661822950706,-1.240181234730084,-1.2362661318045236,-1.2795703316557567,-1.1966038951145364,1.0,1,0,1093.0290474891663
2218,1,-5.588536131497412,-7.655929677198439,-10.610237896177955,-4.2000843473123,-6.232662678343182,-6.245768936317006,-9.818162641511387,-3.460151891973872,0.19787463505940536,0,1,195.54808688163757
2326,1,-3.248461502397661,-3.2486122982416057,-3.258298534171689,-3.2387512116471493,-1.6621985912782904,-1.660830894163349,-1.677835499801921,-1.6456592778850307,0.9999999999999999,1,0,2889.343092441559
2381,1,-3.0490523192181946,-3.0422048980921255,-3.150531047957201,-2.934559333242364,-6.050050418484664,-6.00067368883472,-6.285364586591172,-5.72790481441612,0.998722721635304,1,0,657.1025335788727
326,0,-4.487317758535149,-4.48739560976284,-4.488669226724733,-4.486077155231736,-8.470652720343834,-8.471018441736945,-8.478227144999863,-8.463524087040032,0.0,0,0,953.998911857605
370,0,-7.276903517414423,-8.801135655125142,-10.926548919701403,-7.154849905302282,-3.9305870686247024,-3.700209891055241,-4.332014142756378,-3.001033203384395,0.00741450809343553,0,0,399.89318227767944
443,0,-6.06779335451822,-7.290333622396316,-10.49085848040154,-3.60531835886698,-4.4382515021480815,-7.233826010236491,-9.96634645651209,-3.0732128143663155,0.1898431864376957,0,0,80.36186957359314
473,0,-6.066641782421161,-6.066636446037861,-6.066856416262132,-6.066427096782392,-7.849732111920559,-7.849675682078369,-7.850204766402609,-7.849185551569992,0.0,0,0,1054.1673550605774
522,0,-8.302936012114941,-8.491946767340997,-9.656854084289028,-8.068470665963856,-9.108927692474348,-9.389795090717868,-10.74225867277235,-8.65765182986443,4.011845067964468e-30,0,0,290.1864330768585
525,0,-7.778537526108034,-8.524057258406739,-10.655648661429673,-6.217395318610573,-9.802865194275347,-9.127929459602036,-11.102079520461702,-6.17386051486858,0.05746224561245734,0,0,151.5054612159729
970,0,-7.754150340409515,-7.139834645046478,-10.346840756993192,-3.445738669363531,-1.703423103089082,-6.0476001576672855,-9.513614272666372,-2.5163985759740273,0.26221128183056397,0,0,75.20319247245789
1016,0,-6.9158496220376104,-6.917612240973181,-6.93163250434469,-6.901833949402369,-7.947128924120129,-7.94766637902877,-7.956561838282818,-7.939229218568609,0.0,0,0,2112.228499650955
1024,0,-8.441409380377335,-7.884027747463273,-10.876501717495518,-4.596537020007213,-9.8924258240045,-7.794825377422799,-10.28024608798666,-4.072079342449333,0.1347920918990203,0,0,87.33004570007324
1031,0,-8.405623113373554,-6.926894228023881,-10.726764140262132,-2.605242555397066,-8.28246393914363,-6.625322988551017,-9.811998174980683,-3.2026713788185632,0.2250877476156243,0,0,47.63209247589111
1359,0,-4.809977111967926,-4.810158055807122,-4.816463090476889,-4.802708815716567,-9.880342752710037,-10.575670252731092,-11.499069495804552,-9.79067240222268,0.0,0,0,885.8106181621552
1429,0,-4.331240969425345,-4.331073764811377,-4.332557395262889,-4.329728108611724,-8.982180478777273,-9.981357408419358,-11.304868805943514,-9.037052251980688,0.0,0,0,1065.7096865177155
1432,0,-5.86327919330246,-5.86244578217017,-5.905229894936914,-5.818988542998149,-7.264989959442939,-7.261536149429949,-7.349600366672557,-7.183824494577717,0.000581231358620084,0,0,949.8038444519043
1440,0,-6.877263596531436,-8.958160943378603,-10.982356091031802,-7.184000054356145,-2.027266093148377,-2.0198012727299455,-2.077093855478438,-1.9696283461015447,0.00010538883088949622,0,0,1060.3048620224
1470,0,-6.392474686523319,-7.612067430874538,-10.388771494592918,-4.1870715673561065,-4.5056121962006905,-6.7333549411752625,-10.199095482066227,-3.0824870837639646,0.16224554721621193,0,0,147.95375299453735
1536,0,-8.119106598864787,-8.124992393071224,-8.198845696791478,-8.056221825933687,-8.032282694625618,-8.030185263940043,-8.07328403979069,-7.992329372027391,0.0,0,0,1580.9839911460876
1992,0,-7.075485645794082,-8.47816695129408,-10.692246118066343,-6.155660679767353,-2.8272097517575103,-2.8259239638189606,-2.843157419952695,-2.8090111232085824,0.13250410640685603,0,0,3579.714745283127
2071,0,-6.9417454055076195,-6.925113272761785,-7.117719038618161,-6.815922627290524,-8.51542214400881,-8.88667514643266,-10.621061505694003,-8.449331803661767,0.0,0,0,1493.2543251514435
2076,0,-8.046762066760206,-9.51737679471582,-11.145958953910585,-7.925481751360402,-9.609687281337196,-10.255545494216822,-11.411919466247104,-9.229661274546585,5.87585622776875e-23,0,0,459.73313784599304
2087,0,-6.719999037140042,-6.730129358370766,-6.799836873123025,-6.656599045246293,-9.417536329970334,-9.554935727966779,-9.960957496855329,-9.330893105339445,0.0,0,0,959.9163851737976
2111,0,-8.210486317359763,-8.31869963853941,-10.557014988979956,-4.892458811993349,-9.363292313778471,-7.6571243868514065,-10.213364747688045,-3.362444684152044,0.11946155077838165,0,0,107.70576405525208
2150,0,-6.121447712004702,-8.40141212733301,-10.839910858103021,-6.220610873777201,-7.20582674874974,-8.430634173617083,-10.913576375627924,-7.058292044767143,0.032112113095259714,0,0,504.67608070373535
