i,ch4_inj,ch4_med,ch4_lo,ch4_hi,o3_inj,o3_med,o3_lo,o3_hi,p_pos,inj_label,ret_label,flip,sec
0,-5.7773837645145205,-7.606170034964593,-10.551484267740161,-5.405637253213244,-2.694282151882379,-3.026986994550246,-4.852148367180197,-1.8716136513354578,0.23067308578020793,1,0,1,580.534342288971
1,-3.0417526779339976,-2.750780787963771,-4.076116068491138,-1.6789377954789761,-3.9884591892466155,-5.076233422974073,-8.724336765149893,-2.721813067775998,0.725894181519156,1,1,0,218.2771406173706
2,-5.531124512863263,-7.628715464676048,-10.653081837645264,-5.583155389740472,-6.9966516656875815,-8.272524872488566,-10.865721571441753,-6.645844555899388,0.06754510902801522,1,0,1,644.7040994167328
3,-4.656515805013531,-7.867831852375291,-10.521317191593068,-5.438270165656623,-5.867790313454891,-8.32280466980053,-10.86394774103417,-5.763958120929647,0.07132872303533062,1,0,1,2589.9548938274384
4,-5.680870377050592,-6.657124290397788,-9.938664735039398,-3.847399206145157,-1.9179281720257224,-6.561240908937246,-9.628606159933476,-3.259258776248104,0.23606702609948182,1,0,1,68.7455382347107
5,-4.037146953901027,-4.027825070056311,-4.185114561096733,-3.890215460220276,-2.680313964889618,-2.6653691985220567,-2.9974425472322594,-2.398967885575862,0.9999999999984958,1,1,0,994.1406817436218
6,-3.7977507469873437,-3.843101609609166,-4.31666118665677,-3.3551552105841025,-3.0896848415772027,-3.082445720322008,-4.389697499574201,-2.1574444400374895,0.980287504741239,1,1,0,420.7071075439453
7,-3.9852100865773865,-6.232185094526015,-9.906049419220393,-2.909734523798262,-3.1095435495255535,-6.689168065356039,-9.984997082048555,-3.5687594137233036,0.25145829969252037,1,0,1,61.58637619018555
8,-5.984087670454701,-5.983496131498641,-6.018826438460074,-5.9498617169466606,-2.0958320897616476,-2.094037515575965,-2.137895324877702,-2.0526998843027235,0.6778598039707381,1,1,0,821.3504161834717
9,-5.846366254678739,-5.8332239379202075,-6.055580856566922,-5.603731059775933,-3.694288278565269,-3.5660216714242137,-3.9962470777418706,-3.1100889311406377,0.7769775156981378,1,1,0,523.936535358429
10,-3.8967715192957364,-3.8205865637321934,-4.138030980055706,-3.4471377130398047,-6.780408208162141,-6.671992560222215,-7.485447122831067,-6.048882063058564,0.6682724700748137,1,1,0,286.6248664855957
11,-4.06864122933969,-5.822886061543206,-9.70260210985584,-3.091929307087713,-1.5441378170497249,-4.721995667863235,-8.836152214766765,-1.994860536365712,0.3502133061476538,1,1,0,161.8225712776184
12,-4.319547490340607,-6.785629611173625,-10.139331740979184,-3.0357574812976966,-3.969988144113856,-7.088502611091093,-10.406847410831054,-3.0823971040583533,0.23234189117721313,1,0,1,62.9773166179657
13,-5.4072556277954185,-6.572588459663107,-9.910828180391725,-2.8351626160094034,-2.376735584581951,-5.914438307065263,-9.488158844549835,-2.3727506429739815,0.27975636928153935,1,0,1,38.36849284172058
14,-4.06864122933969,-5.426484931031961,-9.011547334359165,-2.854883595293405,-1.5441378170497249,-5.105858515708117,-8.885994944935643,-2.2352614856194517,0.4055703483382567,1,1,0,119.85167264938354
15,-4.471642970902241,-4.473204428690718,-4.494858582832411,-4.452148445754048,-5.3275410316477565,-5.322849782884426,-5.365286084459737,-5.281343259093057,1.0,1,1,0,1866.7174549102783
16,-5.802220142322096,-5.802193026179132,-5.8041855283690555,-5.799924513231903,-2.4542623419491925,-2.45418677106964,-2.45799866022251,-2.450602597576959,1.0,1,1,0,1767.7705969810486
17,-5.681616188478079,-5.646814252270732,-5.976570362995959,-5.341053080220448,-1.1628031635025282,-1.188584223729831,-1.3645153096427407,-1.0638235592552456,0.862378452710233,1,1,0,549.245988368988
18,-4.471642970902241,-4.478517523310906,-4.566271311127405,-4.4067839874196215,-5.3275410316477565,-5.324460770196998,-5.476922093079903,-5.175274886002376,0.9999999999899977,1,1,0,2117.03573679924
19,-3.7014155293365776,-3.700056625051155,-3.723159430671353,-3.6788309363753036,-5.065151424707885,-5.066758513561917,-5.130662441201372,-5.00015371536693,1.0,1,1,0,692.2775340080261
20,-5.064354220813885,-5.061570721572435,-5.088464942925287,-5.039118366359523,-6.587823129701313,-6.591883855559696,-6.661081151234174,-6.527299829421754,0.9999999613232714,1,1,0,1134.6832547187805
21,-3.2273650649602588,-3.227358771024823,-3.227629709789042,-3.2271036133557147,-6.3511062518795125,-6.351384821793216,-6.355452638286379,-6.3470422986316635,1.0,1,1,0,1735.4303832054138
22,-3.519308869206677,-3.51941196415615,-3.520496388878133,-3.518315981381906,-2.9882311246706035,-2.9884450593161116,-2.9913861093898833,-2.985651381033065,1.0,1,1,0,1199.6182005405426
23,-4.689026122093259,-4.689272114769798,-4.704198883926911,-4.672314899084295,-4.948963714286971,-4.94113512047718,-4.9747283631563155,-4.9117579567224245,1.0,1,1,0,702.9704811573029
24,-4.0601026889672855,-6.176416486279253,-9.379471040678352,-2.9379914410992694,-2.488809635390366,-7.610243236262729,-11.005800248429097,-2.9230794293867226,0.20073376947820049,1,0,1,63.52744483947754
25,-5.54961847695963,-5.5458125015975135,-5.59624638776598,-5.49885017126134,-2.1047714015106456,-2.102198715902553,-2.149229723021398,-2.0565483715433905,1.0,1,1,0,1607.7749037742615
26,-3.0183200179617566,-3.0189536549415834,-3.038501636407008,-3.0008726625695346,-6.224184412920868,-8.149065111904774,-10.911379541325685,-5.756637569650223,0.32731643490945783,1,0,1,3074.3525080680847
27,-3.347180062734681,-3.3573375734621376,-3.460631628860885,-3.237387554757158,-6.452955031989379,-6.398979532906932,-6.702120719253539,-6.082350575268653,0.9601562190919186,1,1,0,422.86027669906616
28,-3.1711340470097205,-3.171710971119058,-3.2129233084283513,-3.13308150251645,-2.2547935538408277,-2.261160457460914,-2.3607089884751353,-2.1607504991259407,1.0,1,1,0,767.5658268928528
29,-4.689819431577654,-4.689808019387383,-4.690084977343144,-4.689532693513706,-3.301104035435741,-3.3011800130399935,-3.301713433066235,-3.3005936122658963,1.0,1,1,0,1673.282944202423
30,-5.762867382052826,-5.7327155837113,-5.998424535473219,-5.473177813885262,-4.603586663431242,-4.466966533752254,-5.0055605044573275,-4.006132239010639,0.8442733199829682,1,1,0,399.7934470176697
31,-4.904175371392988,-5.0273147753696525,-9.342312864439704,-2.5684060307882293,-1.6687545732171607,-4.55544470395722,-8.888526399159424,-2.0636073665982035,0.4289840007357554,1,1,0,149.04848647117615
32,-4.559019297762164,-6.133549593549145,-9.915674074450319,-3.269092786544418,-2.6867754257372543,-5.152089550367504,-9.267285681751337,-2.306859685810987,0.3204292606439602,1,0,1,94.76251363754272
33,-4.559019297762164,-6.77884248429658,-10.50294749350787,-3.3974945020814604,-2.6867754257372543,-5.737106574539952,-9.894067194981801,-2.238600390125102,0.26449146789157335,1,0,1,83.96266293525696
34,-3.762271840491735,-3.762306039803863,-3.7651291817176697,-3.759304636118108,-6.701564150380115,-6.700723101702429,-6.71645116503174,-6.685886207543225,0.9999999999999999,1,1,0,1629.2220940589905
35,-3.232521119412329,-3.2678303780363738,-3.3711980728136988,-3.1436213367604022,-1.3887584569274853,-1.390998908654934,-1.4928069608991223,-1.3108003145176559,0.9999999999999999,1,1,0,689.00128865242
