test_set,mlp_acc_mean,mlp_acc_sd,mlp_brier_mean,mlp_brier_sd,restart_0,restart_1,restart_2,restart_3,restart_4
clear (5 test sets),0.7703751879996465,0.017170711707361473,0.1430411574925543,0.0040777721061868175,0.7668,0.7753,0.7997,0.7478,0.7622
cloud top 1e+05 Pa,0.7723756906077349,0.01706259273944819,0.14735392027474697,0.007271985343223641,0.7827,0.7661,0.7993,0.7495,0.7643
cloud top 1e+04 Pa,0.7049808429118773,0.014789470548366875,0.1871091577195687,0.0061280775374271965,0.6897,0.7146,0.7241,0.6858,0.7107
cloud top 1e+03 Pa,0.6337662337662338,0.01868597894176503,0.2299432075095691,0.017176505466865395,0.6345,0.6456,0.6456,0.5974,0.6456
cloud top 1e+02 Pa,0.6,0.023439251902297616,0.2599823207484352,0.01723975174362731,0.5951,0.6362,0.597,0.5634,0.6082
cloud top 1e+01 Pa,0.5177121771217712,0.011528043802076258,0.29445551811873505,0.013747040526275416,0.5111,0.5148,0.5406,0.5111,0.5111
haze 2.0e+05 m^-3,0.774484052532833,0.01645907106901409,0.15403980777785087,0.0064972763251398636,0.7824,0.7655,0.7974,0.7486,0.7786
haze 2.0e+06 m^-3,0.645925925925926,0.022141829892792775,0.26852243453534586,0.019293177598944136,0.6741,0.6148,0.6481,0.6278,0.6648
haze 3.0e+07 m^-3,0.541635687732342,0.016229650522634278,0.3528793890724464,0.02776703297554986,0.5446,0.5279,0.5223,0.5688,0.5446
haze 2.4e+08 m^-3,0.6216417910447761,0.036510007111634504,0.260911597362999,0.03703281289197076,0.6119,0.6213,0.6493,0.666,0.5597
haze 1.0e+10 m^-3,0.5959633027522935,0.0385827539619837,0.2802600024191992,0.034751421856986486,0.6349,0.5835,0.6477,0.5523,0.5615
