test_set,feature_amp,xgb_acc,delta_pts,xgb_brier,mlp_acc_mean,mlp_acc_sd,lost,gained,n_valid
committed clear (same planets),0.965140148316376,0.8891360771227289,0.0,0.0802139174276939,0.77871709306637,0.02660491910092693,0,0,2697
deck 1e+05 Pa,0.9400375652792446,0.8661475713756025,-2.298850574712641,0.09754524702756032,0.7626992955135335,0.021884326950499126,105,43,2697
deck 1e+04 Pa,0.825779118765927,0.7838338895068595,-10.53021876158694,0.15088539720163993,0.6931405265109382,0.019278685615794326,366,82,2697
deck 1e+03 Pa,0.5840427845489599,0.7163515016685206,-17.278457545420835,0.2116620032879987,0.6381905821282906,0.013164392261295359,579,113,2697
deck 1e+02 Pa,0.29869983344884393,0.6366332962550982,-25.250278086763068,0.2705575753416004,0.5833147942157952,0.014154758894840204,802,121,2697
deck 1e+01 Pa,0.03396876438674427,0.5229970326409495,-36.613904448177934,0.36241503568748695,0.5212908011869436,0.003187322115569859,1125,138,2696
haze 2.0e+05 m-3,0.9469318923175319,0.8887652947719689,-0.037078235076004606,0.08405643167503321,0.7565443084909158,0.01952104813795819,70,69,2697
haze 2.0e+06 m-3,0.7935107946769453,0.8196660482374768,-6.947002888525211,0.13234913889630853,0.6116512059369202,0.013457883125527925,280,93,2695
haze 3.0e+07 m-3,0.586416250330323,0.6526901669758812,-23.644591014684767,0.2782194288252843,0.5303153988868274,0.012744947889399463,759,122,2695
haze 2.4e+08 m-3,0.43428244822940615,0.6493506493506493,-23.978542777207956,0.24801767692752422,0.5953988868274582,0.03843095533600812,776,130,2695
haze 1.0e+10 m-3,0.24941645881518307,0.6330241187384045,-25.611195838432444,0.2639502884660955,0.6305751391465677,0.034676391771873344,855,165,2695
