method,n,acc,sd,f1,brier
PCA + XGBoost,2,0.5213478950247756,0.017962400551403856,0.5305923782553802,0.28029641268616917
PLS-DA (linear),2,0.5546826491819108,0.010095410369597864,0.6311355244673953,0.24453530726896808
PLS + XGBoost,2,0.6070426371104499,0.031491158840709535,0.6310261612191572,0.24781305663744346
PCA + XGBoost,5,0.7271772474735727,0.031154203665613996,0.7303529868736008,0.1826436826217098
PLS-DA (linear),5,0.614328833940173,0.01582454251060401,0.6999132465921392,0.23504249344249079
PLS + XGBoost,5,0.722304093955184,0.013796508508402383,0.7255071113114182,0.1852497123390418
PCA + XGBoost,10,0.7999559095850428,0.026205577009152246,0.8041138037854235,0.1394613515765143
PLS-DA (linear),10,0.7189205897866813,0.010386161577051871,0.7645008726438558,0.20554759748173712
PLS + XGBoost,10,0.7962244113110085,0.026609757530519106,0.7980361951164475,0.13680791529163333
PCA + XGBoost,20,0.8191779839183146,0.019227805718120945,0.8238624322056782,0.1264179641434914
PLS-DA (linear),20,0.7245025039891646,0.004635042292441198,0.7691773424061734,0.19920984374012188
PLS + XGBoost,20,0.8324159153718315,0.02070055361831132,0.8352977178758445,0.11846602913049135
PCA + XGBoost,50,0.8532709606808583,0.013730521625078065,0.8560007179786651,0.10416280463936597
PLS-DA (linear),50,0.738209781378147,0.004408625961794231,0.7803919717689773,0.19403611583187277
PLS + XGBoost,50,0.8725187066883876,0.016246560234833157,0.8742468510786363,0.09181178351613727
PCA + XGBoost,102,0.8891754770636828,0.00938101121138816,0.8887409279406002,0.08018488156621653
PLS-DA (linear),102,0.7393299025624737,0.0035747786765536857,0.7814012757397509,0.19362859574408336
PLS + XGBoost,102,0.8858984420286792,0.017826483883598098,0.8874038107690735,0.08305581901022643
LDA (raw bins),1,0.6357840233033054,0.018174273342684934,0.7264903799245666,0.23369704593127488
LDA (102 PCs),1,0.6822280915370147,0.010351829290846479,0.7504034278888646,0.22699677963955178
