axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9072,0.9009038800705468,0.9272983114446529,0.8703499889940568,0.8979221074145566,0.06736553749626327,0.012122712900248396,0.973096993683721,0.47001763668430335,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9072,0.5462962962962963,0.9571734475374732,0.09839313229143738,0.1784431137724551,0.4218779555589649,0.4344608966336663,0.7951106735194965,0.051477072310405644,3533,316,0.0417714951777962,-35.46075837742505,0.3545124180627016
cloud,cloud_1e2Pa,9072,0.6569664902998237,0.9583600256245997,0.32929782082324455,0.49017038007863695,0.29764437775582486,0.30958453810384057,0.8631408896330626,0.1720679012345679,2504,291,0.3731900466905369,-24.39373897707231,0.23027884025956158
cloud,cloud_1e3Pa,9072,0.767636684303351,0.9596073990184976,0.5595421527624918,0.7068965517241379,0.18481960031551667,0.1846357874462587,0.9102375781928644,0.2919973544973545,1437,228,0.6659141442509887,-13.326719576719581,0.1174540628192534
cloud,cloud_1e4Pa,9072,0.8596781305114638,0.9467213114754098,0.7627118644067796,0.8448128733390223,0.1006077734651579,0.0745393254262689,0.9525882240927654,0.40343915343915343,492,118,0.8696280192265576,-4.1225749559082985,0.033242235968894626
cloud,cloud_1e5Pa,9072,0.8966049382716049,0.9321505634140493,0.8558221439577371,0.8923571264631627,0.07047322819150312,0.019747681568320234,0.9709426088542218,0.4597663139329806,67,28,0.9683066185082301,-0.42989417989418577,0.003107690695239848
exomol,exomol,9072,0.8826058201058201,0.8881696428571428,0.8758529605987233,0.8819683032250915,0.07906826718302469,0.020800278653227124,0.9636270709168158,0.49382716049382713,393,227,0.9196178533883226,-1.8298059964726665,0.01170272968676142
exomol,exomol_o3,9072,0.7302689594356261,0.8901712583767685,0.526304204270306,0.6615022824733712,0.2187120252764506,0.1789079817838225,0.8335618036565977,0.2960758377425044,1766,218,0.8640203167025811,-17.06349206349207,0.15134648778018733
exotransmit,exotransmit,9072,0.8894400352733686,0.9055912007332723,0.8699097512656835,0.8873919389244415,0.07537744780411401,0.009745348546969996,0.9657659030776156,0.4810405643738977,229,125,0.8883672758796954,-1.1463844797178213,0.008011910307850742
haze,haze_1p0e10,9071,0.49917318928453314,0.0,0.0,0.0,0.5008264449951411,0.5008265815145087,0.7410656922582718,0.0,3954,310,0.3661573572981155,-40.173069078601365,0.4334609074988778
haze,haze_2p0e5,9072,0.8957231040564374,0.9349455864570737,0.8509795289456307,0.890988707075363,0.07021194524015675,0.02470238874939165,0.9713632113383619,0.4557980599647266,99,52,0.9909490170977316,-0.5180776014109378,0.0028464077438934837
haze,haze_2p0e6,9071,0.8215191268878844,0.9632446134347274,0.6691613471274488,0.7897129497337316,0.13870520741695475,0.13557781009174028,0.9320035668200757,0.3479219490684599,974,254,0.9183993282187981,-7.938475318266236,0.07133966992069148
haze,haze_2p4e8,9071,0.5018189835740271,1.0,0.005282852740479859,0.01051018173855923,0.4973476627460106,0.4980933197662699,0.8364134013109128,0.0026457942894939916,3930,310,0.6037431831029919,-39.90848964965197,0.4299821252497473
haze,haze_3p0e7,9071,0.5525300407893287,0.9859437751004017,0.10807836231565045,0.19480261852806982,0.4349224309228025,0.44162510083832746,0.8350833058508839,0.05490023150700033,3466,306,0.7642486450380084,-34.83738392812181,0.36755689342653924
tlse,tlse_fac05,9072,0.8852513227513228,0.8759124087591241,0.898084965881576,0.8868601238995761,0.07989894910445307,0.03272547850716089,0.9637531933395501,0.5134479717813051,272,130,1.020078390258049,-1.5652557319223992,0.012533411608189798
tlse,tlse_fac10,9072,0.8617724867724867,0.832423691125935,0.9064494827206692,0.8678609062170706,0.09516688792021293,0.05923818249627405,0.9535775439293633,0.5453042328042328,525,170,1.0379182808394292,-3.9131393298060035,0.027801350423949656
tlse,tlse_mixed,9072,0.7282848324514991,0.9617777777777777,0.47633722209993395,0.6371264537023407,0.24110426852968267,0.23551955808026956,0.7782640470853156,0.24801587301587302,1795,229,0.951012850375745,-17.261904761904766,0.1737387310334194
tlse,tlse_spots02,9072,0.8540564373897708,0.9454746747854968,0.7519260400616333,0.8376655223148602,0.107283800657594,0.07838228024610806,0.9286788634906789,0.3982583774250441,540,115,0.9826377855136786,-4.684744268077601,0.039918263161330736
tlse,tlse_spots05,9072,0.7842813051146384,0.954002808988764,0.5980629539951574,0.7352185089974294,0.17675588956382945,0.16359440962030786,0.8505008712653608,0.31393298059964725,1242,184,0.9577643942542688,-11.662257495590833,0.10939035206756619
tlse,tlse_spots10,9072,0.7045855379188712,0.96,0.4279110719788686,0.5919610231425091,0.26385475311294854,0.2603817620369631,0.7526938315734435,0.22321428571428573,2015,234,0.9429270243412421,-19.631834215167554,0.19648921561668525
tlse,tlse_spots20,9072,0.6157407407407407,0.9615720524017467,0.24235086946951354,0.3871308016877637,0.36606459841095246,0.36621189405695465,0.6508608134813643,0.12621252204585537,2861,274,1.0500631645728127,-28.51631393298061,0.2986990609146892
white noise,snr12,9072,0.8697089947089947,0.929465882954255,0.8005723090468854,0.8602175969725638,0.08930771020951292,0.046256431156853926,0.9572470746037703,0.43132716049382713,492,209,1.1007484433955292,-3.1194885361552127,0.02194217271324965
white noise,snr10,9072,0.8279320987654321,0.9274655963302753,0.7120845256438477,0.8056281907608019,0.1213784062331624,0.08982429812152186,0.9328890195097049,0.3844797178130511,900,238,1.1645388401524863,-7.2971781305114725,0.05401286873689913
white noise,snr8,9072,0.7647707231040565,0.9251676667843276,0.5769315430332379,0.7106832971800434,0.1746100651420258,0.16233846500701732,0.8989289168679239,0.3122795414462081,1511,276,1.268159227134226,-13.613315696649032,0.10724452764576252
white noise,snr5,9072,0.5998677248677249,0.9108910891089109,0.22276029055690072,0.35797665369649806,0.3311796852589336,0.3429754231937525,0.7986012756007255,0.1224647266313933,3046,315,1.6480639616592925,-30.10361552028219,0.2638141477626703
correlated noise,snr12,9072,0.8177910052910053,0.8729994837377387,0.7444419986792868,0.8036117381489842,0.13405294923707903,0.09087677778861643,0.915151638276809,0.4270282186948854,1039,285,1.1025215932344554,-8.311287477954144,0.06668741174081576
correlated noise,snr10,9072,0.7631172839506173,0.8487762237762237,0.6412062513757429,0.7305329153605016,0.1873143651671914,0.15258116851760656,0.8630624944623995,0.3783068783068783,1574,324,1.157166274726885,-13.77865961199295,0.11994882767092814
correlated noise,snr8,9072,0.6937830687830688,0.8080279232111692,0.5095751705921198,0.625,0.25364056752334385,0.22663043955169895,0.7981266518938995,0.3158068783068783,2206,327,1.2538723058240215,-20.712081128747794,0.18627503002708057
correlated noise,snr5,9072,0.5922619047619048,0.7419724770642202,0.28483381025753907,0.41164307300779385,0.3597527213452834,0.3372769074358593,0.6886619149699638,0.19223985890652556,3153,353,1.6185048806795541,-30.864197530864203,0.2923871838490201
gain ramp,x0.25,9072,0.8963844797178131,0.9223915592028136,0.8659476117103235,0.8932788374205268,0.06910701244010896,0.01431809210773828,0.9716405348621088,0.4701278659611993,162,121,1.0440872254314013,-0.45194003527336823,0.001741474943845689
gain ramp,x0.5,9072,0.8871252204585538,0.9106184364060677,0.8589038080563505,0.8840054372451291,0.07444771949193461,0.018968653489278592,0.9671937352684028,0.4723324514991182,341,216,1.0483778165354363,-1.3778659611992983,0.007082181995671344
gain ramp,x1.0,9072,0.8601190476190477,0.8853578154425612,0.8278670482060313,0.8556478216357638,0.09525667542278804,0.044782036949419055,0.9507777233488376,0.46825396825396826,692,322,1.0718326923137136,-4.078483245149911,0.02789113792652477
gain ramp,x2.0,9072,0.7904541446208113,0.8297553669495756,0.7316751045564605,0.7776348110890162,0.16059868118765522,0.11908481636175594,0.8919062794240089,0.4415784832451499,1413,411,1.132435486364462,-11.044973544973546,0.09323314369139195
baseline offset,x0.25,9072,0.9009038800705468,0.9272983114446529,0.8703499889940568,0.8979221074145566,0.06736553749626327,0.012122712900248396,0.973096993683721,0.47001763668430335,0,0,1.048791030719921,0.0,0.0
baseline offset,x0.5,9072,0.9009038800705468,0.9272983114446529,0.8703499889940568,0.8979221074145566,0.06736553749626327,0.012122712900248396,0.973096993683721,0.47001763668430335,0,0,1.0487910307199215,0.0,0.0
baseline offset,x1.0,9072,0.9009038800705468,0.9272983114446529,0.8703499889940568,0.8979221074145566,0.06736553749626327,0.012122712900248396,0.973096993683721,0.47001763668430335,0,0,1.048791030719921,0.0,0.0
baseline offset,x2.0,9072,0.9009038800705468,0.9272983114446529,0.8703499889940568,0.8979221074145566,0.06736553749626327,0.012122712900248396,0.973096993683721,0.47001763668430335,0,0,1.0487910307199215,0.0,0.0
absolute noise,20 ppm,9072,0.8629850088183422,0.9112662013958126,0.8047545674664319,0.8547048509643483,0.11226693062016105,0.0668936535976678,0.8968155765031641,0.44223985890652556,770,426,1.0011617673847322,-3.791887125220461,0.04490139312389778
absolute noise,50 ppm,9072,0.8313492063492064,0.9108262885192255,0.7351970063834471,0.8136419001218027,0.14182811338460238,0.09441730210876015,0.857249295719269,0.40421075837742504,1039,408,1.000940529048323,-6.955467372134039,0.07446257588833911
absolute noise,100 ppm,9072,0.8059964726631393,0.9113213124445758,0.6786264582874753,0.7779460005046682,0.16819832429705742,0.12060674843435265,0.8215025559595954,0.37290564373897706,1269,408,1.0103066393753053,-9.490740740740744,0.10083278680079415
absolute noise,200 ppm,9072,0.7679673721340388,0.9112685560053981,0.5945410521681708,0.7195950446250167,0.20351602639713534,0.15938191706246185,0.7821553247939137,0.32671957671957674,1571,365,1.0533424054896048,-13.293650793650801,0.13615048890087206
noise colouring,white snr15,9072,0.894510582010582,0.9199063231850118,0.8646268985252036,0.8914104164302734,0.0710143959334792,0.01348865996021627,0.9696850783856933,0.470679012345679,442,384,1.0427708042550314,-0.6393298059964803,0.003648858437215935
noise colouring,ariel snr15,9072,0.8972663139329806,0.9243243243243243,0.8657274928461369,0.8940668333712207,0.06757091415738922,0.009296378854322756,0.9725624192992677,0.46902557319223986,408,375,1.0543242099709387,-0.36375661375661617,0.00020537666112595276
noise colouring,white snr10,9072,0.8684964726631393,0.9270780214176441,0.8003521901826987,0.8590667454223272,0.08946978391994759,0.04460360081968785,0.9570130555419334,0.4323192239858907,654,360,1.0982712162316255,-3.240740740740744,0.022104246423684318
noise colouring,ariel snr10,9072,0.8737874779541446,0.9305625950329448,0.8082764692934185,0.8651195664978207,0.08419820143229072,0.04358362422705821,0.9619528747334115,0.4349647266313933,607,361,1.1059753996045334,-2.7116402116402205,0.016832663936027448
noise colouring,white snr7,9072,0.8117283950617284,0.9301972685887708,0.6746643187321153,0.7820872671599898,0.13794311309752588,0.11490398388801829,0.9247980352313632,0.36320546737213405,1162,353,1.1956569991860992,-8.917548500881834,0.07057757560126261
noise colouring,ariel snr7,9072,0.8197751322751323,0.9454656862745098,0.6792868148800352,0.7905725630844114,0.12726270860902011,0.11519940819060075,0.9382321388413951,0.35978835978835977,1083,347,1.2002336628915857,-8.112874779541446,0.059897171112756845
noise colouring,white snr5,9072,0.7228835978835979,0.9300551080966512,0.4829407880255338,0.6357577513764127,0.21312393940252472,0.21585895074476996,0.8823076340225708,0.26003086419753085,1944,329,1.3522958067863196,-17.802028218694886,0.14575840190626144
noise colouring,ariel snr5,9072,0.7281746031746031,0.9584988962472406,0.4778780541492406,0.6377790834312573,0.207393844427152,0.22393504569156014,0.9035569050519782,0.24966931216931218,1894,327,1.372062263938244,-17.272927689594365,0.14002830693088875
