axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9072,0.89076278659612,0.9054794520547945,0.8729914153642967,0.8889386977473944,0.07966687950516403,0.06465844635093951,0.967166032077282,0.4828042328042328,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9072,0.5584215167548501,0.9296,0.12788906009244994,0.22484520123839008,0.32381850893897285,0.3290079288604677,0.7401621958657411,0.06889329805996473,3442,427,0.0417714951777962,-33.23412698412699,0.2441516294338088
cloud,cloud_1e2Pa,9072,0.6620370370370371,0.9236947791164659,0.3543913713405239,0.512249443207127,0.2318931127310341,0.2303416744778728,0.8322190251227605,0.19212962962962962,2438,363,0.3731900466905369,-22.872574955908288,0.1522262332258701
cloud,cloud_1e3Pa,9072,0.7716049382716049,0.9358024691358025,0.5839753466872111,0.7191650853889943,0.1545031419818286,0.13526717504845814,0.9003277822132585,0.3125,1365,284,0.6659141442509887,-11.915784832451504,0.07483626247666457
cloud,cloud_1e4Pa,9072,0.8547178130511464,0.926700185234189,0.7708562623816861,0.8416246094688776,0.0993665077830762,0.06569539952174927,0.9483692467944612,0.4165564373897707,473,146,0.8696280192265576,-3.60449735449736,0.019699628277912162
cloud,cloud_1e5Pa,9072,0.8863536155202821,0.9116268166901078,0.8560422628219239,0.8829606084686117,0.08109095705888761,0.059851601461785676,0.9652972574278208,0.47023809523809523,84,44,0.9683066185082301,-0.44091710758378255,0.0014240775537235767
exomol,exomol,9072,0.877094356261023,0.8590280687054881,0.9027074620294959,0.8803262852849629,0.09432308838677499,0.09953308258013982,0.9601785096431649,0.5262345679012346,370,246,0.9196178533883226,-1.3668430335097015,0.014656208881610955
exomol,exomol_o3,9072,0.7444885361552028,0.879045996592845,0.5679066696015849,0.6900240706071142,0.16710447804191128,0.11085672408319153,0.8536061802806061,0.32352292768959434,1575,248,0.8640203167025811,-14.627425044091712,0.08743759853674725
exotransmit,exotransmit,9072,0.8796296296296297,0.8902963130513458,0.8663878494386968,0.8781793842034806,0.08838486622974819,0.06697465126640678,0.9580868215093601,0.4873236331569665,239,138,0.8883672758796954,-1.113315696649031,0.008717986724584154
haze,haze_1p0e10,9071,0.49917318928453314,0.0,0.0,0.0,0.3474010932774303,0.3114484269686013,0.5156629058490172,0.0,3966,414,0.3661573572981155,-39.15895973115868,0.26773421377226625
haze,haze_2p0e5,9072,0.8917548500881834,0.9130132219902575,0.8663878494386968,0.8890896769821549,0.07967086735536404,0.06609289332597376,0.9674693091169209,0.4751984126984127,62,71,0.9909490170977316,0.09920634920634885,3.9878502000045835e-06
haze,haze_2p0e6,9071,0.8680410098114871,0.9463713980789754,0.7807616112700858,0.8556265830418526,0.09545084408838189,0.09846106627809201,0.9615351521270249,0.4131848748759784,511,305,0.9183993282187981,-2.272177678463283,0.01578396458321786
haze,haze_2p4e8,9071,0.5485613493550876,1.0,0.09861325115562404,0.17952314165497896,0.32206195934125526,0.34907285410607103,0.7945951679631382,0.049388160070554514,3518,414,0.6037431831029919,-34.22014372410324,0.2423950798360912
haze,haze_3p0e7,9071,0.6923161724175946,0.9915824915824916,0.38895003301782965,0.5587351778656127,0.1998342397615613,0.2422964486886472,0.9225747694391013,0.1964502259949289,2213,413,0.7642486450380084,-19.84466141785254,0.12016736025639728
tlse,tlse_fac05,9072,0.8849206349206349,0.8718384697130712,0.9029275808936826,0.8871107266435986,0.08678203743727383,0.07268770993435933,0.9624318483272642,0.5186287477954145,199,146,1.020078390258049,-0.5842151675485074,0.007115157932109803
tlse,tlse_fac10,9072,0.8688271604938271,0.841237533075514,0.9097512656834691,0.8741539763113367,0.09491059930405545,0.07954592449636191,0.9561864312005588,0.5415564373897708,385,186,1.0379182808394292,-2.1935626102292827,0.015243719798891414
tlse,tlse_mixed,9072,0.7698412698412699,0.9531192321889996,0.5683469073299582,0.7120794263651407,0.15626481790844837,0.14069659313751962,0.9023220231572433,0.2986111111111111,1395,298,0.951012850375745,-12.092151675485008,0.07659793840328434
tlse,tlse_spots02,9072,0.8621031746031746,0.9281997918834547,0.7853841074180057,0.8508405866221533,0.09754999856324088,0.05424567502206764,0.9476145049437317,0.4237213403880071,405,145,0.9826377855136786,-2.865961199294531,0.017883119058076852
tlse,tlse_spots05,9072,0.8159171075837742,0.9437751004016064,0.6724631300902487,0.7853470437017995,0.1259782517342466,0.0986429440318555,0.9253899357806009,0.3568121693121693,918,239,0.9577643942542688,-7.484567901234573,0.04631137222908256
tlse,tlse_spots10,9072,0.7554012345679012,0.9571203776553895,0.5355491965661457,0.686803105151729,0.16633685678894342,0.15515021567979814,0.8948905935369815,0.2802028218694885,1539,311,0.9429270243412421,-13.536155202821876,0.08666997728377938
tlse,tlse_spots20,9072,0.6716269841269841,0.9632701421800948,0.3579132731675105,0.5219065960519981,0.22313627771523234,0.2241184652771647,0.8480908394441145,0.18606701940035272,2346,358,1.0500631645728127,-21.91358024691359,0.14346939821006832
white noise,snr12,9072,0.8723544973544973,0.9044205495818399,0.8331499009465111,0.8673235563703025,0.1020160089599735,0.10881650136301953,0.9552305253006198,0.46130952380952384,407,240,1.1007484433955292,-1.8408289241622633,0.022349129454809463
white noise,snr10,9072,0.8453483245149912,0.8970662620131512,0.7807616112700858,0.8348828998470048,0.12514136372877377,0.13754719984754094,0.9386213200745537,0.43584656084656087,705,293,1.1645388401524863,-4.541446208112876,0.04547448422360974
white noise,snr8,9072,0.8010361552028219,0.8958935801041065,0.6819282412502752,0.77440319960005,0.15419464544783276,0.16289825219773002,0.9127667823380201,0.38117283950617287,1138,324,1.268159227134226,-8.972663139329807,0.07452776594266873
white noise,snr5,9072,0.6477072310405644,0.8833238474672738,0.34162447721769756,0.4926984126984127,0.2060462746018152,0.17272651734632044,0.8289929885167358,0.19367283950617284,2598,393,1.6480639616592925,-24.305555555555557,0.1263793950966512
correlated noise,snr12,9072,0.8353174603174603,0.8649748623413933,0.7952894563064055,0.8286697247706422,0.11409643814533846,0.056472914534814476,0.9265173584550407,0.46042768959435626,834,331,1.1025215932344554,-5.544532627865961,0.034429558640174426
correlated noise,snr10,9072,0.7927689594356261,0.8418485237483954,0.7217697556680608,0.7771983882436596,0.14323804682936753,0.0539495687154195,0.8833989210433295,0.42934303350970016,1267,378,1.157166274726885,-9.799382716049386,0.0635711673242035
correlated noise,snr8,9072,0.7267416225749559,0.8019309537741369,0.6033458067356372,0.6886069589247582,0.17664206995195808,0.06892480181674167,0.8261823539712548,0.3767636684303351,1881,393,1.2538723058240215,-16.402116402116405,0.09697519044679405
correlated noise,snr5,9072,0.6139770723104057,0.7388710417622762,0.3543913713405239,0.479024099970247,0.2317258555138263,0.12865370980901694,0.7196125762184046,0.24018959435626103,2922,411,1.6185048806795541,-27.67857142857143,0.15205897600866225
gain ramp,x0.25,9072,0.8898809523809523,0.9049360146252285,0.8716707021791767,0.887991927346115,0.08104332415262444,0.06153925195931581,0.9654171344820308,0.48236331569664903,177,169,1.0440872254314013,-0.08818342151676317,0.0013764446474604092
gain ramp,x0.5,9072,0.8745590828924162,0.8864926220204313,0.8595641646489104,0.8728207420652659,0.08638250598083462,0.050005838893619585,0.9586576287516744,0.4855599647266314,415,268,1.0483778165354363,-1.620370370370372,0.006715626475670589
gain ramp,x1.0,9072,0.83994708994709,0.8521303258145363,0.8232445520581114,0.8374384236453202,0.10563482382342905,0.03673649171130608,0.9348796395980082,0.4837962962962963,857,396,1.0718326923137136,-5.081569664902997,0.025967944318265018
gain ramp,x2.0,9072,0.7459215167548501,0.7558299039780522,0.7277129650011006,0.7415049904676461,0.15944755823647544,0.05641838813081391,0.851903964992498,0.48214285714285715,1854,540,1.132435486364462,-14.484126984126988,0.07978067873131141
baseline offset,x0.25,9072,0.89076278659612,0.9054794520547945,0.8729914153642967,0.8889386977473944,0.07966687950516403,0.06465844635093951,0.967166032077282,0.4828042328042328,0,0,1.048791030719921,0.0,0.0
baseline offset,x0.5,9072,0.89076278659612,0.9054794520547945,0.8729914153642967,0.8889386977473944,0.07966687950516403,0.06465844635093951,0.967166032077282,0.4828042328042328,0,0,1.0487910307199215,0.0,0.0
baseline offset,x1.0,9072,0.89076278659612,0.9054794520547945,0.8729914153642967,0.8889386977473944,0.07966687950516403,0.06465844635093951,0.967166032077282,0.4828042328042328,0,0,1.048791030719921,0.0,0.0
baseline offset,x2.0,9072,0.89076278659612,0.9054794520547945,0.8729914153642967,0.8889386977473944,0.07966687950516403,0.06465844635093954,0.967166032077282,0.4828042328042328,0,0,1.0487910307199215,0.0,0.0
absolute noise,20 ppm,9072,0.8520723104056437,0.8929535968573533,0.8005723090468854,0.8442432683379758,0.09730020785472303,0.035266815667638854,0.9434158433189161,0.44896384479717816,715,364,1.0011617673847322,-3.8690476190476275,0.017633328349558997
absolute noise,50 ppm,9072,0.8253968253968254,0.892128279883382,0.7409200968523002,0.8095238095238095,0.11310167229550275,0.04821610564840729,0.9248073668325828,0.4158950617283951,949,356,1.000940529048323,-6.536596119929461,0.033434792790338716
absolute noise,100 ppm,9072,0.7994929453262787,0.8902578796561604,0.683909311027955,0.7735590688410308,0.12772687183690443,0.05959008593359902,0.9071578338767937,0.38470017636684306,1180,352,1.0103066393753053,-9.126984126984128,0.048059992331740395
absolute noise,200 ppm,9072,0.7670855379188712,0.8891736066623959,0.6110499669821704,0.724331376386171,0.14676937360456632,0.08376279798737699,0.8798368981913073,0.3441358024691358,1473,351,1.0533424054896048,-12.367724867724872,0.06710249409940229
noise colouring,white snr15,9072,0.8829365079365079,0.8912115082040908,0.8727712965001101,0.8818950177935944,0.08454488023078875,0.06849661117257135,0.9632713522224059,0.4904100529100529,416,345,1.0427708042550314,-0.7826278659612051,0.00487800072562472
noise colouring,ariel snr15,9072,0.8891093474426808,0.90020366598778,0.8756328417345367,0.8877482704753403,0.08001422684001466,0.06116381264108074,0.9662605994474818,0.4871031746031746,361,346,1.0543242099709387,-0.16534391534391846,0.0003473473348506312
noise colouring,white snr10,9072,0.873126102292769,0.8996229971724788,0.840413823464671,0.8690110390349379,0.10338984971968063,0.11380868193534635,0.954589147824082,0.4678130511463845,529,369,1.0982712162316255,-1.763668430335097,0.023722970214516595
noise colouring,ariel snr10,9072,0.8767636684303352,0.9059018724816307,0.8412942989214176,0.8724035608308606,0.09591474762919647,0.09689875777991455,0.9584793805877518,0.4650573192239859,484,357,1.1059753996045334,-1.3999118165784807,0.016247868124032436
noise colouring,white snr7,9072,0.8330026455026455,0.8967505241090147,0.7532467532467533,0.8187582246680225,0.13378374984439745,0.1479667794118497,0.9321641193420424,0.42063492063492064,920,396,1.1956569991860992,-5.776014109347449,0.05411687033923342
noise colouring,ariel snr7,9072,0.8423721340388007,0.9149560117302052,0.7554479418886199,0.8275862068965517,0.12233904858690581,0.13630400226128545,0.9418156924191481,0.4134700176366843,825,386,1.2002336628915857,-4.8390652557319225,0.042672169081741776
noise colouring,white snr5,9072,0.7667548500881834,0.8948909860071591,0.6053268765133172,0.7221638655462185,0.16884211223306567,0.1721016264748681,0.8955974137272811,0.3387345679012346,1496,371,1.3522958067863196,-12.400793650793652,0.08917523272790163
noise colouring,ariel snr5,9072,0.7754629629629629,0.9267711171662125,0.598943429451904,0.7276373846770958,0.1585847502263664,0.15718476829630057,0.9079579943803346,0.3236331569664903,1422,376,1.372062263938244,-11.529982363315705,0.07891787072120236
