axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9072,0.8069885361552028,0.8021645021645022,0.8157605106757649,0.8089053803339518,0.15577058125056611,0.14154112601924124,0.8939867161740513,0.5092592592592593,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9072,0.5413359788359788,0.5280469897209985,0.7915474356152322,0.6334889456531313,0.2517996669278235,0.061178067553777665,0.564960119312298,0.7506613756613757,3020,610,0.0417714951777962,-26.5652557319224,0.0960290856772574
cloud,cloud_1e2Pa,9072,0.6604938271604939,0.6435157936040808,0.7219898745322474,0.6804979253112033,0.21676314595754662,0.04814051587273306,0.717688516691926,0.5618386243386243,1726,397,0.3731900466905369,-14.649470899470895,0.0609925647069805
cloud,cloud_1e3Pa,9072,0.7373236331569665,0.7372583479789103,0.7387189082104336,0.7379879054425509,0.1881705566907911,0.1041225877813946,0.8169690259368453,0.5017636684303352,930,298,0.6659141442509887,-6.9664902998236355,0.03239997544022499
cloud,cloud_1e4Pa,9072,0.785163139329806,0.790937640197398,0.7761391151221659,0.7834685034996112,0.16764714217931345,0.13594146869591828,0.8729942342854985,0.4914021164021164,393,195,0.8696280192265576,-2.182539682539686,0.011876560928747337
cloud,cloud_1e5Pa,9072,0.8027998236331569,0.7998693379790941,0.8084965881576051,0.80415982484948,0.15763762972881312,0.1407558266420708,0.8918841654732019,0.5061728395061729,110,72,0.9683066185082301,-0.418871252204589,0.0018670484782470076
exomol,exomol,9072,0.7867063492063492,0.7552858261550509,0.8492185780321374,0.7995026422132422,0.1732814093262673,0.1555724617183171,0.87447633070942,0.5630511463844797,616,432,0.9196178533883226,-2.028218694885364,0.017510828075701174
exomol,exomol_o3,9072,0.7091049382716049,0.7585551330798479,0.6147919876733436,0.6791489361702128,0.1943857269915006,0.0923737017940119,0.7988251125247731,0.4058641975308642,1457,569,0.8640203167025811,-9.788359788359791,0.0386151457409345
exotransmit,exotransmit,9072,0.7795414462081128,0.7801277814496586,0.7794408980849659,0.7797841885047346,0.16585030489875194,0.1242884415992332,0.8712692975204623,0.5003306878306878,529,280,0.8883672758796954,-2.7447089947089998,0.010079723648185823
haze,haze_1p0e10,9071,0.6828354095469077,0.6817983413356613,0.6876513317191283,0.6847123287671233,0.21669835732388545,0.09462911318101433,0.7457104773857035,0.5051262264358946,1837,711,0.3661573572981155,-12.415312660829514,0.06092777607331934
