Domain shift, configuration ariel, frozen pipeline raw_xgb; clean paired baseline 72.56% (Brier 0.1810, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                72.56   +0.00  0.1810  0.064  0.529      0      0  1.000
cloud            cloud_1e1Pa              53.27  -19.29  0.3018  0.198  0.290   2838   1088  0.042
cloud            cloud_1e2Pa              61.70  -10.87  0.2490  0.129  0.385   1803    817  0.373
cloud            cloud_1e3Pa              67.26   -5.30  0.2122  0.085  0.458   1012    531  0.666
cloud            cloud_1e4Pa              70.97   -1.60  0.1914  0.066  0.508    403    258  0.870
cloud            cloud_1e5Pa              72.29   -0.28  0.1829  0.063  0.525    100     75  0.968
exomol           exomol                   70.68   -1.88  0.1926  0.074  0.570    610    439  0.920
exomol           exomol_o3                66.94   -5.62  0.2138  0.095  0.470   1005    495  0.864
exotransmit      exotransmit              70.44   -2.13  0.1950  0.069  0.524    799    606  0.888
haze             haze_1p0e10              52.54  -20.02  0.3220  0.268  0.141   2957   1141  0.366
haze             haze_2p0e5               72.67   +0.11  0.1808  0.059  0.515     80     90  0.991
haze             haze_2p0e6               69.54   -3.02  0.2053  0.099  0.420    676    402  0.918
haze             haze_2p4e8               55.75  -16.81  0.3177  0.284  0.153   2549   1024  0.604
haze             haze_3p0e7               59.60  -12.97  0.2830  0.241  0.215   2054    878  0.764
tlse             tlse_fac05               72.02   -0.54  0.1837  0.070  0.552    374    325  1.020
tlse             tlse_fac10               71.52   -1.05  0.1863  0.073  0.574    593    498  1.038
tlse             tlse_mixed               70.05   -2.51  0.1985  0.103  0.386   1343   1115  0.951
tlse             tlse_spots02             72.73   +0.17  0.1813  0.057  0.493    579    594  0.983
tlse             tlse_spots05             71.15   -1.41  0.1872  0.077  0.441   1036    908  0.958
tlse             tlse_spots10             69.40   -3.16  0.2066  0.118  0.366   1446   1159  0.943
tlse             tlse_spots20             63.00   -9.57  0.2635  0.219  0.232   2101   1233  1.050
white noise      snr12                    72.39   -0.18  0.1813  0.055  0.519    461    445  1.000
white noise      snr10                    71.76   -0.80  0.1866  0.060  0.524    586    513  1.000
white noise      snr8                     71.03   -1.53  0.1890  0.062  0.506    729    590  1.000
white noise      snr5                     69.08   -3.48  0.2015  0.071  0.472   1118    802  1.000
correlated noise snr12                    71.92   -0.64  0.1838  0.062  0.520    526    468  1.000
correlated noise snr10                    71.58   -0.98  0.1889  0.063  0.519    690    601  1.000
correlated noise snr8                     69.72   -2.84  0.2003  0.081  0.503    973    715  1.000
correlated noise snr5                     66.19   -6.37  0.2243  0.114  0.460   1493    915  1.000
gain ramp        x0.25                    72.65   +0.09  0.1804  0.061  0.528    152    160  1.003
gain ramp        x0.5                     72.09   -0.47  0.1830  0.066  0.530    303    260  1.005
gain ramp        x1.0                     71.64   -0.93  0.1862  0.069  0.526    501    417  1.006
gain ramp        x2.0                     70.60   -1.96  0.1931  0.078  0.522    842    664  1.037
baseline offset  x0.25                    72.60   +0.03  0.1806  0.060  0.528    190    193  1.000
baseline offset  x0.5                     72.03   -0.53  0.1821  0.064  0.529    314    266  1.000
baseline offset  x1.0                     71.88   -0.68  0.1837  0.065  0.533    488    426  1.000
baseline offset  x2.0                     72.53   -0.03  0.1808  0.060  0.533    655    652  1.000
absolute noise   20 ppm                   72.96   +0.40  0.1835  0.074  0.531    676    712  1.000
absolute noise   50 ppm                   72.26   -0.31  0.1858  0.072  0.523    823    795  1.000
absolute noise   100 ppm                  71.96   -0.61  0.1906  0.072  0.498    930    875  1.000
absolute noise   200 ppm                  70.80   -1.76  0.1978  0.084  0.463   1113    953  1.000
noise colouring  white snr15              72.52   -0.04  0.1804  0.058  0.535    642    638  1.000
noise colouring  ariel snr15              72.54   -0.02  0.1799  0.057  0.535    615    613  1.000
noise colouring  white snr10              71.72   -0.85  0.1861  0.061  0.516    801    724  1.000
noise colouring  ariel snr10              71.76   -0.80  0.1855  0.062  0.521    735    662  1.000
noise colouring  white snr7               70.86   -1.71  0.1905  0.060  0.499    936    781  1.000
noise colouring  ariel snr7               71.20   -1.37  0.1884  0.058  0.498    892    768  1.000
noise colouring  white snr5               69.49   -3.08  0.2003  0.073  0.470   1190    911  1.000
noise colouring  ariel snr5               69.79   -2.78  0.1966  0.067  0.465   1131    879  1.000
