idx,ch4_med,o3_med,p_pos,ret_label,ncall,minutes,true_label
65,-4.077895914747854,-9.573367770747733,1.4297793318555855e-23,0,5082,37.29864569107691,0
314,-6.241326939126426,-8.845815731942928,3.779766045482075e-46,0,8295,57.25493322213491,0
598,-4.478197416073564,-6.379232310734783,0.999117637058018,1,12383,83.03977453708649,1
793,-5.2970049015212854,-6.429973500988715,0.9504535909678921,1,13725,92.08977445761363,1
819,-3.381072750107601,-4.576103331787286,0.9999999999202512,1,7402,51.329801146189375,1
843,-3.4688470799901796,-6.2879653380637315,0.9987166415308127,1,10889,74.96531837383905,1
859,-4.439800988770978,-5.731912575556003,0.9999999999999963,1,13108,90.3673017779986,1
865,-3.136233047060286,-9.913186785733513,3.26040165364425e-05,0,10531,75.16708261171976,0
1154,-3.542668661391042,-5.124989981397278,1.0,1,8347,56.56794231335322,1
1245,-7.729212550128628,-5.656460432946257,1.1598896550516885e-149,0,8015,56.89200146198273,0
1251,-3.6311896680744686,-7.340976094830193,0.051414977160669985,0,5825,42.28701011339823,0
1422,-6.024211473148004,-2.6577837400402253,0.4104731154529384,0,6763,47.165665260950725,0
1659,-4.49136588927531,-3.2110714286426756,0.9999751008808857,1,15001,103.80216392676036,1
1783,-3.5562302106515338,-9.653049629340803,4.7426239507755256e-06,0,6657,47.06056694587072,0
1848,-3.535635758919221,-8.788058210582333,0.1431871471825755,0,8998,62.579319552580515,1
2099,-3.7343612343815256,-3.711936096562609,0.9999999999999999,1,9458,67.58182360331217,1
2123,-9.66837053176158,-4.115226192557987,3.126123601549909e-13,0,7107,49.02206750313441,0
2187,-8.672345423941342,-2.8774009964013922,0.10169298904629206,0,8861,61.20756675402323,0
2490,-9.66495520404324,-7.673014022200376,1.1574172136574555e-11,0,6578,46.7739377895991,0
2526,-4.45112293809114,-2.0079597155878046,0.9999999999516096,1,12054,81.25836478074392,1
2586,-9.34612527155618,-7.454363271888499,9.825988149572745e-130,0,9029,59.170565668741865,0
2802,-5.6780145275442955,-9.359905924404455,4.7988857316620474e-45,0,9702,57.53951488733291,0
3367,-4.716237945681265,-3.5288833896722442,1.0000000000000002,1,10140,61.37986631790797,1
