idx,ch4_med,o3_med,p_pos,ret_label,ncall,minutes,true_label
65,-4.633045531874081,-10.545623531349852,2.689968547196371e-46,0,5353,27.04025637706121,0
314,-8.399337594873813,-11.377602226148118,0.0,0,8590,44.67718114852905,0
598,-7.200640219070468,-9.974060399131778,0.0,0,6779,36.701829632123314,1
793,-7.602839437032658,-10.066802613997035,0.0,0,11496,57.94279359579086,1
819,-1.0183449101808981,-7.263131327997208,0.4730633134331245,0,5620,31.387397293249766,1
843,-6.609847250983297,-9.171622807063741,5.464768882040188e-30,0,8750,47.00790302753448,1
859,-6.46652752566883,-7.624863454861071,3.7828786371601725e-82,0,10161,59.176352469126385,1
865,-5.245796552184445,-9.24478414983376,7.06170702282687e-22,0,7731,41.73789341449738,0
1154,-6.512387008199772,-8.657158493867271,6.918522852776766e-122,0,8832,55.930593796571095,1
1245,-9.380458587988928,-9.03729958726302,0.0,0,8476,40.349280432860056,0
1251,-5.313855868768709,-9.102695380711527,2.147199503882473e-55,0,5002,30.91102186838786,0
1422,-6.643859360349174,-5.149401651388972,1.996262485500255e-28,0,7050,36.04966282447179,0
1659,-7.286157277207925,-8.93693910854358,2.3234291447459242e-113,0,9795,59.003644132614134,1
1783,-6.764383361749709,-10.630878026721893,7.377028937787442e-204,0,7900,51.963352227211,0
1848,-7.219917354047249,-9.795982970833283,1.0102037111543312e-173,0,9182,45.11059877872467,1
2099,-2.123829737128606,-7.794389013606755,0.40103704576584615,0,7911,44.50246293147405,1
2123,-10.163485761245203,-4.716229331078134,6.519882408613617e-32,0,7763,37.08151160081228,0
2187,-8.832728252159649,-3.1944757574856566,0.029734037563305005,0,8104,42.52728826204936,0
2490,-10.973100712897228,-10.663894484324665,0.0,0,5323,26.104296255111695,0
2526,-6.695593934171952,-9.096701933884818,5.14639030600487e-118,0,9808,54.112152151266734,1
2586,-10.810942094773479,-9.90271988810542,0.0,0,5969,31.89780543645223,0
2802,-7.135662477396924,-11.820512759171015,0.0,0,6756,38.23252143462499,0
3367,-6.870717441024887,-6.82191394531647,1.4746098310897288e-25,0,7001,44.83797636826833,1
3490,-9.247552165016176,-7.8142616126210545,0.0,0,7071,38.14421656926473,0
3643,-6.080162900558951,-7.059569697834376,0.10942953425638788,0,10943,58.61643106540044,1
3907,-7.215271130463877,-8.197432025469906,6.3770506102219616e-270,0,7247,41.28558473587036,1
3915,-7.347952847477167,-10.677855371373704,3.9994113118552487e-215,0,7653,45.57248295942942,0
3923,-11.050699220504931,-6.267238567835601,0.0,0,7036,34.52671092748642,0
3975,-4.714420977100575,-9.247005406069,0.14848689736379408,0,8060,44.35908534129461,1
4041,-6.152943194799715,-9.017667208308685,1.57245446754343e-272,0,11936,68.33843611081441,1
4095,-5.388812453918719,-4.423767918971781,1.0,1,11945,71.64380320707957,1
4112,-6.033042414536178,-2.4773068699001652,0.3682630506870983,0,7790,38.885485212008156,1
4128,-5.926025567079388,-2.1391071982746204,0.5304763202271809,1,15043,78.84874204397201,0
4263,-5.203201787554721,-9.26647529116401,0.0194549187774593,0,9141,46.08716911474864,0
4543,-5.569509119838072,-11.291040719392466,7.979157741165447e-121,0,7008,33.86977304617564,0
4568,-7.48613075495293,-9.295838082796568,3.441150719675306e-202,0,7456,35.14776771068573,1
4680,-7.372397161816168,-8.11071702010517,9.617369013122112e-181,0,7275,43.312897642453514,1
4811,-6.8861721603813875,-9.056359175015537,5.606378658508087e-29,0,8197,49.50320342381795,1
4980,-3.675825556782485,-6.49241425641706,0.997162981366063,1,7662,43.55782521168391,1
4988,-6.037026920705005,-8.316317824201478,0.023283271422225808,0,10196,53.538212994734444,0
5065,-7.977956954430275,-6.934840073136384,1.7278899617718237e-108,0,11820,59.53085471789042,1
5120,-3.76398854852589,-9.206864480579036,0.15033600903237182,0,12458,59.77469125588735,0
