variant,molecule,classifier,case,accuracy,recall,called_present
A published,CH4,KNN,clean,0.8345549738219895,0.8022284122562674,0.39267015706806285
A published,CH4,KNN,haze2e6,0.8293193717277487,0.6880222841225627,0.31204188481675393
A published,CH4,KNN,haze3e7,0.7392670157068063,0.32590529247910865,0.12984293193717278
A published,CH4,KNN,haze2p4e8,0.6858638743455497,0.181058495821727,0.0743455497382199
A published,CH4,KNN,haze1e10,0.625130890052356,0.013927576601671309,0.009424083769633508
A published,CH4,KNN,cloud1e3,0.86282722513089,0.7855153203342619,0.3518324607329843
A published,CH4,KNN,cloud1e2,0.8366492146596859,0.6908077994428969,0.3068062827225131
A published,CH4,KNN,spots10,0.8303664921465969,0.6768802228412256,0.30261780104712044
A published,CH4,KNN,spots20,0.793717277486911,0.5431754874651811,0.2387434554973822
A published,CH4,KNN,compound,0.6712041884816754,0.13370473537604458,0.05340314136125655
A published,CH4,KNN,white_x2,0.7842931937172775,0.6295264623955432,0.31308900523560207
A published,CH4,KNN,corr_x2,0.6816753926701571,0.5766016713091922,0.37591623036649213
A published,CH4,KNN,exomol,0.8366492146596859,0.7938718662952646,0.3842931937172775
A published,CH4,KNN,exotransmit,0.8251308900523561,0.766016713091922,0.374869109947644
A published,CH4,KNN,absorbers,0.8282722513089005,0.8050139275766016,0.40104712041884816
A published,CH4,MLP,clean,0.8534031413612565,0.7381615598885793,0.3256544502617801
A published,CH4,MLP,haze2e6,0.6837696335078534,0.1615598885793872,0.061780104712041886
A published,CH4,MLP,haze3e7,0.6240837696335079,0.0,0.0
A published,CH4,MLP,haze2p4e8,0.6240837696335079,0.0,0.0
A published,CH4,MLP,haze1e10,0.5832460732984294,0.11142061281337047,0.12460732984293194
A published,CH4,MLP,cloud1e3,0.8293193717277487,0.6016713091922006,0.24712041884816754
A published,CH4,MLP,cloud1e2,0.7225130890052356,0.3008356545961003,0.12774869109947645
A published,CH4,MLP,spots10,0.7706806282722513,0.42618384401114207,0.17382198952879582
A published,CH4,MLP,spots20,0.7214659685863875,0.2646239554317549,0.10157068062827225
A published,CH4,MLP,compound,0.6240837696335079,0.0,0.0
A published,CH4,MLP,white_x2,0.7717277486910995,0.49303621169916434,0.22303664921465968
A published,CH4,MLP,corr_x2,0.7256544502617801,0.479108635097493,0.25863874345549737
A published,CH4,MLP,exomol,0.8408376963350785,0.7214484679665738,0.3256544502617801
A published,CH4,MLP,exotransmit,0.831413612565445,0.6852367688022284,0.3078534031413613
A published,CH4,MLP,absorbers,0.8450261780104712,0.7353760445682451,0.3319371727748691
A published,CH4,RFC,clean,0.8219895287958116,0.6072423398328691,0.25863874345549737
A published,CH4,RFC,haze2e6,0.7026178010471205,0.2116991643454039,0.0806282722513089
A published,CH4,RFC,haze3e7,0.6628272251308901,0.10306406685236769,0.0387434554973822
A published,CH4,RFC,haze2p4e8,0.6240837696335079,0.0,0.0
A published,CH4,RFC,haze1e10,0.6240837696335079,0.0,0.0
A published,CH4,RFC,cloud1e3,0.8073298429319372,0.5013927576601671,0.193717277486911
A published,CH4,RFC,cloud1e2,0.7036649214659686,0.21448467966573817,0.08167539267015707
A published,CH4,RFC,spots10,0.7581151832460733,0.3816155988857939,0.15287958115183245
A published,CH4,RFC,spots20,0.7277486910994765,0.2924791086350975,0.1162303664921466
A published,CH4,RFC,compound,0.650261780104712,0.06963788300835655,0.02617801047120419
A published,CH4,RFC,white_x2,0.7026178010471205,0.22841225626740946,0.09319371727748692
A published,CH4,RFC,corr_x2,0.7057591623036649,0.2924791086350975,0.1382198952879581
A published,CH4,RFC,exomol,0.7654450261780105,0.41225626740947074,0.16858638743455498
A published,CH4,RFC,exotransmit,0.7769633507853403,0.44846796657381616,0.18429319371727748
A published,CH4,RFC,absorbers,0.8272251308900523,0.6155988857938719,0.25968586387434556
A published,CH4,SVC,clean,0.8575916230366493,0.724233983286908,0.31099476439790574
A published,CH4,SVC,haze2e6,0.7256544502617801,0.27298050139275765,0.10366492146596859
A published,CH4,SVC,haze3e7,0.6240837696335079,0.0,0.0
A published,CH4,SVC,haze2p4e8,0.6240837696335079,0.0,0.0
A published,CH4,SVC,haze1e10,0.6240837696335079,0.0,0.0
A published,CH4,SVC,cloud1e3,0.8439790575916231,0.6100278551532033,0.2387434554973822
A published,CH4,SVC,cloud1e2,0.7350785340314137,0.298050139275766,0.1130890052356021
A published,CH4,SVC,spots10,0.7780104712041885,0.4401114206128134,0.1769633507853403
A published,CH4,SVC,spots20,0.7371727748691099,0.30919220055710306,0.1193717277486911
A published,CH4,SVC,compound,0.6240837696335079,0.0,0.0
A published,CH4,SVC,white_x2,0.7486910994764397,0.3593314763231198,0.14554973821989528
A published,CH4,SVC,corr_x2,0.7204188481675393,0.40947075208913647,0.21151832460732983
A published,CH4,SVC,exomol,0.8387434554973822,0.6657381615598886,0.2858638743455497
A published,CH4,SVC,exotransmit,0.8240837696335078,0.6128133704735376,0.2607329842931937
A published,CH4,SVC,absorbers,0.8554973821989529,0.7214484679665738,0.31099476439790574
A published,H2O,KNN,clean,0.6785340314136126,0.3516483516483517,0.20837696335078534
A published,H2O,KNN,haze2e6,0.6649214659685864,0.20054945054945056,0.1068062827225131
A published,H2O,KNN,haze3e7,0.6261780104712041,0.04120879120879121,0.024083769633507852
A published,H2O,KNN,haze2p4e8,0.6198952879581152,0.038461538461538464,0.028272251308900525
A published,H2O,KNN,haze1e10,0.6178010471204188,0.013736263736263736,0.011518324607329843
A published,H2O,KNN,cloud1e3,0.6827225130890052,0.3131868131868132,0.17486910994764399
A published,H2O,KNN,cloud1e2,0.6523560209424084,0.25274725274725274,0.15916230366492146
A published,H2O,KNN,spots10,0.6827225130890052,0.3021978021978022,0.16649214659685863
A published,H2O,KNN,spots20,0.6732984293193718,0.23351648351648352,0.12356020942408377
A published,H2O,KNN,compound,0.625130890052356,0.016483516483516484,0.0062827225130890054
A published,H2O,KNN,white_x2,0.6513089005235602,0.2554945054945055,0.16230366492146597
A published,H2O,KNN,corr_x2,0.6272251308900524,0.23076923076923078,0.16753926701570682
A published,H2O,KNN,exomol,0.6712041884816754,0.31868131868131866,0.1905759162303665
A published,H2O,KNN,exotransmit,0.6649214659685864,0.2967032967032967,0.18010471204188483
A published,H2O,KNN,absorbers,0.6837696335078534,0.3489010989010989,0.20104712041884817
A published,H2O,MLP,clean,0.7863874345549738,0.6071428571428571,0.29528795811518327
A published,H2O,MLP,haze2e6,0.6418848167539267,0.07692307692307693,0.0356020942408377
A published,H2O,MLP,haze3e7,0.618848167539267,0.0,0.0
A published,H2O,MLP,haze2p4e8,0.6178010471204188,0.0,0.0010471204188481676
A published,H2O,MLP,haze1e10,0.6198952879581152,0.0027472527472527475,0.0010471204188481676
A published,H2O,MLP,cloud1e3,0.749738219895288,0.4230769230769231,0.19162303664921465
A published,H2O,MLP,cloud1e2,0.6910994764397905,0.2664835164835165,0.13089005235602094
A published,H2O,MLP,spots10,0.7403141361256544,0.3543956043956044,0.1486910994764398
A published,H2O,MLP,spots20,0.6952879581151833,0.21428571428571427,0.08691099476439791
A published,H2O,MLP,compound,0.618848167539267,0.0,0.0
A published,H2O,MLP,white_x2,0.7109947643979058,0.40384615384615385,0.2157068062827225
A published,H2O,MLP,corr_x2,0.6764397905759162,0.29120879120879123,0.1643979057591623
A published,H2O,MLP,exomol,0.743455497382199,0.5631868131868132,0.30471204188481676
A published,H2O,MLP,exotransmit,0.7581151832460733,0.5494505494505495,0.27958115183246074
A published,H2O,MLP,absorbers,0.7801047120418848,0.5934065934065934,0.29109947643979056
A published,H2O,RFC,clean,0.7602094240837697,0.41483516483516486,0.17486910994764399
A published,H2O,RFC,haze2e6,0.6356020942408377,0.046703296703296704,0.018848167539267015
A published,H2O,RFC,haze3e7,0.6198952879581152,0.0027472527472527475,0.0010471204188481676
A published,H2O,RFC,haze2p4e8,0.6198952879581152,0.0027472527472527475,0.0010471204188481676
A published,H2O,RFC,haze1e10,0.618848167539267,0.0,0.0
A published,H2O,RFC,cloud1e3,0.7172774869109948,0.2664835164835165,0.10471204188481675
A published,H2O,RFC,cloud1e2,0.6659685863874345,0.12637362637362637,0.049214659685863874
A published,H2O,RFC,spots10,0.6858638743455497,0.18681318681318682,0.07539267015706806
A published,H2O,RFC,spots20,0.6586387434554973,0.11263736263736264,0.04607329842931937
A published,H2O,RFC,compound,0.618848167539267,0.0,0.0
A published,H2O,RFC,white_x2,0.6921465968586388,0.22252747252747251,0.09633507853403141
A published,H2O,RFC,corr_x2,0.6879581151832461,0.21978021978021978,0.09842931937172775
A published,H2O,RFC,exomol,0.7350785340314137,0.36813186813186816,0.1643979057591623
A published,H2O,RFC,exotransmit,0.7308900523560209,0.34615384615384615,0.1518324607329843
A published,H2O,RFC,absorbers,0.7549738219895288,0.4010989010989011,0.16963350785340314
A published,H2O,SVC,clean,0.7832460732984293,0.4945054945054945,0.21256544502617802
A published,H2O,SVC,haze2e6,0.6345549738219896,0.04945054945054945,0.02198952879581152
A published,H2O,SVC,haze3e7,0.618848167539267,0.0,0.0
A published,H2O,SVC,haze2p4e8,0.618848167539267,0.0,0.0
A published,H2O,SVC,haze1e10,0.618848167539267,0.0,0.0
A published,H2O,SVC,cloud1e3,0.7403141361256544,0.3543956043956044,0.1486910994764398
A published,H2O,SVC,cloud1e2,0.6795811518324607,0.18681318681318682,0.08167539267015707
A published,H2O,SVC,spots10,0.7256544502617801,0.2967032967032967,0.1193717277486911
A published,H2O,SVC,spots20,0.6816753926701571,0.17582417582417584,0.0712041884816754
A published,H2O,SVC,compound,0.618848167539267,0.0,0.0
A published,H2O,SVC,white_x2,0.7015706806282722,0.25824175824175827,0.11413612565445026
A published,H2O,SVC,corr_x2,0.6848167539267016,0.2774725274725275,0.14554973821989528
A published,H2O,SVC,exomol,0.7570680628272252,0.4478021978021978,0.2031413612565445
A published,H2O,SVC,exotransmit,0.7507853403141361,0.41208791208791207,0.18219895287958116
A published,H2O,SVC,absorbers,0.7853403141361257,0.49725274725274726,0.21256544502617802
A published,CO2,KNN,clean,0.7863874345549738,0.7046632124352331,0.37905759162303665
A published,CO2,KNN,haze2e6,0.7821989528795812,0.616580310880829,0.31204188481675393
A published,CO2,KNN,haze3e7,0.7340314136125654,0.38860103626943004,0.17591623036649215
A published,CO2,KNN,haze2p4e8,0.6837696335078534,0.23834196891191708,0.10471204188481675
A published,CO2,KNN,haze1e10,0.612565445026178,0.04922279792746114,0.023036649214659685
A published,CO2,KNN,cloud1e3,0.7780104712041885,0.6658031088082902,0.35602094240837695
A published,CO2,KNN,cloud1e2,0.7612565445026178,0.6010362694300518,0.3204188481675393
A published,CO2,KNN,spots10,0.7821989528795812,0.6243523316062176,0.3183246073298429
A published,CO2,KNN,spots20,0.7570680628272252,0.5181347150259067,0.25759162303664923
A published,CO2,KNN,compound,0.6628272251308901,0.16839378238341968,0.06910994764397906
A published,CO2,KNN,white_x2,0.724607329842932,0.5025906735751295,0.2774869109947644
A published,CO2,KNN,corr_x2,0.6628272251308901,0.422279792746114,0.2743455497382199
A published,CO2,KNN,exomol,0.7350785340314137,0.5,0.2649214659685864
A published,CO2,KNN,exotransmit,0.7528795811518325,0.6217616580310881,0.34554973821989526
A published,CO2,KNN,absorbers,0.7895287958115184,0.689119170984456,0.3633507853403141
A published,CO2,MLP,clean,0.8282722513089005,0.7564766839378239,0.37905759162303665
A published,CO2,MLP,haze2e6,0.6596858638743456,0.17357512953367876,0.07643979057591622
A published,CO2,MLP,haze3e7,0.5947643979057592,0.0,0.0010471204188481676
A published,CO2,MLP,haze2p4e8,0.5958115183246073,0.0025906735751295338,0.0020942408376963353
A published,CO2,MLP,haze1e10,0.5979057591623037,0.007772020725388601,0.004188481675392671
A published,CO2,MLP,cloud1e3,0.7958115183246073,0.6269430051813472,0.3068062827225131
A published,CO2,MLP,cloud1e2,0.7340314136125654,0.4274611398963731,0.20732984293193718
A published,CO2,MLP,spots10,0.7424083769633508,0.43523316062176165,0.20523560209424083
A published,CO2,MLP,spots20,0.6816753926701571,0.23316062176165803,0.10261780104712041
A published,CO2,MLP,compound,0.5958115183246073,0.0,0.0
A published,CO2,MLP,white_x2,0.7204188481675393,0.43005181347150256,0.22303664921465968
A published,CO2,MLP,corr_x2,0.6973821989528796,0.4067357512953368,0.22722513089005236
A published,CO2,MLP,exomol,0.7905759162303665,0.582901554404145,0.2764397905759162
A published,CO2,MLP,exotransmit,0.7842931937172775,0.6373056994818653,0.3267015706806283
A published,CO2,MLP,absorbers,0.8356020942408376,0.7331606217616581,0.35287958115183243
A published,CO2,RFC,clean,0.7780104712041885,0.5310880829015544,0.24712041884816754
A published,CO2,RFC,haze2e6,0.6963350785340314,0.266839378238342,0.11518324607329843
A published,CO2,RFC,haze3e7,0.6178010471204188,0.054404145077720206,0.02198952879581152
A published,CO2,RFC,haze2p4e8,0.5979057591623037,0.0051813471502590676,0.0020942408376963353
A published,CO2,RFC,haze1e10,0.5958115183246073,0.0,0.0
A published,CO2,RFC,cloud1e3,0.7549738219895288,0.45077720207253885,0.20523560209424083
A published,CO2,RFC,cloud1e2,0.7089005235602094,0.28756476683937826,0.1193717277486911
A published,CO2,RFC,spots10,0.7162303664921466,0.3471502590673575,0.16020942408376965
A published,CO2,RFC,spots20,0.6837696335078534,0.23834196891191708,0.10471204188481675
A published,CO2,RFC,compound,0.6031413612565445,0.018134715025906734,0.007329842931937173
A published,CO2,RFC,white_x2,0.6492146596858639,0.15803108808290156,0.0743455497382199
A published,CO2,RFC,corr_x2,0.6513089005235602,0.19430051813471502,0.10157068062827225
A published,CO2,RFC,exomol,0.7287958115183246,0.35233160621761656,0.1518324607329843
A published,CO2,RFC,exotransmit,0.7267015706806282,0.37305699481865284,0.1706806282722513
A published,CO2,RFC,absorbers,0.7832460732984293,0.533678756476684,0.24397905759162303
A published,CO2,SVC,clean,0.8251308900523561,0.6476683937823834,0.2942408376963351
A published,CO2,SVC,haze2e6,0.680628272251309,0.21761658031088082,0.09109947643979058
A published,CO2,SVC,haze3e7,0.5958115183246073,0.0,0.0
A published,CO2,SVC,haze2p4e8,0.5958115183246073,0.0,0.0
A published,CO2,SVC,haze1e10,0.5958115183246073,0.0,0.0
A published,CO2,SVC,cloud1e3,0.7916230366492146,0.5259067357512953,0.2293193717277487
A published,CO2,SVC,cloud1e2,0.7287958115183246,0.35233160621761656,0.1518324607329843
A published,CO2,SVC,spots10,0.7382198952879581,0.39378238341968913,0.17591623036649215
A published,CO2,SVC,spots20,0.6858638743455497,0.23834196891191708,0.10261780104712041
A published,CO2,SVC,compound,0.5958115183246073,0.0,0.0
A published,CO2,SVC,white_x2,0.6848167539267016,0.2538860103626943,0.1162303664921466
A published,CO2,SVC,corr_x2,0.6722513089005235,0.29015544041450775,0.1581151832460733
A published,CO2,SVC,exomol,0.7602094240837697,0.43523316062176165,0.187434554973822
A published,CO2,SVC,exotransmit,0.7696335078534031,0.4948186528497409,0.2261780104712042
A published,CO2,SVC,absorbers,0.8178010471204189,0.6191709844559585,0.27853403141361255
A published,NH3,KNN,clean,0.8219895287958116,0.6666666666666666,0.3078534031413613
A published,NH3,KNN,haze2e6,0.7329842931937173,0.3602150537634409,0.1581151832460733
A published,NH3,KNN,haze3e7,0.6324607329842932,0.05913978494623656,0.024083769633507852
A published,NH3,KNN,haze2p4e8,0.6356020942408377,0.06989247311827956,0.02931937172774869
A published,NH3,KNN,haze1e10,0.6104712041884817,0.22849462365591397,0.17801047120418848
A published,NH3,KNN,cloud1e3,0.8041884816753927,0.5940860215053764,0.26910994764397905
A published,NH3,KNN,cloud1e2,0.7486910994764397,0.43010752688172044,0.1968586387434555
A published,NH3,KNN,spots10,0.7654450261780105,0.4381720430107527,0.18638743455497384
A published,NH3,KNN,spots20,0.7225130890052356,0.3118279569892473,0.13089005235602094
A published,NH3,KNN,compound,0.618848167539267,0.026881720430107527,0.012565445026178011
A published,NH3,KNN,white_x2,0.7308900523560209,0.47580645161290325,0.25026178010471206
A published,NH3,KNN,corr_x2,0.6554973821989529,0.3897849462365591,0.25863874345549737
A published,NH3,KNN,exomol,0.7926701570680629,0.7150537634408602,0.374869109947644
A published,NH3,KNN,exotransmit,0.7863874345549738,0.6021505376344086,0.2931937172774869
A published,NH3,KNN,absorbers,0.818848167539267,0.6693548387096774,0.31308900523560207
A published,NH3,MLP,clean,0.8523560209424084,0.7365591397849462,0.3319371727748691
A published,NH3,MLP,haze2e6,0.6523560209424084,0.11290322580645161,0.04607329842931937
A published,NH3,MLP,haze3e7,0.6094240837696335,0.0,0.0010471204188481676
A published,NH3,MLP,haze2p4e8,0.6094240837696335,0.0,0.0010471204188481676
A published,NH3,MLP,haze1e10,0.5947643979057592,0.12903225806451613,0.1162303664921466
A published,NH3,MLP,cloud1e3,0.7905759162303665,0.5161290322580645,0.22198952879581152
A published,NH3,MLP,cloud1e2,0.6890052356020943,0.25806451612903225,0.1225130890052356
A published,NH3,MLP,spots10,0.7361256544502618,0.32526881720430106,0.12774869109947645
A published,NH3,MLP,spots20,0.6816753926701571,0.1827956989247312,0.0712041884816754
A published,NH3,MLP,compound,0.6104712041884817,0.0,0.0
A published,NH3,MLP,white_x2,0.768586387434555,0.49731182795698925,0.2293193717277487
A published,NH3,MLP,corr_x2,0.7172774869109948,0.4543010752688172,0.24712041884816754
A published,NH3,MLP,exomol,0.8136125654450261,0.7983870967741935,0.418848167539267
A published,NH3,MLP,exotransmit,0.8167539267015707,0.6505376344086021,0.30052356020942406
A published,NH3,MLP,absorbers,0.8492146596858638,0.7258064516129032,0.3267015706806283
A published,NH3,RFC,clean,0.8450261780104712,0.6397849462365591,0.2638743455497382
A published,NH3,RFC,haze2e6,0.6544502617801047,0.11290322580645161,0.04397905759162304
A published,NH3,RFC,haze3e7,0.6104712041884817,0.0,0.0
A published,NH3,RFC,haze2p4e8,0.612565445026178,0.005376344086021506,0.0020942408376963353
A published,NH3,RFC,haze1e10,0.6094240837696335,0.0,0.0010471204188481676
A published,NH3,RFC,cloud1e3,0.7612565445026178,0.3924731182795699,0.1549738219895288
A published,NH3,RFC,cloud1e2,0.6617801047120419,0.13172043010752688,0.05130890052356021
A published,NH3,RFC,spots10,0.7130890052356021,0.26881720430107525,0.1068062827225131
A published,NH3,RFC,spots20,0.6670157068062827,0.15053763440860216,0.060732984293193716
A published,NH3,RFC,compound,0.6104712041884817,0.0,0.0
A published,NH3,RFC,white_x2,0.7026178010471205,0.239247311827957,0.09424083769633508
A published,NH3,RFC,corr_x2,0.7057591623036649,0.25,0.09947643979057591
A published,NH3,RFC,exomol,0.8471204188481676,0.7473118279569892,0.34554973821989526
A published,NH3,RFC,exotransmit,0.7947643979057591,0.5,0.20523560209424083
A published,NH3,RFC,absorbers,0.8439790575916231,0.6370967741935484,0.2628272251308901
A published,NH3,SVC,clean,0.8607329842931937,0.6935483870967742,0.2900523560209424
A published,NH3,SVC,haze2e6,0.6617801047120419,0.13172043010752688,0.05130890052356021
A published,NH3,SVC,haze3e7,0.6104712041884817,0.0,0.0
A published,NH3,SVC,haze2p4e8,0.6104712041884817,0.0,0.0
A published,NH3,SVC,haze1e10,0.6104712041884817,0.0,0.0
A published,NH3,SVC,cloud1e3,0.7958115183246073,0.49193548387096775,0.19790575916230366
A published,NH3,SVC,cloud1e2,0.694240837696335,0.21774193548387097,0.08586387434554973
A published,NH3,SVC,spots10,0.7267015706806282,0.30376344086021506,0.12041884816753927
A published,NH3,SVC,spots20,0.6837696335078534,0.19086021505376344,0.07539267015706806
A published,NH3,SVC,compound,0.6104712041884817,0.0,0.0
A published,NH3,SVC,white_x2,0.7455497382198953,0.3682795698924731,0.1518324607329843
A published,NH3,SVC,corr_x2,0.7172774869109948,0.3844086021505376,0.19267015706806281
