case,host,n,accuracy
clean,M,166,0.7827560240963856
clean,K,205,0.8103658536585366
clean,G,320,0.81953125
clean,F+,264,0.8184185606060606
spots10,M,166,0.733433734939759
spots10,K,205,0.750609756097561
spots10,G,320,0.744921875
spots10,F+,264,0.7417140151515151
spots20,M,166,0.7067018072289156
spots20,K,205,0.7167682926829269
spots20,G,320,0.69921875
spots20,F+,264,0.6955492424242424
haze3e7,M,166,0.6554969879518073
haze3e7,K,205,0.6274390243902439
haze3e7,G,320,0.6298828125
haze3e7,F+,264,0.629498106060606
compound,M,166,0.6475903614457832
compound,K,205,0.6164634146341463
compound,G,320,0.61796875
compound,F+,264,0.6167140151515151
cloud1e2,M,166,0.6856174698795181
cloud1e2,K,205,0.711280487804878
cloud1e2,G,320,0.7183593749999999
cloud1e2,F+,264,0.7263257575757576
