variant,molecule,classifier,clean,cloud1e4,cloud1e3,cloud1e2,cloud1e1,haze2e5,haze2e6,haze3e7,haze2p4e8,haze1e10,absorbers,exomol,exotransmit,spots02,spots05,spots10,spots20,fac10,compound,white_x1.5,white_x2,white_x3,corr_x1.5,corr_x2,corr_x3,ramp_x1,ramp_x2
full,CH4,KNN,0.8293193717277487,0.8335078534031414,0.8439790575916231,0.8502617801047121,0.7916230366492146,0.8272251308900523,0.8303664921465969,0.8219895287958116,0.7706806282722513,0.6230366492146597,0.8251308900523561,0.8219895287958116,0.8198952879581152,0.8356020942408376,0.8397905759162304,0.8356020942408376,0.8031413612565445,0.8293193717277487,0.7905759162303665,0.8052356020942408,0.7706806282722513,0.7319371727748691,0.7068062827225131,0.675392670157068,0.6345549738219896,0.7727748691099476,0.675392670157068
full,CH4,MLP,0.8303664921465969,0.8387434554973822,0.8345549738219895,0.7895287958115184,0.7204188481675393,0.8335078534031414,0.8240837696335078,0.8104712041884817,0.7905759162303665,0.5528795811518324,0.8293193717277487,0.8146596858638744,0.8167539267015707,0.8356020942408376,0.8356020942408376,0.8429319371727748,0.8293193717277487,0.8230366492146597,0.8230366492146597,0.8041884816753927,0.7759162303664922,0.7319371727748691,0.7455497382198953,0.7026178010471205,0.6534031413612565,0.7832460732984293,0.6732984293193718
full,CH4,RFC,0.8502617801047121,0.8513089005235602,0.8534031413612565,0.7947643979057591,0.6931937172774869,0.8481675392670157,0.8450261780104712,0.8167539267015707,0.7078534031413612,0.6240837696335079,0.8460732984293193,0.787434554973822,0.8094240837696335,0.8460732984293193,0.8450261780104712,0.8408376963350785,0.8178010471204189,0.8460732984293193,0.774869109947644,0.8010471204188482,0.7549738219895288,0.6994764397905759,0.7633507853403141,0.7256544502617801,0.680628272251309,0.7539267015706806,0.606282722513089
full,CH4,SVC,0.8586387434554974,0.8701570680628272,0.8691099476439791,0.8387434554973822,0.7486910994764397,0.8554973821989529,0.8523560209424084,0.8240837696335078,0.7958115183246073,0.6209424083769634,0.8586387434554974,0.8408376963350785,0.8397905759162304,0.856544502617801,0.8554973821989529,0.8481675392670157,0.8502617801047121,0.8617801047120419,0.818848167539267,0.8282722513089005,0.7895287958115184,0.7340314136125654,0.749738219895288,0.6952879581151833,0.6659685863874345,0.8293193717277487,0.7361256544502618
full,H2O,KNN,0.6670157068062827,0.669109947643979,0.6586387434554973,0.6387434554973822,0.6094240837696335,0.6638743455497382,0.6513089005235602,0.6345549738219896,0.6020942408376964,0.6136125654450262,0.6638743455497382,0.6450261780104712,0.6418848167539267,0.6638743455497382,0.6670157068062827,0.6628272251308901,0.6680628272251309,0.6670157068062827,0.6261780104712041,0.6544502617801047,0.6335078534031413,0.6198952879581152,0.6230366492146597,0.6052356020942409,0.587434554973822,0.6712041884816754,0.6376963350785341
full,H2O,MLP,0.7350785340314137,0.7350785340314137,0.7277486910994765,0.6910994764397905,0.6523560209424084,0.7340314136125654,0.7225130890052356,0.7151832460732984,0.6628272251308901,0.6167539267015707,0.7193717277486911,0.7026178010471205,0.7068062827225131,0.7298429319371728,0.7225130890052356,0.7183246073298429,0.7183246073298429,0.7298429319371728,0.7151832460732984,0.7005235602094241,0.6890052356020943,0.6450261780104712,0.6670157068062827,0.6303664921465969,0.612565445026178,0.7109947643979058,0.6869109947643979
full,H2O,RFC,0.7120418848167539,0.7162303664921466,0.6848167539267016,0.6628272251308901,0.6376963350785341,0.7005235602094241,0.6670157068062827,0.643979057591623,0.6272251308900524,0.6178010471204188,0.7026178010471205,0.6858638743455497,0.6785340314136126,0.7036649214659686,0.6994764397905759,0.6952879581151833,0.6795811518324607,0.7141361256544503,0.643979057591623,0.675392670157068,0.6670157068062827,0.6397905759162303,0.6774869109947644,0.6565445026178011,0.6387434554973822,0.6732984293193718,0.6387434554973822
full,H2O,SVC,0.7507853403141361,0.7560209424083769,0.7267015706806282,0.6816753926701571,0.6523560209424084,0.743455497382199,0.7089005235602094,0.669109947643979,0.6450261780104712,0.618848167539267,0.7476439790575916,0.724607329842932,0.7172774869109948,0.7539267015706806,0.7518324607329843,0.7549738219895288,0.7465968586387435,0.7486910994764397,0.6795811518324607,0.7130890052356021,0.6858638743455497,0.6450261780104712,0.6848167539267016,0.6617801047120419,0.6492146596858639,0.7193717277486911,0.6732984293193718
full,CO2,KNN,0.7696335078534031,0.7602094240837697,0.7591623036649214,0.7654450261780105,0.7570680628272252,0.7612565445026178,0.7643979057591623,0.7727748691099476,0.7759162303664922,0.6272251308900524,0.7675392670157068,0.7424083769633508,0.7476439790575916,0.768586387434555,0.749738219895288,0.7465968586387435,0.7486910994764397,0.7528795811518325,0.7329842931937173,0.7267015706806282,0.7078534031413612,0.6785340314136126,0.675392670157068,0.6575916230366492,0.6272251308900524,0.7329842931937173,0.6732984293193718
full,CO2,MLP,0.7560209424083769,0.7549738219895288,0.7486910994764397,0.7465968586387435,0.7287958115183246,0.7581151832460733,0.768586387434555,0.7664921465968586,0.7811518324607329,0.694240837696335,0.7664921465968586,0.7518324607329843,0.7382198952879581,0.7591623036649214,0.762303664921466,0.7612565445026178,0.7664921465968586,0.7549738219895288,0.7738219895287958,0.7518324607329843,0.7287958115183246,0.6837696335078534,0.6994764397905759,0.675392670157068,0.631413612565445,0.7675392670157068,0.7340314136125654
full,CO2,RFC,0.8020942408376963,0.8010471204188482,0.8,0.7842931937172775,0.7319371727748691,0.7968586387434555,0.806282722513089,0.7842931937172775,0.7277486910994765,0.5958115183246073,0.8115183246073299,0.762303664921466,0.7717277486910995,0.8010471204188482,0.7926701570680629,0.7916230366492146,0.774869109947644,0.8073298429319372,0.7507853403141361,0.7476439790575916,0.7057591623036649,0.6565445026178011,0.7267015706806282,0.6879581151832461,0.6513089005235602,0.7696335078534031,0.7287958115183246
full,CO2,SVC,0.8104712041884817,0.8094240837696335,0.8146596858638744,0.806282722513089,0.7643979057591623,0.8094240837696335,0.8136125654450261,0.7916230366492146,0.7654450261780105,0.6272251308900524,0.8115183246073299,0.7643979057591623,0.7832460732984293,0.8104712041884817,0.8104712041884817,0.8052356020942408,0.8020942408376963,0.806282722513089,0.7696335078534031,0.7591623036649214,0.7225130890052356,0.6722513089005235,0.7235602094240837,0.6785340314136126,0.6471204188481675,0.8020942408376963,0.7539267015706806
full,NH3,KNN,0.7895287958115184,0.8,0.7706806282722513,0.724607329842932,0.6523560209424084,0.7853403141361257,0.7403141361256544,0.7235602094240837,0.6397905759162303,0.6115183246073298,0.7863874345549738,0.7706806282722513,0.7507853403141361,0.7916230366492146,0.7717277486910995,0.7560209424083769,0.7172774869109948,0.774869109947644,0.7193717277486911,0.7570680628272252,0.7256544502617801,0.6722513089005235,0.6774869109947644,0.6565445026178011,0.6,0.7392670157068063,0.6534031413612565
full,NH3,MLP,0.8219895287958116,0.8261780104712042,0.7832460732984293,0.7005235602094241,0.625130890052356,0.8094240837696335,0.7727748691099476,0.749738219895288,0.7099476439790576,0.5989528795811518,0.8178010471204189,0.8031413612565445,0.7884816753926701,0.818848167539267,0.8073298429319372,0.7958115183246073,0.7780104712041885,0.8115183246073299,0.7539267015706806,0.7821989528795812,0.7392670157068063,0.6900523560209424,0.7329842931937173,0.7099476439790576,0.6376963350785341,0.7989528795811518,0.7424083769633508
full,NH3,RFC,0.8439790575916231,0.8712041884816754,0.8356020942408376,0.7518324607329843,0.6575916230366492,0.8492146596858638,0.7696335078534031,0.6481675392670158,0.6136125654450262,0.6104712041884817,0.8439790575916231,0.8513089005235602,0.837696335078534,0.8366492146596859,0.7989528795811518,0.7675392670157068,0.7130890052356021,0.8219895287958116,0.6335078534031413,0.8198952879581152,0.7832460732984293,0.7350785340314137,0.806282722513089,0.7539267015706806,0.6921465968586388,0.7916230366492146,0.6743455497382199
full,NH3,SVC,0.8534031413612565,0.8607329842931937,0.831413612565445,0.7643979057591623,0.6774869109947644,0.8481675392670157,0.8052356020942408,0.7151832460732984,0.680628272251309,0.6230366492146597,0.8513089005235602,0.8450261780104712,0.8219895287958116,0.8450261780104712,0.8230366492146597,0.7979057591623037,0.762303664921466,0.8439790575916231,0.7015706806282722,0.8041884816753927,0.7633507853403141,0.7214659685863875,0.7476439790575916,0.6910994764397905,0.6450261780104712,0.831413612565445,0.8157068062827225
no_haze,CH4,KNN,0.8303664921465969,0.8335078534031414,0.8418848167539267,0.8554973821989529,0.7842931937172775,0.831413612565445,0.8439790575916231,0.7769633507853403,0.7277486910994765,0.6136125654450262,0.8293193717277487,0.8303664921465969,0.8272251308900523,0.8303664921465969,0.8345549738219895,0.8282722513089005,0.7926701570680629,0.8272251308900523,0.724607329842932,0.8083769633507853,0.7769633507853403,0.7099476439790576,0.7099476439790576,0.680628272251309,0.6471204188481675,0.7853403141361257,0.7120418848167539
no_haze,CH4,MLP,0.8617801047120419,0.856544502617801,0.8492146596858638,0.7832460732984293,0.7068062827225131,0.86282722513089,0.7916230366492146,0.7099476439790576,0.7821989528795812,0.5130890052356021,0.8513089005235602,0.8356020942408376,0.8324607329842932,0.8586387434554974,0.8575916230366493,0.8492146596858638,0.8293193717277487,0.8366492146596859,0.7560209424083769,0.8157068062827225,0.7926701570680629,0.743455497382199,0.7612565445026178,0.7151832460732984,0.6774869109947644,0.8094240837696335,0.7109947643979058
no_haze,CH4,RFC,0.8408376963350785,0.8481675392670157,0.856544502617801,0.7958115183246073,0.6910994764397905,0.8429319371727748,0.8209424083769633,0.7958115183246073,0.6481675392670158,0.6240837696335079,0.8450261780104712,0.8083769633507853,0.8157068062827225,0.8397905759162304,0.8387434554973822,0.8240837696335078,0.8031413612565445,0.8418848167539267,0.7539267015706806,0.7958115183246073,0.7591623036649214,0.7026178010471205,0.7675392670157068,0.7235602094240837,0.6816753926701571,0.7382198952879581,0.6094240837696335
no_haze,CH4,SVC,0.8680628272251308,0.8848167539267016,0.8764397905759163,0.8293193717277487,0.7319371727748691,0.8680628272251308,0.8366492146596859,0.7769633507853403,0.7151832460732984,0.6240837696335079,0.8701570680628272,0.856544502617801,0.8554973821989529,0.8659685863874346,0.8575916230366493,0.8492146596858638,0.8345549738219895,0.8649214659685864,0.774869109947644,0.837696335078534,0.7947643979057591,0.7298429319371728,0.7570680628272252,0.6952879581151833,0.6659685863874345,0.8387434554973822,0.7811518324607329
no_haze,H2O,KNN,0.6481675392670158,0.6450261780104712,0.6607329842931937,0.6387434554973822,0.6146596858638743,0.6408376963350786,0.6387434554973822,0.6136125654450262,0.6198952879581152,0.45654450261780105,0.6523560209424084,0.6460732984293194,0.6471204188481675,0.6586387434554973,0.6607329842931937,0.6628272251308901,0.6554973821989529,0.6513089005235602,0.5790575916230366,0.6471204188481675,0.6240837696335079,0.6115183246073298,0.625130890052356,0.6293193717277487,0.6094240837696335,0.6554973821989529,0.6052356020942409
