case,accuracy,conformal_coverage,ambiguous,empty,brier,ece,mean_p_pos
clean,0.965913301222675,0.9082993701370878,0.0,0.08354946276398666,0.024861617820306617,0.008973446772987668,0.96281314
cloud_1e3Pa,0.9310855872545387,0.793442015561319,0.0,0.19173768062245275,0.05095212841101919,0.01718246055966731,0.8949937
haze_3p0e7,0.9064468321600593,0.8775472397184142,0.0,0.05798443868099296,0.0802188194230818,0.08660524571331707,0.99231917
haze_2p4e8,0.8838458688403112,0.8421637643571693,0.0,0.09577621341237495,0.0922307763237796,0.09994221519573243,0.98304737
tlse_spots10,0.8921822897369396,0.8556872915894775,0.0,0.06872915894775843,0.09217183564783368,0.08387957078174571,0.9020579
tlse_spots20,0.8584660985550204,0.8084475731752501,0.0,0.09670248240088922,0.12062874541664609,0.11067857403462047,0.8506249
exotransmit,0.900518710633568,0.8738421637643572,0.0,0.06113375324194146,0.08400529340754474,0.0844418128312121,0.8231015
exomol,0.8101148573545758,0.6289366432011856,0.0,0.3056687662097073,0.14054936347081495,0.17408914229192154,0.6207905
quenched,0.9862912189699888,0.9723971841422749,0.0,0.018340125972582437,0.012117034240457323,0.007542759471969944,0.9890254
compound_spots20_haze3e7,0.8599481289366432,0.7939977769544275,0.0,0.12689885142645424,0.114262348596712,0.09883633548812751,0.87427217
absorbers,0.7167469433123379,0.6420896628380882,0.0,0.118377176732123,0.2662937415358614,0.2517121704970737,0.4595619
absorbers_quenched,0.6632085957762134,0.6244905520563172,0.0,0.07928862541682105,0.3181065493237338,0.326208860743149,0.3432925
white_snr5,0.8973693960726195,0.7665802148944053,0.0,0.20044460911448686,0.07613252539529443,0.045327644571234074,0.8513904
correlated_snr5,0.8412374953686551,0.7499073731011485,0.0,0.15635420526120786,0.13132504670960993,0.11875135126791439,0.7803341
