case,band,n,accuracy,clean,loss
clean,M (<4000 K),2588,0.9632921174652241,0.9632921174652241,0.0
clean,K (4000-5300),2334,0.9622964867180805,0.9622964867180805,0.0
clean,G (5300-6000),1231,0.9691307879772543,0.9691307879772543,0.0
clean,F+ (>6000),2863,0.9661194551170101,0.9661194551170101,0.0
cloud_1e4Pa,M (<4000 K),2588,0.9489953632148377,0.9632921174652241,1.4296754250386456
cloud_1e4Pa,K (4000-5300),2334,0.9524421593830334,0.9622964867180805,0.9854327335047097
cloud_1e4Pa,G (5300-6000),1231,0.9536961819658814,0.9691307879772543,1.543460601137292
cloud_1e4Pa,F+ (>6000),2863,0.9521480964023751,0.9661194551170101,1.3971358714635063
cloud_1e3Pa,M (<4000 K),2588,0.9176970633693973,0.9632921174652241,4.5595054095826875
cloud_1e3Pa,K (4000-5300),2334,0.9220222793487575,0.9622964867180805,4.027420736932308
cloud_1e3Pa,G (5300-6000),1231,0.9317627944760357,0.9691307879772543,3.7367993501218555
cloud_1e3Pa,F+ (>6000),2863,0.9290953545232273,0.9661194551170101,3.7024100593782805
haze_3p0e7,M (<4000 K),2588,0.9095826893353941,0.9632921174652241,5.370942812983004
haze_3p0e7,K (4000-5300),2334,0.8946015424164524,0.9622964867180805,6.769494430162815
haze_3p0e7,G (5300-6000),1231,0.9025182778229082,0.9691307879772543,6.66125101543461
haze_3p0e7,F+ (>6000),2863,0.9056933286762138,0.9661194551170101,6.042612644079637
haze_2p4e8,M (<4000 K),2588,0.8879443585780525,0.9632921174652241,7.53477588871716
haze_2p4e8,K (4000-5300),2334,0.8757497857754927,0.9622964867180805,8.654670094258787
haze_2p4e8,G (5300-6000),1231,0.8781478472786353,0.9691307879772543,9.0982940698619
haze_2p4e8,F+ (>6000),2863,0.8801955990220048,0.9661194551170101,8.59238560950053
tlse_spots05,M (<4000 K),2588,0.9030139103554868,0.9632921174652241,6.02782071097373
tlse_spots05,K (4000-5300),2334,0.9284490145672665,0.9622964867180805,3.3847472150814073
tlse_spots05,G (5300-6000),1231,0.9122664500406173,0.9691307879772543,5.686433793663692
tlse_spots05,F+ (>6000),2863,0.9158225637443241,0.9661194551170101,5.0296891372686
tlse_spots10,M (<4000 K),2588,0.8558732612055642,0.9632921174652241,10.741885625965997
tlse_spots10,K (4000-5300),2334,0.9023136246786633,0.9622964867180805,5.998286203941728
tlse_spots10,G (5300-6000),1231,0.90089358245329,0.9691307879772543,6.823720552396429
tlse_spots10,F+ (>6000),2863,0.899406217254628,0.9661194551170101,6.671323786238215
tlse_spots20,M (<4000 K),2588,0.8013910355486863,0.9632921174652241,16.190108191653785
tlse_spots20,K (4000-5300),2334,0.8706083976006855,0.9622964867180805,9.1688089117395
tlse_spots20,G (5300-6000),1231,0.8773354995938262,0.9691307879772543,9.17952883834281
tlse_spots20,F+ (>6000),2863,0.8805448829898708,0.9661194551170101,8.557457212713937
tlse_mixed,M (<4000 K),2588,0.865919629057187,0.9632921174652241,9.737248840803714
tlse_mixed,K (4000-5300),2334,0.9048843187660668,0.9622964867180805,5.741216795201376
tlse_mixed,G (5300-6000),1231,0.9017059301380991,0.9691307879772543,6.7424857839155194
tlse_mixed,F+ (>6000),2863,0.9001047851903597,0.9661194551170101,6.601466992665039
exotransmit,M (<4000 K),2588,0.8937403400309119,0.9632921174652241,6.9551777434312285
exotransmit,K (4000-5300),2334,0.9031705227077977,0.9622964867180805,5.9125964010282805
exotransmit,G (5300-6000),1231,0.8960194963444355,0.9691307879772543,7.311129163281882
exotransmit,F+ (>6000),2863,0.9042961928047503,0.9661194551170101,6.1823262312259875
exomol,M (<4000 K),2588,0.8068006182380216,0.9632921174652241,15.649149922720252
exomol,K (4000-5300),2334,0.803770351328192,0.9622964867180805,15.852613538988859
exomol,G (5300-6000),1231,0.8074735987002437,0.9691307879772543,16.165718927701057
exomol,F+ (>6000),2863,0.8054488298987077,0.9661194551170101,16.067062521830245
quenched,M (<4000 K),2588,0.9845440494590417,0.9632921174652241,-2.1251931993817585
quenched,K (4000-5300),2334,0.980719794344473,0.9622964867180805,-1.8423307626392438
quenched,G (5300-6000),1231,0.9878147847278635,0.9691307879772543,-1.8683996750609277
quenched,F+ (>6000),2863,0.9814879497031086,0.9661194551170101,-1.5368494586098458
compound_spots20_haze3e7,M (<4000 K),2588,0.8203245749613601,0.9632921174652241,14.296754250386401
compound_spots20_haze3e7,K (4000-5300),2334,0.8641816623821765,0.9622964867180805,9.811482433590403
compound_spots20_haze3e7,G (5300-6000),1231,0.8659626320064988,0.9691307879772543,10.316815597075546
compound_spots20_haze3e7,F+ (>6000),2863,0.8711142158574922,0.9661194551170101,9.500523925951798
correlated_snr8,M (<4000 K),2588,0.8937403400309119,0.9632921174652241,6.9551777434312285
correlated_snr8,K (4000-5300),2334,0.8946015424164524,0.9622964867180805,6.769494430162815
correlated_snr8,G (5300-6000),1231,0.8984565393988627,0.9691307879772543,7.067424857839155
correlated_snr8,F+ (>6000),2863,0.8955640936081034,0.9661194551170101,7.055536150890673
white_snr5,M (<4000 K),2588,0.8941267387944358,0.9632921174652241,6.916537867078832
white_snr5,K (4000-5300),2334,0.8886032562125107,0.9622964867180805,7.369323050556986
white_snr5,G (5300-6000),1231,0.8919577579203899,0.9691307879772543,7.717303005686437
white_snr5,F+ (>6000),2863,0.8896262661543836,0.9661194551170101,7.649318896262658
exosim_shape_snr15,M (<4000 K),2588,0.9598145285935085,0.9632921174652241,0.34775888717156755
exosim_shape_snr15,K (4000-5300),2334,0.9597257926306769,0.9622964867180805,0.25706940874036244
exosim_shape_snr15,G (5300-6000),1231,0.9618196588139724,0.9691307879772543,0.7311129163281915
exosim_shape_snr15,F+ (>6000),2863,0.9668180230527419,0.9661194551170101,-0.06985679357317531
exosim_shape_snr7,M (<4000 K),2588,0.9404945904173106,0.9632921174652241,2.279752704791349
exosim_shape_snr7,K (4000-5300),2334,0.9374464438731791,0.9622964867180805,2.4850042844901443
exosim_shape_snr7,G (5300-6000),1231,0.9301380991064175,0.9691307879772543,3.8992688870836734
exosim_shape_snr7,F+ (>6000),2863,0.9416695773663989,0.9661194551170101,2.444987775061125
