Frozen screen (norm_xgb) accuracy by host-star band, configuration ariel

loss = clean accuracy of the SAME band minus shifted accuracy, in points

case                             M (<4000 K)     K (4000-5300)     G (5300-6000)        F+ (>6000)
clean                                95.90%             95.59%             96.43%             96.40%  
  n                                     2588              2334              1231              2863
cloud_1e4Pa                   94.78% (+1.12)    94.52% (+1.07)    95.69% (+0.73)    94.83% (+1.57)
cloud_1e3Pa                   90.80% (+5.10)    90.27% (+5.31)    90.98% (+5.44)    90.43% (+5.97)
haze_3p0e7                    91.34% (+4.56)    90.15% (+5.44)    91.06% (+5.36)    91.34% (+5.06)
haze_2p4e8                    89.57% (+6.34)    87.75% (+7.84)    88.55% (+7.88)    88.86% (+7.54)
tlse_spots05                  89.41% (+6.49)    92.93% (+2.66)    91.80% (+4.63)    92.28% (+4.12)
tlse_spots10                  85.20% (+10.70)    90.66% (+4.93)    89.44% (+6.99)    90.60% (+5.80)
tlse_spots20                  79.52% (+16.38)    86.80% (+8.78)    87.57% (+8.85)    88.40% (+8.00)
tlse_mixed                    86.36% (+9.54)    90.92% (+4.67)    89.76% (+6.66)    90.67% (+5.73)
exotransmit                   95.25% (+0.66)    94.94% (+0.64)    95.45% (+0.97)    95.74% (+0.66)
exomol                        87.52% (+8.38)    86.29% (+9.30)    86.43% (+9.99)    87.46% (+8.94)
quenched                      80.80% (+15.11)    81.32% (+14.27)    81.40% (+15.03)    81.31% (+15.09)
compound_spots20_haze3e7      81.72% (+14.18)    86.03% (+9.55)    86.11% (+10.32)    87.08% (+9.33)
correlated_snr8               89.64% (+6.26)    89.76% (+5.83)    90.66% (+5.77)    89.84% (+6.57)
white_snr5                    89.61% (+6.30)    88.99% (+6.60)    89.85% (+6.58)    89.35% (+7.06)
exosim_shape_snr15            95.29% (+0.62)    95.67% (-0.09)    95.78% (+0.65)    96.09% (+0.31)
exosim_shape_snr7             93.97% (+1.93)    93.10% (+2.49)    92.85% (+3.57)    93.85% (+2.55)

mean loss over shifted cases, by band: M (<4000 K) +7.10, K (4000-5300) +5.58, G (5300-6000) +6.21, F+ (>6000) +5.89
stellar-contamination cases only: M +11.19 vs F+ +5.97; every other axis: M +5.13 vs F+ +5.58
