Domain shift, configuration ariel, frozen pipeline norm_mlp; clean paired baseline 95.52% (Brier 0.0339, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                95.52   +0.00  0.0339  0.008  0.514      0      0  1.000
absorbers        absorbers                71.13  -24.39  0.2673  0.247  0.260   2246     47  0.994
absorbers        absorbers_quenched       59.95  -35.57  0.3767  0.393  0.104   3453    246  0.874
cloud            cloud_1e1Pa              52.56  -42.96  0.4592  0.462  0.971   4005    132  0.027
cloud            cloud_1e2Pa              75.85  -19.67  0.2097  0.216  0.733   1897    124  0.292
cloud            cloud_1e3Pa              89.78   -5.73  0.0783  0.069  0.589    616     99  0.588
cloud            cloud_1e4Pa              94.54   -0.98  0.0418  0.017  0.533    139     51  0.835
cloud            cloud_1e5Pa              95.43   -0.09  0.0349  0.008  0.517     19     11  0.959
compound         compound_spots10_haze2e6_snr10   80.52  -15.00  0.1765  0.175  0.675   1486    134  0.935
compound         compound_spots10_haze3e7   53.28  -42.24  0.4516  0.460  0.966   3946    138  1.009
compound         compound_spots10_haze3e7_snr8   53.28  -42.24  0.4516  0.460  0.966   3946    138  1.009
compound         compound_spots20_haze3e7   50.78  -44.74  0.4861  0.490  0.992   4172    138  1.294
compound         compound_spots20_haze3e7_snr8   50.78  -44.74  0.4861  0.490  0.992   4172    138  1.294
exomol           exomol                   87.01   -8.51  0.1045  0.117  0.406    903    136  0.868
exotransmit      exotransmit              94.06   -1.46  0.0453  0.016  0.527    148     16  0.886
haze             haze_1p0e10              50.01  -45.51  0.4990  0.499  1.000   4240    137  0.453
haze             haze_2p0e5               95.28   -0.24  0.0350  0.009  0.519     30      8  0.987
haze             haze_2p0e6               93.36   -2.16  0.0493  0.035  0.547    250     55  0.930
haze             haze_2p4e8               52.65  -42.87  0.4678  0.470  0.972   3995    130  0.741
haze             haze_3p0e7               70.44  -25.08  0.2742  0.285  0.789   2367    106  0.853
quenched         quenched                 82.69  -12.83  0.1581  0.161  0.339   1368    211  0.876
quenched         quenched_kzz10           80.66  -14.86  0.1779  0.184  0.316   1566    226  0.858
quenched         quenched_kzz11           77.91  -17.61  0.2048  0.216  0.286   1825    237  0.840
quenched         quenched_kzz7            86.08   -9.44  0.1253  0.124  0.379   1039    188  0.910
quenched         quenched_kzz8            84.62  -10.90  0.1394  0.140  0.361   1184    201  0.887
tlse             tlse_fac05               94.78   -0.74  0.0393  0.015  0.510    117     50  1.020
tlse             tlse_fac10               93.87   -1.65  0.0483  0.025  0.502    232     83  1.040
tlse             tlse_mixed               84.69  -10.83  0.1386  0.122  0.609   1124    148  0.955
tlse             tlse_spots02             93.56   -1.96  0.0493  0.023  0.531    276     99  0.975
tlse             tlse_spots05             89.59   -5.93  0.0886  0.073  0.567    664    129  0.954
tlse             tlse_spots10             83.91  -11.61  0.1463  0.128  0.629   1191    144  0.957
tlse             tlse_spots20             74.09  -21.43  0.2440  0.238  0.739   2080    148  1.072
white noise      snr12                    94.13   -1.39  0.0429  0.016  0.522    221     96  1.000
white noise      snr10                    92.95   -2.57  0.0536  0.027  0.526    350    118  1.000
white noise      snr8                     90.33   -5.19  0.0761  0.048  0.546    585    117  1.000
white noise      snr5                     80.83  -14.69  0.1614  0.145  0.630   1461    137  1.000
correlated noise snr12                    93.50   -2.02  0.0484  0.024  0.518    285    103  1.000
correlated noise snr10                    91.26   -4.26  0.0671  0.047  0.516    512    128  1.000
correlated noise snr8                     87.43   -8.09  0.1003  0.077  0.526    866    137  1.000
correlated noise snr5                     76.77  -18.74  0.2034  0.182  0.604   1849    159  1.000
gain ramp        x0.25                    95.33   -0.19  0.0345  0.009  0.514     42     25  0.995
gain ramp        x0.5                     95.10   -0.42  0.0357  0.010  0.515     71     33  1.000
gain ramp        x1.0                     94.69   -0.83  0.0397  0.012  0.520    154     79  1.005
gain ramp        x2.0                     93.08   -2.44  0.0512  0.024  0.532    334    114  1.030
baseline offset  x0.25                    95.52   +0.00  0.0339  0.008  0.514      0      0  1.000
baseline offset  x0.5                     95.52   +0.00  0.0339  0.008  0.514      0      0  1.000
baseline offset  x1.0                     95.52   +0.00  0.0339  0.008  0.514      0      0  1.000
baseline offset  x2.0                     95.52   +0.00  0.0339  0.008  0.514      0      0  1.000
absolute noise   20 ppm                   90.49   -5.02  0.0852  0.066  0.578    674    221  1.000
absolute noise   50 ppm                   88.00   -7.52  0.1112  0.096  0.607    904    226  1.000
absolute noise   100 ppm                  84.47  -11.05  0.1431  0.130  0.640   1195    199  1.000
absolute noise   200 ppm                  80.60  -14.92  0.1787  0.170  0.681   1533    188  1.000
noise colouring  white snr15              94.23   -1.29  0.0447  0.019  0.507    309    193  1.000
noise colouring  ariel snr15              95.40   -0.12  0.0349  0.006  0.514    206    195  1.000
noise colouring  exosim snr15             95.29   -0.23  0.0353  0.007  0.516    214    193  1.000
noise colouring  white snr10              91.96   -3.56  0.0607  0.036  0.523    500    179  1.000
noise colouring  ariel snr10              94.01   -1.51  0.0452  0.020  0.533    315    179  1.000
noise colouring  exosim snr10             93.79   -1.73  0.0464  0.022  0.536    336    180  1.000
