Domain shift, configuration ariel, frozen pipeline norm_rf; clean paired baseline 96.03% (Brier 0.0355, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                96.03   +0.00  0.0355  0.037  0.522      0      0  1.000
absorbers        absorbers                72.60  -23.43  0.1835  0.195  0.274   2172     60  1.024
absorbers        absorbers_quenched       68.69  -27.34  0.1957  0.248  0.207   2767    302  1.007
cloud            cloud_1e1Pa              53.69  -42.34  0.2419  0.164  0.056   4065    248  0.027
cloud            cloud_1e2Pa              73.70  -22.33  0.1534  0.181  0.289   2157    144  0.293
cloud            cloud_1e3Pa              89.40   -6.63  0.0908  0.129  0.455    690     92  0.582
cloud            cloud_1e4Pa              95.03   -1.00  0.0522  0.081  0.512    155     65  0.813
cloud            cloud_1e5Pa              95.95   -0.08  0.0375  0.047  0.519     32     25  0.950
compound         compound_spots10_haze2e6_snr10   88.03   -8.00  0.0764  0.046  0.510    834    113  0.955
compound         compound_spots10_haze3e7   87.24   -8.78  0.0956  0.094  0.517    900    108  1.044
compound         compound_spots10_haze3e7_snr8   87.24   -8.78  0.0956  0.094  0.517    900    108  1.044
compound         compound_spots20_haze3e7   84.98  -11.05  0.1175  0.110  0.476   1130    134  1.332
compound         compound_spots20_haze3e7_snr8   84.98  -11.05  0.1175  0.110  0.476   1130    134  1.332
exomol           exomol                   78.67  -17.36  0.1300  0.191  0.308   1777    212  0.885
exotransmit      exotransmit              90.44   -5.59  0.0628  0.088  0.428    685    181  0.896
haze             haze_1p0e10              53.06  -42.97  0.2586  0.158  0.043   4142    268  0.482
haze             haze_2p0e5               95.75   -0.28  0.0360  0.036  0.526     32      7  0.986
haze             haze_2p0e6               94.64   -1.39  0.0415  0.038  0.544    163     38  0.938
haze             haze_2p4e8               87.08   -8.95  0.1201  0.175  0.537    888     81  0.778
haze             haze_3p0e7               91.04   -4.99  0.0691  0.084  0.582    516     66  0.882
quenched         quenched                 98.15   +2.12  0.0181  0.021  0.517     44    235  0.999
quenched         quenched_kzz10           98.28   +2.25  0.0180  0.028  0.513     51    254  0.980
quenched         quenched_kzz11           98.18   +2.15  0.0192  0.040  0.505     79    273  0.956
quenched         quenched_kzz7            97.85   +1.82  0.0186  0.016  0.521     51    215  1.010
quenched         quenched_kzz8            98.01   +1.99  0.0182  0.016  0.519     47    226  1.005
tlse             tlse_fac05               95.18   -0.85  0.0403  0.034  0.500    170     93  1.018
tlse             tlse_fac10               93.71   -2.32  0.0472  0.031  0.484    325    116  1.034
tlse             tlse_mixed               88.95   -7.08  0.0706  0.040  0.505    749    111  0.963
tlse             tlse_spots02             93.72   -2.31  0.0456  0.026  0.530    270     62  0.977
tlse             tlse_spots05             91.20   -4.82  0.0581  0.019  0.522    522     87  0.958
tlse             tlse_spots10             88.53   -7.50  0.0737  0.041  0.502    793    117  0.966
tlse             tlse_spots20             85.27  -10.76  0.0975  0.049  0.473   1110    140  1.081
white noise      snr12                    94.73   -1.30  0.0469  0.059  0.515    209     92  1.000
white noise      snr10                    93.89   -2.14  0.0567  0.082  0.506    299    106  1.000
white noise      snr8                     92.44   -3.59  0.0739  0.111  0.494    435    111  1.000
white noise      snr5                     88.19   -7.84  0.1136  0.181  0.434    862    155  1.000
correlated noise snr12                    93.68   -2.35  0.0486  0.037  0.518    322    110  1.000
correlated noise snr10                    92.17   -3.86  0.0599  0.044  0.510    466    118  1.000
correlated noise snr8                     90.33   -5.70  0.0752  0.076  0.492    660    146  1.000
correlated noise snr5                     83.94  -12.09  0.1185  0.132  0.442   1233    143  1.000
gain ramp        x0.25                    95.95   -0.08  0.0357  0.038  0.522     41     34  0.993
gain ramp        x0.5                     95.76   -0.27  0.0367  0.037  0.521     74     50  1.003
gain ramp        x1.0                     95.05   -0.98  0.0408  0.038  0.522    147     59  1.004
gain ramp        x2.0                     93.84   -2.19  0.0520  0.059  0.521    294     97  1.032
