Domain shift, configuration ariel, frozen pipeline pca_rf; clean paired baseline 90.14% (Brier 0.0944, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                90.14   +0.00  0.0944  0.144  0.515      0      0  1.000
absorbers        absorbers                70.18  -19.96  0.1729  0.138  0.303   1859     59  0.994
absorbers        absorbers_quenched       62.64  -27.50  0.2037  0.158  0.178   2852    373  0.874
cloud            cloud_1e1Pa              52.67  -37.47  0.2491  0.060  0.227   3744    366  0.027
cloud            cloud_1e2Pa              65.58  -24.56  0.2011  0.156  0.275   2488    274  0.292
cloud            cloud_1e3Pa              77.19  -12.95  0.1589  0.192  0.383   1341    173  0.588
cloud            cloud_1e4Pa              86.15   -3.99  0.1232  0.176  0.473    445     85  0.835
cloud            cloud_1e5Pa              89.65   -0.49  0.0998  0.149  0.509     71     27  0.959
compound         compound_spots10_haze2e6_snr10   82.41   -7.73  0.1408  0.190  0.662   1035    338  0.935
compound         compound_spots10_haze3e7   70.31  -19.83  0.1850  0.220  0.777   2134    346  1.009
compound         compound_spots10_haze3e7_snr8   70.31  -19.83  0.1850  0.220  0.777   2134    346  1.009
compound         compound_spots20_haze3e7   64.11  -26.03  0.2010  0.203  0.836   2724    377  1.294
compound         compound_spots20_haze3e7_snr8   64.11  -26.03  0.2010  0.203  0.836   2724    377  1.294
exomol           exomol                   76.13  -14.01  0.1579  0.123  0.323   1567    304  0.868
exotransmit      exotransmit              89.97   -0.17  0.0980  0.151  0.501    130    115  0.886
haze             haze_1p0e10              50.22  -39.92  0.2536  0.063  0.378   4038    439  0.453
haze             haze_2p0e5               90.07   -0.07  0.0949  0.144  0.519     39     33  0.987
haze             haze_2p0e6               89.64   -0.50  0.1077  0.167  0.537    161    116  0.930
haze             haze_2p4e8               77.20  -12.94  0.1976  0.188  0.518   1484    317  0.741
haze             haze_3p0e7               82.60   -7.54  0.1573  0.215  0.629    918    238  0.853
quenched         quenched                 81.61   -8.53  0.1297  0.101  0.377   1103    334  0.876
quenched         quenched_kzz10           79.69  -10.45  0.1385  0.095  0.355   1284    342  0.858
quenched         quenched_kzz11           77.55  -12.59  0.1486  0.095  0.329   1496    361  0.840
quenched         quenched_kzz7            84.59   -5.55  0.1161  0.117  0.410    819    319  0.910
quenched         quenched_kzz8            83.41   -6.73  0.1223  0.109  0.396    936    329  0.887
tlse             tlse_fac05               88.31   -1.83  0.0980  0.124  0.473    289    124  1.020
tlse             tlse_fac10               86.59   -3.55  0.1029  0.110  0.446    493    173  1.040
tlse             tlse_mixed               85.76   -4.38  0.1195  0.157  0.622    715    320  0.955
tlse             tlse_spots02             89.39   -0.75  0.1001  0.147  0.559    256    188  0.975
tlse             tlse_spots05             87.37   -2.77  0.1101  0.154  0.599    526    276  0.954
tlse             tlse_spots10             85.07   -5.07  0.1226  0.164  0.632    787    330  0.957
tlse             tlse_spots20             81.03   -9.11  0.1433  0.170  0.663   1176    355  1.072
white noise      snr12                    89.53   -0.61  0.1000  0.149  0.511    238    183  1.000
white noise      snr10                    88.95   -1.19  0.1050  0.152  0.508    305    198  1.000
white noise      snr8                     88.54   -1.60  0.1111  0.161  0.503    406    262  1.000
white noise      snr5                     85.75   -4.39  0.1277  0.160  0.496    685    289  1.000
correlated noise snr12                    88.78   -1.36  0.1037  0.149  0.509    350    227  1.000
correlated noise snr10                    87.23   -2.91  0.1120  0.143  0.502    529    267  1.000
correlated noise snr8                     85.64   -4.50  0.1248  0.145  0.503    705    299  1.000
correlated noise snr5                     79.85  -10.29  0.1526  0.117  0.515   1246    318  1.000
gain ramp        x0.25                    90.34   +0.20  0.0945  0.144  0.513     76     94  0.995
gain ramp        x0.5                     90.14   +0.00  0.0956  0.141  0.515    160    160  1.000
gain ramp        x1.0                     89.53   -0.61  0.0993  0.145  0.514    276    221  1.005
gain ramp        x2.0                     87.19   -2.95  0.1123  0.144  0.523    549    283  1.030
baseline offset  x0.25                    90.12   -0.02  0.0944  0.144  0.515      3      1  1.000
baseline offset  x0.5                     90.13   -0.01  0.0944  0.143  0.515      7      6  1.000
baseline offset  x1.0                     90.20   +0.06  0.0944  0.144  0.515      8     13  1.000
baseline offset  x2.0                     90.22   +0.08  0.0944  0.144  0.514     13     20  1.000
absolute noise   20 ppm                   88.00   -2.14  0.0932  0.088  0.530    557    364  1.000
absolute noise   50 ppm                   86.72   -3.42  0.1017  0.090  0.531    682    374  1.000
absolute noise   100 ppm                  84.88   -5.26  0.1105  0.089  0.533    851    377  1.000
absolute noise   200 ppm                  83.21   -6.93  0.1200  0.082  0.526   1007    382  1.000
