axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9016,0.9183673469387755,0.8985629754860525,0.9432120674356699,0.9203463203463204,0.05774560045411513,0.0176066136839141,0.9775861841592468,0.5248447204968945,0,0,1.0,0.0,0.0
absorbers,absorbers,9016,0.713620230700976,0.8459051724137931,0.5224046140195209,0.6459133296763576,0.23423826938871678,0.19982016994710003,0.8235533063964369,0.3087843833185448,1902,56,0.9941625562823085,-20.47471162377995,0.17649266893460164
absorbers,absorbers_quenched,9016,0.6292147293700089,0.885506287227002,0.2968056787932564,0.4445921249376973,0.2993053536407236,0.29459085165272225,0.7804132493628599,0.16759094942324756,2985,378,0.8736405238825369,-28.915261756876664,0.24155975318660844
cloud,cloud_1e1Pa,9016,0.5723158828748891,0.5820745216515609,0.5128660159716061,0.5452830188679245,0.27183022106126115,0.15894107903769536,0.611571049082416,0.4405501330967169,3372,252,0.02673058592319427,-34.60514640638864,0.214084620607146
cloud,cloud_1e2Pa,9016,0.7694099378881988,0.8217218543046357,0.6881100266193434,0.749003984063745,0.15096358220550224,0.08499350134450542,0.8810745306185434,0.4187000887311446,1558,215,0.29248530677398543,-14.895740905057675,0.09321798175138711
cloud,cloud_1e3Pa,9016,0.8630212954747116,0.8866052445074415,0.8325199645075422,0.858711817869809,0.09601190968207726,0.05274658325336669,0.9444400923055848,0.46949866903283055,690,191,0.5883988255062337,-5.53460514640639,0.038266309227962134
cloud,cloud_1e4Pa,9016,0.8986246672582077,0.8966887417218543,0.9010647737355811,0.8988714317326842,0.07060905015356579,0.022423600297566487,0.965765313011513,0.5024401064773736,275,97,0.8351832708344601,-1.9742679680567865,0.012863449699450663
cloud,cloud_1e5Pa,9016,0.9137089618456078,0.8969774372073223,0.9347826086956522,0.9154898978926787,0.06023260268324241,0.013208245193849059,0.9752758873311295,0.5210736468500443,66,24,0.959281567621116,-0.46583850931677384,0.0024870022291272817
compound,compound_spots10_haze2e6_snr10,9016,0.8415039929015085,0.7611535199321459,0.9953416149068323,0.8626357781409209,0.11581813512733975,0.13917157274099395,0.9645161534773239,0.6538376220053239,940,247,0.9351195007505159,-7.686335403726707,0.058072534673224624
compound,compound_spots10_haze3e7,9016,0.7385758651286601,0.6577673463400323,0.9946761313220941,0.7918763796909493,0.18487588768313917,0.23247341737861832,0.9438297950444404,0.7561002661934338,1880,259,1.008650678565171,-17.97914818101154,0.12713028722902403
compound,compound_spots10_haze3e7_snr8,9016,0.7385758651286601,0.6577673463400323,0.9946761313220941,0.7918763796909493,0.18487588768313917,0.23247341737861832,0.9438297950444404,0.7561002661934338,1880,259,1.008650678565171,-17.97914818101154,0.12713028722902403
compound,compound_spots20_haze3e7,9016,0.6661490683229814,0.600456008583691,0.9931233362910381,0.7484119023737881,0.23639659887939585,0.28144654021090176,0.9161880161385181,0.8269742679680568,2530,256,1.2939516952814047,-25.221827861579417,0.1786509984252807
compound,compound_spots20_haze3e7_snr8,9016,0.6661490683229814,0.600456008583691,0.9931233362910381,0.7484119023737881,0.23639659887939585,0.28144654021090176,0.9161880161385181,0.8269742679680568,2530,256,1.2939516952814047,-25.221827861579417,0.1786509984252807
exomol,exomol,9016,0.7718500443655724,0.9268547544409613,0.5902839396628217,0.7212359398292452,0.17616027795661893,0.16832479032976616,0.9140792244331087,0.31843389529724936,1673,352,0.8678437468260486,-14.651730257320317,0.1184146775025038
exotransmit,exotransmit,9016,0.9158163265306123,0.906527868141401,0.927240461401952,0.916767189384801,0.05935347925258891,0.01273040669194135,0.9764229656987597,0.5114241348713399,129,106,0.886284129606155,-0.25510204081632404,0.0016078787984737802
haze,haze_1p0e10,9016,0.5474711623779946,0.5532603285216525,0.49312333629103816,0.5214637579169599,0.2821792827817,0.1733360955889974,0.5698706095994974,0.44565217391304346,3640,296,0.4527771225450872,-37.089618456078085,0.22443368232758487
haze,haze_2p0e5,9016,0.9177018633540373,0.8947589098532495,0.9467613132209406,0.9200258676438887,0.05850182939383058,0.020932796131905143,0.9773815789577279,0.5290594498669032,40,34,0.9874649343485641,-0.066548358473828,0.000756228939715449
haze,haze_2p0e6,9016,0.9104924578527063,0.8719597989949749,0.9622892635314996,0.9149003479911421,0.0652087155322826,0.0435541064030548,0.9739234902517776,0.5517968056787933,184,113,0.9297598120512677,-0.7874889086069259,0.007463115078167465
haze,haze_2p4e8,9016,0.8357364685004437,0.781267422412191,0.9325643300798581,0.8502376377793508,0.11769236048912043,0.0769734997822909,0.9250449659050379,0.5968278615794144,977,232,0.7414414062224247,-8.263087843833183,0.059946760035005306
haze,haze_3p0e7,9016,0.8601375332741792,0.7918389358259932,0.9771517302573203,0.8747889981133949,0.10437277785804044,0.1195887862867903,0.9565580051317623,0.6170141969831411,722,197,0.8530613381358171,-5.822981366459635,0.046627177403925316
quenched,quenched,9016,0.823868677905945,0.9368641532016756,0.6945430346051464,0.7977070063694267,0.13171804529926986,0.10716147621783376,0.9293412814761336,0.3706743566992014,1197,345,0.8756182916965526,-9.449866903283056,0.07397244484515474
quenched,quenched_kzz10,9016,0.8068988464951198,0.9393458240711337,0.6561668145519077,0.7726263549693091,0.14909843675941906,0.12528466771283428,0.9162471882777261,0.34926796805678795,1362,357,0.8580932316932658,-11.146850044365575,0.09135283630530393
quenched,quenched_kzz11,9016,0.7846051464063887,0.9415003441156229,0.6069210292812778,0.7380631238198003,0.1664042745075636,0.1475125991409293,0.9015413493432556,0.3223158828748891,1586,380,0.839572705849105,-13.376220053238686,0.10865867405344846
quenched,quenched_kzz7,9016,0.8583629103815439,0.9419972640218878,0.7637533274179237,0.8435624157785128,0.10521653491845769,0.07883453087990352,0.947912672649786,0.4053904170363798,872,331,0.9096655952629055,-6.000443655723164,0.04747093446434256
quenched,quenched_kzz8,9016,0.842058562555457,0.9408233276157805,0.7300354924578527,0.8221333999500374,0.11715422281974254,0.09208955834067767,0.939388341656635,0.38797692990239574,1025,337,0.8867873745034279,-7.630878438331856,0.05940862236562741
tlse,tlse_fac05,9016,0.9001774622892635,0.9154767388300322,0.8817657497781721,0.8983050847457628,0.07146600091545897,0.03427337796518461,0.9698267114993832,0.4815882874889086,302,138,1.019843056563476,-1.818988464951199,0.013720400461343846
tlse,tlse_fac10,9016,0.8864241348713399,0.925916870415648,0.8400621118012422,0.8809025354733659,0.08531775582287959,0.06032973980542151,0.9636676914313428,0.4536379769299024,489,201,1.0403251943223053,-3.1943212067435667,0.027572155368764464
tlse,tlse_mixed,9016,0.8710070984915705,0.8027149321266969,0.9838065661047027,0.8840825276587262,0.09257619846185702,0.09289940882487246,0.9675038421294215,0.6127994676131322,651,224,0.9547619298777812,-4.7360248447204985,0.034830598007741895
tlse,tlse_spots02,9016,0.9055013309671694,0.8650159744408946,0.9609582963620231,0.9104665825977302,0.06565584547817048,0.04285210791357623,0.9753875393759216,0.5554569653948536,238,122,0.9752978246363839,-1.2866015971606082,0.007910245024055351
tlse,tlse_spots05,9016,0.8876441881100267,0.8282923163629532,0.978039041703638,0.8969586003458447,0.08006275380174785,0.07210658577207041,0.9714048976521282,0.5903948535936113,468,191,0.954186506707098,-3.0723158828748875,0.02231715334763272
tlse,tlse_spots10,9016,0.8609139307897072,0.7882707299787385,0.9869121561668146,0.8764775413711584,0.09832265975181713,0.10534934695992051,0.9678622948928809,0.6259982253771074,741,223,0.9574089550407185,-5.745341614906829,0.040577059297702
tlse,tlse_spots20,9016,0.8176574977817214,0.7356038170450806,0.9917923691215617,0.8447005478934442,0.12840208285003354,0.14568986245271767,0.9552070104690153,0.6741348713398403,1158,250,1.071801851552552,-10.070984915705417,0.07065648239591842
white noise,snr12,9016,0.9125998225377108,0.8917438921651222,0.9392191659272404,0.9148660328435609,0.06177023838607713,0.01859409736098088,0.974902155607816,0.5266193433895298,227,175,1.0,-0.5767524401064761,0.004024637931961998
white noise,snr10,9016,0.9058340727595386,0.8850768259313828,0.9327861579414375,0.9083054325521115,0.0658070048737978,0.018954214000139063,0.971730676569073,0.5269520851818988,324,211,1.0,-1.2533274179236886,0.008061404419682672
white noise,snr8,9016,0.9040594498669032,0.8824270417803906,0.9323425022182786,0.906698306547298,0.07002129560301376,0.02096794864137449,0.9684926442510958,0.5282830523513753,375,246,1.0,-1.43078970718723,0.012275695148898633
white noise,snr5,9016,0.8802129547471162,0.8645257337303275,0.9017302573203194,0.8827361563517915,0.08513247104681199,0.025759626690185094,0.9552887442929027,0.5215173025732032,616,272,1.0,-3.815439219165928,0.027386870592696858
correlated noise,snr12,9016,0.907941437444543,0.8914431673052363,0.9290150842945873,0.9098414077775364,0.06519625517746414,0.015109040029377529,0.9727046918068954,0.5210736468500443,320,226,1.0,-1.04259094942325,0.007450654723349007
correlated noise,snr10,9016,0.8941881100266194,0.8805139186295503,0.9121561668145519,0.8960557855741992,0.0749248533278933,0.02348532470855708,0.9645262164315594,0.5179680567879326,485,267,1.0,-2.4179236912156177,0.017179252873778167
correlated noise,snr8,9016,0.8688997338065662,0.8576344086021506,0.8846495119787046,0.8709325180170343,0.09325573987880176,0.04379339504599619,0.9492362586792366,0.5157497781721384,701,255,1.0,-4.946761313220938,0.03551013942468663
correlated noise,snr5,9016,0.8122227151730257,0.8036677454153183,0.8263087843833186,0.8148310182653397,0.13825280749262991,0.08455304694615642,0.8997918223267086,0.5140860692102928,1247,290,1.0,-10.614463176574985,0.08050720703851479
gain ramp,x0.25,9016,0.9181455190771961,0.8978471929084002,0.9436557231588287,0.9201817001946788,0.05790143485622079,0.01783090007363004,0.9775775974330166,0.5255102040816326,81,79,0.9954118962014264,-0.02218278615794267,0.0001558344021056618
gain ramp,x0.5,9016,0.9157054125998225,0.8953586497890296,0.9414374445430346,0.9178200692041523,0.05942123380720622,0.0174297178324894,0.9767752675121976,0.525732031943212,124,100,0.9996030575492995,-0.2661934338953009,0.0016756333530910938
gain ramp,x1.0,9016,0.9154835847382431,0.8953144786829886,0.9409937888198758,0.917585983127839,0.06045253360038943,0.01827146274642062,0.9761606399822379,0.5255102040816326,204,178,1.005227706642494,-0.2883762200532436,0.0027069331462743
gain ramp,x2.0,9016,0.8992901508429458,0.8753127606338615,0.9312333629103815,0.9024075666380051,0.07026424688280881,0.028999413407595126,0.9705819005392365,0.5319432120674357,402,230,1.030227861011829,-1.9077196095829696,0.012518646428693686
baseline offset,x0.25,9016,0.9180346051464063,0.8979936642027455,0.9432120674356699,0.9200476035919074,0.05771072764245531,0.017556067652709426,0.9776054489347146,0.5251774622892635,4,1,1.0,-0.033274179236919554,-3.487281165982098e-05
baseline offset,x0.5,9016,0.9173691215616682,0.8976960473472839,0.9421029281277729,0.9193635674856586,0.0576659542521507,0.017616052929965986,0.9776556406868907,0.5247338065661047,9,0,1.0,-0.09982253771073646,-7.964620196442701e-05
baseline offset,x1.0,9016,0.9181455190771961,0.8986886632825719,0.9425465838509317,0.9200952793417063,0.05763471628005296,0.017587942403702733,0.9777075301012732,0.5244010647737356,11,9,1.0,-0.02218278615794267,-0.00011088417406216605
baseline offset,x2.0,9016,0.917812777284827,0.8984556801353925,0.9421029281277729,0.9197617758527341,0.05775814172163778,0.01770476413823917,0.9776238279733789,0.5242901508429458,13,8,1.0,-0.05545696539485112,1.2541267522654664e-05
absolute noise,20 ppm,9016,0.8952972493345164,0.8810949529512404,0.9139307897071872,0.8972125435540069,0.07377439513607739,0.028702888472827846,0.9685872704662282,0.5186335403726708,542,334,1.0,-2.3070097604259154,0.016028794681962263
absolute noise,50 ppm,9016,0.8832076308784383,0.8607224890373774,0.9143744454303461,0.8867376573088093,0.08426027322757144,0.03847033315210226,0.9608731672137241,0.5311668145519077,667,350,1.0,-3.5159716060337187,0.026514672773456316
absolute noise,100 ppm,9016,0.8630212954747116,0.8387497412543987,0.8988464951197871,0.8677588606917229,0.09861993965940961,0.0523903369670815,0.9488889760410163,0.5358251996450755,827,328,1.0,-5.53460514640639,0.040874339205294485
absolute noise,200 ppm,9016,0.8449423247559894,0.8253138075313807,0.8751109139307897,0.849483204134367,0.1131832546375483,0.06821951534869498,0.9356627604361445,0.5301685891748004,985,323,1.0,-7.342502218278613,0.055437654183433174
noise colouring,white snr15,9016,0.915150842945874,0.8964202499470452,0.9387755102040817,0.9171091125799111,0.05840049196533016,0.017274474361173593,0.9771374846570703,0.5236246672582077,330,301,1.0,-0.32165039929015204,0.0006548915112150333
noise colouring,ariel snr15,9016,0.9164818101153505,0.896850560135278,0.9412156166814551,0.9184976729083234,0.05835189389256692,0.016220420097980914,0.9771234850948212,0.5247338065661047,329,312,1.0,-0.18855368234250713,0.0006062934384517896
noise colouring,exosim snr15,9016,0.9152617568766637,0.8964421855146124,0.9389973380656611,0.9172264355362947,0.05889392660299608,0.01685753932420403,0.9766808627312659,0.5237355811889973,330,302,1.0,-0.31055900621118626,0.0011483261488809543
noise colouring,white snr10,9016,0.9072759538598048,0.8888182973316391,0.9310115350488021,0.9094257854821235,0.0669297272867709,0.02181752697507478,0.9711041407998714,0.5237355811889973,401,301,1.0,-1.109139307897078,0.009184126832655765
noise colouring,ariel snr10,9016,0.9074977817213842,0.885762284754305,0.9356699201419698,0.9100323624595469,0.0661987824557244,0.02088660914443588,0.9717049655979826,0.5281721384205856,398,300,1.0,-1.0869565217391353,0.008453182001609272
noise colouring,exosim snr10,9016,0.9050576752440106,0.8837746952501051,0.9327861579414375,0.9076192531836823,0.06706861580271394,0.020815187715368846,0.9711373559299883,0.5277284826974268,415,295,1.0,-1.3309671694764935,0.009323015348598807
noise colouring,white snr7,9016,0.8913043478260869,0.8742044972422571,0.9141526175687666,0.8937323790934721,0.07686148655611456,0.02287988940894402,0.9626878943005002,0.5228482697426797,529,285,1.0,-2.7062999112688613,0.019115886101999435
noise colouring,ariel snr7,9016,0.894299023957409,0.8725634038985538,0.923469387755102,0.8972949671300787,0.07660549755089058,0.026347226584414733,0.96340787530243,0.529170363797693,500,283,1.0,-2.406832298136652,0.01885989709677545
noise colouring,exosim snr7,9016,0.8927462289263531,0.8704749947687801,0.9228039041703638,0.8958759556369118,0.07677215123601652,0.025660275532595585,0.9633429458740017,0.5300576752440106,506,275,1.0,-2.5621118012422395,0.019026550781901394
noise colouring,white snr5,9016,0.8743345164152617,0.8580521960534692,0.8970718722271517,0.8771282941112678,0.08860064021894093,0.0330476618982358,0.9531948378865455,0.52273735581189,706,309,1.0,-4.403283052351381,0.0308550397648258
