Domain shift, configuration ariel, frozen pipeline pca_xgb; clean paired baseline 92.09% (Brier 0.0575, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                92.09   +0.00  0.0575  0.021  0.521      0      0  1.000
absorbers        absorbers                78.28  -13.81  0.1724  0.141  0.375   1287     42  1.024
absorbers        absorbers_quenched       80.18  -11.91  0.1571  0.175  0.330   1638    564  1.007
cloud            cloud_1e1Pa              57.82  -34.27  0.2902  0.208  0.394   3391    301  0.027
cloud            cloud_1e2Pa              78.52  -13.58  0.1536  0.120  0.387   1513    289  0.293
cloud            cloud_1e3Pa              86.77   -5.32  0.0987  0.071  0.450    698    218  0.582
cloud            cloud_1e4Pa              90.34   -1.75  0.0699  0.032  0.494    288    130  0.813
cloud            cloud_1e5Pa              91.89   -0.20  0.0592  0.020  0.517     61     43  0.950
compound         compound_spots10_haze2e6_snr10   86.68   -5.41  0.0978  0.074  0.579    749    261  0.955
compound         compound_spots10_haze3e7   76.31  -15.78  0.1708  0.190  0.707   1700    277  1.044
compound         compound_spots10_haze3e7_snr8   76.31  -15.78  0.1708  0.190  0.707   1700    277  1.044
compound         compound_spots20_haze3e7   68.99  -23.10  0.2305  0.251  0.781   2371    288  1.332
compound         compound_spots20_haze3e7_snr8   68.99  -23.10  0.2305  0.251  0.781   2371    288  1.332
exomol           exomol                   78.92  -13.18  0.1691  0.143  0.356   1536    348  0.885
exotransmit      exotransmit              90.16   -1.93  0.0713  0.042  0.468    393    219  0.896
haze             haze_1p0e10              55.40  -36.69  0.3129  0.238  0.189   3668    360  0.482
haze             haze_2p0e5               92.16   +0.07  0.0579  0.024  0.525     31     37  0.986
haze             haze_2p0e6               91.68   -0.41  0.0625  0.033  0.541    180    143  0.938
haze             haze_2p4e8               76.53  -15.56  0.1590  0.043  0.507   1682    279  0.778
haze             haze_3p0e7               85.54   -6.56  0.1096  0.095  0.588    810    219  0.882
quenched         quenched                 97.39   +5.30  0.0213  0.008  0.507     58    536  0.999
quenched         quenched_kzz10           97.15   +5.06  0.0224  0.012  0.501     89    545  0.980
quenched         quenched_kzz11           96.89   +4.80  0.0243  0.020  0.492    131    564  0.956
quenched         quenched_kzz7            97.54   +5.45  0.0209  0.009  0.514     33    524  1.010
quenched         quenched_kzz8            97.53   +5.43  0.0210  0.007  0.511     38    528  1.005
tlse             tlse_fac05               90.07   -2.02  0.0725  0.035  0.492    299    117  1.018
tlse             tlse_fac10               88.41   -3.68  0.0875  0.058  0.464    503    171  1.034
tlse             tlse_mixed               88.37   -3.73  0.0843  0.034  0.536    568    232  0.963
tlse             tlse_spots02             91.15   -0.94  0.0639  0.022  0.522    215    130  0.977
tlse             tlse_spots05             89.93   -2.16  0.0730  0.027  0.527    381    186  0.958
tlse             tlse_spots10             88.27   -3.83  0.0850  0.044  0.552    566    221  0.966
tlse             tlse_spots20             82.85   -9.24  0.1238  0.101  0.613   1109    276  1.081
white noise      snr12                    91.23   -0.87  0.0625  0.027  0.525    244    166  1.000
white noise      snr10                    90.73   -1.36  0.0663  0.027  0.528    331    208  1.000
white noise      snr8                     89.97   -2.12  0.0719  0.033  0.534    414    223  1.000
white noise      snr5                     87.82   -4.27  0.0883  0.040  0.534    649    264  1.000
correlated noise snr12                    90.47   -1.62  0.0678  0.029  0.524    335    189  1.000
correlated noise snr10                    89.57   -2.52  0.0758  0.033  0.529    449    222  1.000
correlated noise snr8                     87.03   -5.06  0.0940  0.046  0.532    722    266  1.000
correlated noise snr5                     81.81  -10.28  0.1378  0.086  0.543   1210    283  1.000
gain ramp        x0.25                    91.95   -0.14  0.0581  0.021  0.522     85     72  0.993
gain ramp        x0.5                     92.17   +0.08  0.0578  0.023  0.524    102    109  1.003
gain ramp        x1.0                     91.74   -0.35  0.0593  0.026  0.530    207    175  1.004
gain ramp        x2.0                     90.27   -1.82  0.0693  0.037  0.548    392    228  1.032
baseline offset  x0.25                    92.10   +0.01  0.0575  0.021  0.521      2      3  1.000
baseline offset  x0.5                     92.05   -0.04  0.0575  0.021  0.521      4      0  1.000
baseline offset  x1.0                     92.14   +0.04  0.0574  0.021  0.521      6     10  1.000
baseline offset  x2.0                     92.16   +0.07  0.0574  0.020  0.521     10     16  1.000
absolute noise   20 ppm                   88.98   -3.12  0.0821  0.053  0.514    585    304  1.000
absolute noise   50 ppm                   87.11   -4.98  0.0942  0.063  0.519    750    301  1.000
absolute noise   100 ppm                  85.78   -6.31  0.1062  0.070  0.525    861    292  1.000
absolute noise   200 ppm                  83.83   -8.26  0.1224  0.087  0.531   1044    299  1.000
noise colouring  white snr15              92.04   -0.06  0.0582  0.021  0.521    300    295  1.000
noise colouring  ariel snr15              91.97   -0.12  0.0568  0.021  0.525    302    291  1.000
noise colouring  exosim snr15             91.94   -0.16  0.0576  0.022  0.525    301    287  1.000
noise colouring  white snr10              90.62   -1.48  0.0672  0.028  0.528    410    277  1.000
noise colouring  ariel snr10              90.87   -1.22  0.0658  0.026  0.533    388    278  1.000
noise colouring  exosim snr10             90.83   -1.26  0.0665  0.026  0.532    387    273  1.000
noise colouring  white snr7               89.04   -3.05  0.0770  0.033  0.532    553    278  1.000
noise colouring  ariel snr7               89.42   -2.67  0.0757  0.035  0.540    512    271  1.000
noise colouring  exosim snr7              89.32   -2.77  0.0764  0.036  0.541    526    276  1.000
noise colouring  white snr5               87.37   -4.72  0.0908  0.042  0.537    739    313  1.000
noise colouring  ariel snr5               88.14   -3.95  0.0854  0.039  0.542    664    308  1.000
noise colouring  exosim snr5              87.89   -4.20  0.0863  0.041  0.544    690    311  1.000
