axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9016,0.8659050576752441,0.8380815740930518,0.9070541259982253,0.871204857782039,0.09078405057675244,0.04052395740905059,0.9481196890237134,0.5411490683229814,0,0,1.0,0.0,0.0
absorbers,absorbers,9016,0.7132874889086069,0.7774891774891775,0.5976042590949423,0.6757807600652201,0.16155843433895295,0.12357608695652175,0.8661327904488442,0.3843167701863354,1406,30,0.9941625562823085,-15.261756876663712,0.07077438376220051
absorbers,absorbers_quenched,9016,0.6604924578527063,0.805403123680878,0.42324755989352264,0.5548931220008725,0.19075616681455193,0.15821384205856256,0.8428983394600076,0.2627551020408163,2332,480,0.8736405238825369,-20.541259982253777,0.09997211623779949
cloud,cloud_1e1Pa,9016,0.5495785270629991,0.6178176067474961,0.25998225377107365,0.3659640905542545,0.25281671251109133,0.12294232475598935,0.6301846603770168,0.21040372670807453,3464,612,0.02673058592319427,-31.63265306122449,0.1620326619343389
cloud,cloud_1e2Pa,9016,0.7001996450754214,0.7837158126375353,0.55301685891748,0.6484588373000391,0.18597560248447206,0.11163842058562554,0.8227651974720678,0.35281721384205855,1885,391,0.29248530677398543,-16.570541259982264,0.09519155190771962
cloud,cloud_1e3Pa,9016,0.7823868677905945,0.8077852998065764,0.7411268855368234,0.7730217491901897,0.14210185536823428,0.09243566992014196,0.8859157465501535,0.4587400177462289,902,149,0.5883988255062337,-8.351818988464954,0.05131780479148183
cloud,cloud_1e4Pa,9016,0.8372892635314996,0.8270595827059583,0.8529281277728483,0.8397946925849077,0.11128394676131323,0.05434560780834078,0.9242961984570072,0.5156388642413487,298,40,0.8351832708344601,-2.861579414374449,0.020499896184560787
cloud,cloud_1e5Pa,9016,0.8611357586512866,0.836641852770885,0.8975155279503105,0.8660102739726028,0.09487059272404612,0.037632209405501306,0.9433518662277611,0.536379769299024,56,13,0.959281567621116,-0.4769299023957507,0.004086542147293676
compound,compound_spots10_haze2e6_snr10,9016,0.8550354924578527,0.832398753894081,0.8890860692102928,0.8598090743322965,0.10033282653061223,0.0530885093167702,0.9413191002646188,0.53405057675244,586,488,0.9351195007505159,-1.0869565217391353,0.009548775953859792
compound,compound_spots10_haze3e7,9016,0.8535936113575865,0.8267732677326773,0.8946317657497782,0.8593650117195824,0.1122325860692103,0.08433784383318547,0.9326783932970587,0.5410381543921916,586,475,1.008650678565171,-1.231144631765757,0.021448535492457857
compound,compound_spots10_haze3e7_snr8,9016,0.8535936113575865,0.8267732677326773,0.8946317657497782,0.8593650117195824,0.1122325860692103,0.08433784383318547,0.9326783932970587,0.5410381543921916,586,475,1.008650678565171,-1.231144631765757,0.021448535492457857
compound,compound_spots20_haze3e7,9016,0.8361801242236024,0.8275340393343419,0.8493788819875776,0.8383141762452108,0.12157234649511979,0.08368966282165043,0.9215515461421635,0.5131987577639752,742,474,1.2939516952814047,-2.972493345164162,0.030788295918367348
compound,compound_spots20_haze3e7_snr8,9016,0.8361801242236024,0.8275340393343419,0.8493788819875776,0.8383141762452108,0.12157234649511979,0.08368966282165043,0.9215515461421635,0.5131987577639752,742,474,1.2939516952814047,-2.972493345164162,0.030788295918367348
exomol,exomol,9016,0.8355146406388643,0.8313253012048193,0.8418367346938775,0.8365479995591315,0.1158248944099379,0.06811535048802131,0.9203417034805126,0.5063220940550133,370,96,0.8678437468260486,-3.039041703637979,0.025040843833185458
exotransmit,exotransmit,9016,0.867790594498669,0.8418556701030928,0.9057231588287489,0.8726223552041035,0.0924628238686779,0.048040594498669015,0.9472724817715366,0.5379325643300799,132,149,0.886284129606155,0.18855368234249603,0.0016787732919254644
haze,haze_1p0e10,9016,0.5358251996450755,0.6338028169014085,0.169698314108252,0.2677165354330709,0.2555857919254659,0.11288620230700976,0.6094160760442444,0.13387311446317657,3598,622,0.4527771225450872,-33.00798580301686,0.16480174134871345
haze,haze_2p0e5,9016,0.8647959183673469,0.8355437665782494,0.9083850931677019,0.8704431926878521,0.09124222803904172,0.04217613132209407,0.947739634123778,0.543589174800355,17,7,0.9874649343485641,-0.11091393078971334,0.00045817746228928036
haze,haze_2p0e6,9016,0.8610248447204969,0.8267416181489661,0.9134871339840284,0.8679523658973548,0.09442486424134872,0.05072937000887309,0.945085966661654,0.5524622892635315,77,33,0.9297598120512677,-0.4880212954747165,0.0036408136645962735
haze,haze_2p4e8,9016,0.8405057675244011,0.8192595673876872,0.8737799467613132,0.8456419063975955,0.13733885004436558,0.13670496894409936,0.9035062580257596,0.5332741792369121,407,178,0.7414414062224247,-2.539929015084297,0.04655479946761314
haze,haze_3p0e7,9016,0.856810115350488,0.814836562928166,0.923469387755102,0.8657585525631694,0.10722936557231588,0.08372005323868682,0.9358816112379136,0.566659272404614,171,89,0.8530613381358171,-0.909494232475605,0.01644531499556344
quenched,quenched,9016,0.8064551907719609,0.8704746580852776,0.7200532386867791,0.7881510258589293,0.12319911002661933,0.05492058562555458,0.9127663410566959,0.4135980479148181,998,462,0.8756182916965526,-5.944986690328314,0.03241505944986689
quenched,quenched_kzz10,9016,0.792036379769299,0.8651872399445215,0.6918811002661934,0.7688894367065204,0.13140133496007095,0.05989951197870454,0.9016914325237829,0.3998447204968944,1148,482,0.8580932316932658,-7.3868677905945095,0.040617284383318505
quenched,quenched_kzz11,9016,0.7742901508429458,0.8622912393788456,0.6528393966282166,0.7430879939401591,0.14048229591836733,0.06894210292812776,0.8895196619792163,0.3785492457852706,1336,510,0.839572705849105,-9.161490683229822,0.04969824534161489
quenched,quenched_kzz7,9016,0.8322981366459627,0.8769501761449421,0.773070097604259,0.8217401556236736,0.11048503815439219,0.04756654835847382,0.9275391023274014,0.44077196095829635,724,421,0.9096655952629055,-3.360692102928131,0.019700987577639745
quenched,quenched_kzz8,9016,0.8215394853593612,0.8734862148930688,0.7519964507542147,0.8082012158779354,0.11647972537710737,0.051011756876663705,0.9208599333217335,0.4304569653948536,847,447,0.8867873745034279,-4.4365572315882895,0.025695674800354923
tlse,tlse_fac05,9016,0.8691215616681455,0.8405648792468277,0.9110470275066548,0.8743879071747924,0.09121671561668145,0.03867457852706303,0.9475106711601736,0.5419254658385093,102,131,1.019843056563476,0.32165039929014094,0.0004326650399290033
tlse,tlse_fac10,9016,0.868566992014197,0.8429308565531476,0.9059449866903283,0.8733026836309206,0.0919261455190772,0.04024134871339837,0.9469490402156001,0.5373779946761313,185,209,1.0403251943223053,0.2661934338952898,0.0011420949423247562
tlse,tlse_mixed,9016,0.863243123336291,0.8446642812039571,0.8901952085181899,0.8668322713035965,0.09483684915705412,0.042410825199645064,0.9457140524702609,0.5269520851818988,533,509,0.9547619298777812,-0.2661934338953009,0.004052798580301678
tlse,tlse_spots02,9016,0.8697870452528838,0.8428630193336075,0.90905057675244,0.8747065101387407,0.09174895075421473,0.038825421472937036,0.9473418644877802,0.5392635314995563,213,248,0.9752978246363839,0.38819875776396895,0.0009649001774622856
tlse,tlse_spots05,9016,0.865128660159716,0.8410692084542064,0.900399290150843,0.8697235911720591,0.09283266193433895,0.0392404614019521,0.9465475308019895,0.5352706299911268,436,429,0.954186506707098,-0.07763975155280489,0.002048611357586508
tlse,tlse_spots10,9016,0.8610248447204969,0.8437170010559663,0.8862023070097604,0.8644379530455479,0.09607542502218279,0.04239263531499557,0.9446074719575729,0.5251774622892635,548,504,0.9574089550407185,-0.4880212954747165,0.005291374445430347
tlse,tlse_spots20,9016,0.838620230700976,0.835273446079508,0.8436113575865128,0.8394216973843946,0.10757831677018632,0.0514427684117125,0.9328543596752772,0.5049911268855368,734,488,1.071801851552552,-2.728482697426804,0.016794266193433882
white noise,snr12,9016,0.8674578527062999,0.8411946446961895,0.9059449866903283,0.8723699668909538,0.09181231144631764,0.048144631765749804,0.9478970000291307,0.5384871339840284,53,67,1.0,0.15527950310558758,0.0010282608695652007
white noise,snr10,9016,0.8673469387755102,0.8408810209962948,0.9061668145519077,0.8723040785821055,0.09296441126885538,0.05720208518189887,0.947677878585561,0.5388198757763976,78,91,1.0,0.1441881100266107,0.0021803606921029367
white noise,snr8,9016,0.8684560780834073,0.8424742268041238,0.9063886424134872,0.8732635178456936,0.09562379281277729,0.07050022182786159,0.9467899520442411,0.5379325643300799,98,121,1.0,0.25510204081632404,0.0048397422360248465
white noise,snr5,9016,0.8682342502218279,0.8480083857442348,0.8972937000887311,0.8719551627505928,0.1072313447204969,0.1162810559006211,0.9441276732520869,0.5290594498669032,191,212,1.0,0.23291925465838137,0.016447294143744462
correlated noise,snr12,9016,0.8686779059449867,0.8438146462556889,0.9048358473824313,0.873260543780775,0.09214109671694766,0.04546805678793256,0.9474193910618528,0.5361579414374446,87,112,1.0,0.2772848269742667,0.0013570461401952172
correlated noise,snr10,9016,0.8665705412599822,0.8433409515894452,0.900399290150843,0.8709365947859672,0.09446166193433894,0.050947204968944074,0.9449633167182232,0.5338287488908607,147,153,1.0,0.0665483584738169,0.0036776113575864994
correlated noise,snr8,9016,0.8644631765749778,0.8430062630480167,0.8957409050576752,0.8685738868573887,0.09862401464063887,0.061246450754214726,0.9414526988990882,0.5312777284826974,227,214,1.0,-0.1441881100266218,0.007839964063886429
