Domain shift, configuration ariel, frozen pipeline raw_rf; clean paired baseline 86.59% (Brier 0.0908, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                86.59   +0.00  0.0908  0.041  0.541      0      0  1.000
absorbers        absorbers                71.33  -15.26  0.1616  0.124  0.384   1406     30  0.994
absorbers        absorbers_quenched       66.05  -20.54  0.1908  0.158  0.263   2332    480  0.874
cloud            cloud_1e1Pa              54.96  -31.63  0.2528  0.123  0.210   3464    612  0.027
cloud            cloud_1e2Pa              70.02  -16.57  0.1860  0.112  0.353   1885    391  0.292
cloud            cloud_1e3Pa              78.24   -8.35  0.1421  0.092  0.459    902    149  0.588
cloud            cloud_1e4Pa              83.73   -2.86  0.1113  0.054  0.516    298     40  0.835
cloud            cloud_1e5Pa              86.11   -0.48  0.0949  0.038  0.536     56     13  0.959
compound         compound_spots10_haze2e6_snr10   85.50   -1.09  0.1003  0.053  0.534    586    488  0.935
compound         compound_spots10_haze3e7   85.36   -1.23  0.1122  0.084  0.541    586    475  1.009
compound         compound_spots10_haze3e7_snr8   85.36   -1.23  0.1122  0.084  0.541    586    475  1.009
compound         compound_spots20_haze3e7   83.62   -2.97  0.1216  0.084  0.513    742    474  1.294
compound         compound_spots20_haze3e7_snr8   83.62   -2.97  0.1216  0.084  0.513    742    474  1.294
exomol           exomol                   83.55   -3.04  0.1158  0.068  0.506    370     96  0.868
exotransmit      exotransmit              86.78   +0.19  0.0925  0.048  0.538    132    149  0.886
haze             haze_1p0e10              53.58  -33.01  0.2556  0.113  0.134   3598    622  0.453
haze             haze_2p0e5               86.48   -0.11  0.0912  0.042  0.544     17      7  0.987
haze             haze_2p0e6               86.10   -0.49  0.0944  0.051  0.552     77     33  0.930
haze             haze_2p4e8               84.05   -2.54  0.1373  0.137  0.533    407    178  0.741
haze             haze_3p0e7               85.68   -0.91  0.1072  0.084  0.567    171     89  0.853
quenched         quenched                 80.65   -5.94  0.1232  0.055  0.414    998    462  0.876
quenched         quenched_kzz10           79.20   -7.39  0.1314  0.060  0.400   1148    482  0.858
quenched         quenched_kzz11           77.43   -9.16  0.1405  0.069  0.379   1336    510  0.840
quenched         quenched_kzz7            83.23   -3.36  0.1105  0.048  0.441    724    421  0.910
quenched         quenched_kzz8            82.15   -4.44  0.1165  0.051  0.430    847    447  0.887
tlse             tlse_fac05               86.91   +0.32  0.0912  0.039  0.542    102    131  1.020
tlse             tlse_fac10               86.86   +0.27  0.0919  0.040  0.537    185    209  1.040
tlse             tlse_mixed               86.32   -0.27  0.0948  0.042  0.527    533    509  0.955
