case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
clean,margin,0.9584072759538598,0.8999556344276841,0.9885383288143949,0.6873614190687362,0.9411777957798094,0.5
clean,ensemble,0.9584072759538598,0.8999556344276841,0.9746117821050037,0.8126385809312638,0.8789704895266752,0.5
clean,mahalanobis,0.9584072759538598,0.8999556344276841,0.9541533152575795,0.9966740576496674,0.40287343285885124,0.5
clean,pca_recon,0.9584072759538598,0.8999556344276841,0.9558787281242297,0.9811529933481153,0.46662438760945874,0.5
clean,knn,0.9584072759538598,0.8999556344276841,0.9541533152575795,0.9966740576496674,0.3964442387069398,0.5
cloud_1e3Pa,margin,0.9110470275066549,0.7569875776397516,0.9793406593406594,0.6983112733911456,0.8918874897003899,0.6436163115616602
cloud_1e3Pa,ensemble,0.9110470275066549,0.5479148181011535,0.9726720647773279,0.8363591756624141,0.7896169911233604,0.7234123217011815
cloud_1e3Pa,mahalanobis,0.9110470275066549,0.15649955634427684,0.9135364989369241,0.9105851413543722,0.5618466920111458,0.9491617337687747
cloud_1e3Pa,pca_recon,0.9110470275066549,0.2566548358473824,0.9261019878997407,0.9058490002984184,0.5703128652680449,0.910469600922426
cloud_1e3Pa,knn,0.9110470275066549,0.2929236912156167,0.9087466868610374,0.912,0.5603711988594378,0.9104361151505083
cloud_1e4Pa,margin,0.9478704525288376,0.8550354924578527,0.985601245297704,0.7253251721499617,0.9156880660854151,0.5688525966161705
cloud_1e4Pa,ensemble,0.9478704525288376,0.774622892635315,0.9747995418098511,0.8553149606299213,0.8199105217819959,0.6218902518956736
cloud_1e4Pa,mahalanobis,0.9478704525288376,0.5774179236912156,0.9417979254706108,0.9561679790026246,0.4590972011293077,0.791455779294859
cloud_1e4Pa,pca_recon,0.9478704525288376,0.6311002661934338,0.9478031634446398,0.9479855682501503,0.5110463524057541,0.7447811034351629
cloud_1e4Pa,knn,0.9478704525288376,0.650399290150843,0.939631650750341,0.9631979695431472,0.4343455442635848,0.741540856775178
haze_3p0e7,margin,0.9296805678793256,0.8987355811889973,0.96458101937554,0.619934282584885,0.8871452233153964,0.5810688200765434
haze_3p0e7,ensemble,0.9296805678793256,0.7109582963620231,0.9659906396255851,0.8403683806600153,0.74831375931751,0.7800107065896456
