case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
clean,clean,True,margin,0.9511978704525288,0.8999556344276841,0.9807739709144688,0.9807739709144688,0.9182099092605156,0.0
clean,clean,True,ensemble,0.9511978704525288,0.8999556344276841,0.9689425684002958,0.9689425684002958,0.8638388314111262,0.0
clean,clean,True,mahalanobis,0.9511978704525288,0.8999556344276841,0.948237614000493,0.948237614000493,0.4346397451662144,0.0
clean,clean,True,knn,0.9511978704525288,0.8999556344276841,0.9463889573576534,0.9463889573576534,0.4151903833107191,0.0
cloud_1e5Pa,aero,True,margin,0.949977817213842,0.90150842945874,0.9796998031496063,0.9805610236220472,0.9159253031791582,-0.0008612204724409711
cloud_1e5Pa,aero,True,ensemble,0.949977817213842,0.8984028393966282,0.9675308641975309,0.9695061728395061,0.8553218313587371,-0.0019753086419752597
cloud_1e5Pa,aero,True,mahalanobis,0.949977817213842,0.8511535048802129,0.9452697419859265,0.9459212926765702,0.4177264507878322,-0.0006515506906437096
cloud_1e5Pa,aero,True,knn,0.949977817213842,0.8742236024844721,0.9440497335701599,0.9449378330373002,0.38704286899579715,-0.000888099467140302
cloud_1e4Pa,aero,True,margin,0.9413265306122449,0.8913043478260869,0.9754853160776505,0.9825783972125436,0.9086701711925478,-0.007093081134893042
cloud_1e4Pa,aero,True,ensemble,0.9413265306122449,0.8673469387755102,0.9658567774936061,0.9721227621483376,0.8418920697795783,-0.0062659846547314935
cloud_1e4Pa,aero,True,mahalanobis,0.9413265306122449,0.6196761313220941,0.9300161088240558,0.9357436907105782,0.4330419280193459,-0.005727581886522337
cloud_1e4Pa,aero,True,knn,0.9413265306122449,0.7001996450754214,0.9291937272295263,0.9353714557262791,0.39698589391581435,-0.006177728496752799
cloud_1e3Pa,aero,True,margin,0.9244676131322094,0.8611357586512866,0.9670273055126224,0.9858320453374549,0.894143373968378,-0.01880473982483255
cloud_1e3Pa,aero,True,ensemble,0.9244676131322094,0.7490017746228926,0.9614985932178292,0.9881534132977936,0.803092597339563,-0.026654820079964447
cloud_1e3Pa,aero,True,mahalanobis,0.9244676131322094,0.20585625554569653,0.9213362068965517,0.9671336206896551,0.5233379755766908,-0.045797413793103425
cloud_1e3Pa,aero,True,knn,0.9244676131322094,0.3701197870452529,0.9169913095594846,0.9472580161821996,0.5088125987137374,-0.030266706622715023
cloud_1e2Pa,aero,False,margin,0.8639086069210293,0.785603371783496,0.9301143583227446,0.9922349287025272,0.8451271269128311,-0.06212057037978258
cloud_1e2Pa,aero,False,ensemble,0.8639086069210293,0.5397071872227152,0.9447184545828196,0.9969173859432799,0.7465692270973745,-0.05219893136046039
cloud_1e2Pa,aero,False,mahalanobis,0.8639086069210293,0.013087843833185448,0.9491525423728814,0.9661016949152542,0.6361484228013448,-0.016949152542372836
cloud_1e2Pa,aero,False,knn,0.8639086069210293,0.0354924578527063,0.875,0.978125,0.6392845195871594,-0.10312500000000002
cloud_1e1Pa,aero,False,margin,0.6452972493345164,0.6028172138420586,0.7159153633854646,0.9970561177552898,0.647627637030793,-0.2811407543698252
cloud_1e1Pa,aero,False,ensemble,0.6452972493345164,0.1772404614019521,0.7546933667083855,1.0,0.5828309675327761,-0.2453066332916145
cloud_1e1Pa,aero,False,mahalanobis,0.6452972493345164,0.00044365572315882877,1.0,1.0,0.6002106636345206,0.0
cloud_1e1Pa,aero,False,knn,0.6452972493345164,0.0009982253771073646,0.8888888888888888,1.0,0.6168585513763222,-0.11111111111111116
haze_2p0e5,aero,True,margin,0.9506433007985803,0.9008429458740018,0.9807929081507017,0.9806697857670524,0.9180445164580328,0.00012312238364931005
haze_2p0e5,aero,True,ensemble,0.9506433007985803,0.900399290150843,0.9690810544469081,0.9688346883468835,0.8639672058509293,0.0002463661000245976
haze_2p0e5,aero,True,mahalanobis,0.9506433007985803,0.8864241348713399,0.9465715715715716,0.9476976976976977,0.4361566767476951,-0.0011261261261261701
haze_2p0e5,aero,True,knn,0.9506433007985803,0.8918589174800355,0.9451560751150354,0.9459022509638104,0.41672952561485754,-0.0007461758487750103
haze_2p0e6,aero,True,margin,0.9474267968056788,0.9030612244897959,0.9780152296732989,0.9804716285924834,0.9157725984388878,-0.002456398919184477
haze_2p0e6,aero,True,ensemble,0.9474267968056788,0.8970718722271517,0.9648862512363996,0.9698318496538081,0.8642792081222888,-0.004945598417408492
haze_2p0e6,aero,True,mahalanobis,0.9474267968056788,0.8174356699201419,0.93921302578019,0.944640434192673,0.4421723091757086,-0.005427408412483015
haze_2p0e6,aero,True,knn,0.9474267968056788,0.8538154392191659,0.9394647960509224,0.9437516237983892,0.41168976919208833,-0.004286827747466804
haze_3p0e7,aero,True,margin,0.9389973380656611,0.8967391304347826,0.9713048855905999,0.9816944959802103,0.9085085797736401,-0.010389610389610393
haze_3p0e7,aero,True,ensemble,0.9389973380656611,0.8898624667258208,0.9571232705970335,0.9698367194316341,0.8546285677469234,-0.012713448834600571
haze_3p0e7,aero,True,mahalanobis,0.9389973380656611,0.7061889973380656,0.9294801319302655,0.939531961677399,0.4765375942271761,-0.01005182974713359
haze_3p0e7,aero,True,knn,0.9389973380656611,0.7232697426796806,0.9243980984511578,0.9366661554976231,0.40256598586860814,-0.012268057046465275
haze_2p4e8,aero,True,margin,0.9283496007098492,0.8786601597160604,0.9680636202979046,0.9840949255238576,0.9027180406212664,-0.016031305225952974
haze_2p4e8,aero,True,ensemble,0.9283496007098492,0.8320763087843833,0.9570781125033324,0.9773393761663557,0.812279961975358,-0.020261263663023277
haze_2p4e8,aero,True,mahalanobis,0.9283496007098492,0.41160159716060335,0.9334411209916464,0.9426030719482619,0.5164009010508561,-0.009161950956615428
haze_2p4e8,aero,True,knn,0.9283496007098492,0.49733806566104705,0.9310883140053523,0.9315343443354148,0.512125163213748,-0.000446030330062519
haze_1p0e10,aero,False,margin,0.665927240461402,0.4231366459627329,0.8013106159895151,0.999737876802097,0.6782337947786912,-0.19842726081258188
haze_1p0e10,aero,False,ensemble,0.665927240461402,0.2760647737355812,0.7416633186018482,1.0,0.608119929785632,-0.2583366813981518
