Reliability envelope of the randomized screen (norm xgb/rf/mlp trained on the randomized grid), configuration ariel
Decline thresholds: 10% of clean test planets declined, per score, fixed on clean data only.

accepted = accuracy of the planets kept; cov = share kept; credit = accepted minus the CLEAN accepted accuracy at the same
coverage (what declining low-score planets buys on clean data anyway). in/OUT = inside the randomized training range.

--- score: ensemble
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     96.89   90.0   +0.00      0.864
cloud_1e5Pa                         in   95.00     96.75   89.8   -0.20      0.855
cloud_1e4Pa                         in   94.13     96.59   86.7   -0.63      0.842
cloud_1e3Pa                         in   92.45     96.15   74.9   -2.67      0.803
cloud_1e2Pa                        OUT   86.39     94.47   54.0   -5.22      0.747
cloud_1e1Pa                        OUT   64.53     75.47   17.7  -24.53      0.583
haze_2p0e5                          in   95.06     96.91   90.0   +0.02      0.864
haze_2p0e6                          in   94.74     96.49   89.7   -0.49      0.864
haze_3p0e7                          in   93.90     95.71   89.0   -1.27      0.855
haze_2p4e8                          in   92.83     95.71   83.2   -2.03      0.812
haze_1p0e10                        OUT   66.59     74.17   27.6  -25.83      0.608
tlse_spots02                        in   94.68     96.80   89.0   -0.17      0.870
tlse_spots05                        in   94.06     96.66   87.4   -0.47      0.870
tlse_spots10                        in   92.92     96.32   84.8   -1.07      0.867
tlse_spots20                        in   91.59     96.40   80.7   -1.65      0.861
tlse_mixed                         OUT   93.13     96.44   85.0   -0.91      0.868
tlse_fac10                         OUT   93.52     96.88   85.0   -0.47      0.875
quenched                            in   98.20     98.44   98.5   +3.05      0.889
exotransmit                        OUT   89.65     97.30   81.8   -0.60      0.913
exomol                             OUT   88.83     95.33   54.3   -4.37      0.756
compound_spots10_haze3e7            in   92.54     95.78   84.5   -1.65      0.849
compound_spots20_haze3e7            in   90.69     94.96   81.6   -2.93      0.829
compound_spots20_haze3e7_snr8       in   90.69     94.96   81.6   -2.93      0.829
absorbers                          OUT   75.03     82.32   75.0  -16.48      0.820
white_snr12                         in   94.21     96.50   87.4   -0.65      0.861
white_snr8                          in   92.22     96.01   81.0   -1.99      0.830
white_snr5                          in   90.48     95.66   60.9   -3.92      0.757
correlated_snr12                    in   93.09     95.90   87.6   -1.23      0.877
correlated_snr8                     in   91.10     95.85   80.1   -2.21      0.848
correlated_snr5                     in   86.89     94.78   66.1   -4.67      0.806
   over shifted cases: worst accepted 74.17%, mean coverage 77.1%, mean credit -3.73

--- score: margin
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     98.08   90.0   +0.00      0.918
cloud_1e5Pa                         in   95.00     97.97   90.2   -0.09      0.916
cloud_1e4Pa                         in   94.13     97.55   89.1   -0.71      0.909
cloud_1e3Pa                         in   92.45     96.70   86.1   -1.88      0.894
cloud_1e2Pa                        OUT   86.39     93.01   78.6   -6.21      0.845
cloud_1e1Pa                        OUT   64.53     71.59   60.3  -28.11      0.648
haze_2p0e5                          in   95.06     98.08   90.1   +0.01      0.918
