case,axis,in_range,oracle,frozen,full,no_spots,no_quench,no_aero,no_noise,held_out
clean,clean,True,,0.9605146406388643,0.946206743566992,0.9494232475598935,0.9487577639751553,0.9465394853593612,0.9457630878438332,
cloud_1e5Pa,aero,True,,0.9595164152617569,0.946206743566992,0.9499778172138421,0.9499778172138421,0.9467613132209406,0.946206743566992,0.9467613132209406
cloud_1e4Pa,aero,True,,0.9485359361135759,0.945097604259095,0.9460958296362023,0.9503105590062112,0.9350044365572315,0.9424356699201419,0.9350044365572315
cloud_1e3Pa,aero,True,,0.9057231588287489,0.9171472937000887,0.9184782608695652,0.9245785270629991,0.8663487133984028,0.915927240461402,0.8663487133984028
cloud_1e2Pa,aero,False,,0.8419476486246673,0.8582519964507542,0.8623558118899733,0.8655723158828749,0.773070097604259,0.8555900621118012,0.773070097604259
cloud_1e1Pa,aero,False,,0.6396406388642414,0.6461845607808341,0.6509538598047915,0.6489574090505768,0.5950532386867791,0.6460736468500443,0.5950532386867791
haze_2p0e5,aero,True,,0.9589618456078084,0.9455412599822538,0.9498669032830523,0.9484250221827861,0.946206743566992,0.9456521739130435,0.946206743566992
haze_2p0e6,aero,True,,0.9473158828748891,0.9435448092280391,0.947759538598048,0.9473158828748891,0.9449866903283053,0.9459849157054127,0.9449866903283053
haze_3p0e7,aero,True,0.9524179236912156,0.9099378881987578,0.9411047027506655,0.9446539485359361,0.940550133096717,0.9251330967169477,0.941659272404614,0.9251330967169477
haze_2p4e8,aero,True,,0.8873114463176575,0.9276841171251109,0.9290150842945873,0.9311224489795918,0.9210292812777284,0.9294587400177462,0.9210292812777284
haze_1p0e10,aero,False,,0.6161268855368234,0.6866681455190772,0.6438553682342503,0.6896628216503993,0.6760204081632653,0.6789041703637977,0.6760204081632653
tlse_spots02,spots,True,,0.9401064773735581,0.9438775510204082,0.9368899733806566,0.94698314108252,0.9452085181898846,0.9423247559893523,0.9368899733806566
tlse_spots05,spots,True,,0.9155944986690329,0.9398846495119787,0.9222493345164152,0.9432120674356699,0.9434338952972493,0.9409937888198758,0.9222493345164152
tlse_spots10,spots,True,0.9452085181898846,0.8890860692102928,0.9360026619343389,0.9050576752440106,0.9399955634427685,0.9348935226264419,0.939773735581189,0.9050576752440106
tlse_spots20,spots,True,0.9403283052351376,0.8532608695652174,0.9271295474711624,0.8785492457852706,0.9311224489795918,0.9271295474711624,0.9282386867790594,0.8785492457852706
tlse_mixed,spots,False,,0.8937444543034605,0.9348935226264419,0.9082741792369121,0.9386645962732919,0.9360026619343389,0.9387755102040817,0.9082741792369121
tlse_fac10,spots,False,,0.9366681455190772,0.9393300798580302,0.9350044365572315,0.9348935226264419,0.9372227151730257,0.9381100266193434,0.9350044365572315
quenched,quench,True,,0.811779059449867,0.9078305235137534,0.929902395740905,0.8144409937888198,0.9194764862466726,0.9259094942324756,0.8144409937888198
exotransmit,code,False,0.9572981366459627,0.9535270629991127,0.941659272404614,0.9446539485359361,0.947759538598048,0.9453194321206744,0.9401064773735581,0.941659272404614
exomol,opacity,False,0.9504214729370009,0.8703416149068323,0.9211401952085182,0.919698314108252,0.9212511091393079,0.9250221827861579,0.9118234250221828,0.9211401952085182
compound_spots10_haze3e7,compound,True,,0.8783274179236912,0.9294587400177462,0.9026175687666371,0.9323425022182786,0.9228039041703638,0.9313442768411713,
compound_spots20_haze3e7,compound,True,,0.8513753327417923,0.917812777284827,0.8740017746228926,0.9220275066548358,0.9125998225377108,0.9198092280390417,
white_snr12,noise,True,,0.9490905057675244,0.937888198757764,0.9386645962732919,0.9439884649511979,0.9365572315882875,0.9336734693877551,0.9336734693877551
white_snr8,noise,True,0.930678793256433,0.9233584738243124,0.9216947648624667,0.9205856255545697,0.9267968056787933,0.9198092280390417,0.9138198757763976,0.9138198757763976
white_snr5,noise,True,0.9171472937000889,0.8967391304347826,0.9022848269742679,0.9029503105590062,0.9107142857142857,0.8998447204968945,0.8946317657497782,0.8946317657497782
correlated_snr12,noise,False,,0.9297914818101154,0.9313442768411713,0.9321206743566992,0.9325643300798581,0.9347826086956522,0.9311224489795918,0.9311224489795918
correlated_snr8,noise,False,0.9282386867790594,0.8979591836734694,0.9061668145519077,0.9063886424134872,0.9101597160603372,0.9072759538598048,0.8987355811889973,0.8987355811889973
correlated_snr5,noise,False,0.917036379769299,0.8461623779946761,0.8621339840283939,0.8598047914818101,0.8665705412599822,0.8584738243123337,0.85226264418811,0.85226264418811
