case,split,frozen,full
clean,test1,0.9545454545454546,0.9423503325942351
clean,test2,0.9564498346196252,0.9443219404630651
clean,test3,0.9619415333701048,0.9498069498069498
clean,test4,0.9600225225225225,0.9408783783783784
clean,test5,0.9695964621337756,0.9535655058043118
cloud_1e5Pa,test1,0.9545454545454546,0.9417960088691796
cloud_1e5Pa,test2,0.958103638368247,0.9448732083792724
cloud_1e5Pa,test3,0.9602868174296746,0.9492553778268064
cloud_1e5Pa,test4,0.9566441441441441,0.9420045045045045
cloud_1e5Pa,test5,0.9679380873410725,0.953012714206744
cloud_1e4Pa,test1,0.938470066518847,0.9412416851441242
cloud_1e4Pa,test2,0.9498346196251378,0.9454244762954797
cloud_1e4Pa,test3,0.9564258135686707,0.948703805846663
cloud_1e4Pa,test4,0.9459459459459459,0.9425675675675675
cloud_1e4Pa,test5,0.9519071310116086,0.9474847982310669
cloud_1e3Pa,test1,0.8902439024390244,0.905210643015521
cloud_1e3Pa,test2,0.8958103638368247,0.9117971334068358
cloud_1e3Pa,test3,0.9205736348593492,0.9277440706012134
cloud_1e3Pa,test4,0.9031531531531531,0.9155405405405406
cloud_1e3Pa,test5,0.9187396351575456,0.9253731343283582
cloud_1e2Pa,test1,0.8170731707317073,0.8442350332594235
cloud_1e2Pa,test2,0.8423373759647188,0.850606394707828
cloud_1e2Pa,test3,0.8488692774407061,0.8654164368450082
cloud_1e2Pa,test4,0.8434684684684685,0.8609234234234234
cloud_1e2Pa,test5,0.8579325594250967,0.8700939745715865
cloud_1e1Pa,test1,0.6247228381374723,0.6341463414634146
cloud_1e1Pa,test2,0.639470782800441,0.6471885336273429
cloud_1e1Pa,test3,0.6414782129067843,0.649200220628792
cloud_1e1Pa,test4,0.6480855855855856,0.6587837837837838
cloud_1e1Pa,test5,0.6445550027639579,0.6417910447761194
haze_2p0e5,test1,0.9534368070953437,0.9401330376940134
haze_2p0e5,test2,0.9558985667034179,0.9437706725468578
haze_2p0e5,test3,0.9619415333701048,0.9476006618863761
haze_2p0e5,test4,0.9572072072072072,0.9420045045045045
haze_2p0e5,test5,0.9662797125483693,0.9541182974018795
haze_2p0e6,test1,0.9406873614190687,0.9379157427937915
haze_2p0e6,test2,0.9404630650496141,0.942116868798236
haze_2p0e6,test3,0.9547710976282405,0.9459459459459459
haze_2p0e6,test4,0.9487612612612613,0.9431306306306306
haze_2p0e6,test5,0.9519071310116086,0.9485903814262023
haze_3p0e7,test1,0.9041019955654102,0.9340354767184036
haze_3p0e7,test2,0.9084895259095921,0.9388092613009923
haze_3p0e7,test3,0.9183673469387755,0.9464975179260894
haze_3p0e7,test4,0.9048423423423423,0.9391891891891891
haze_3p0e7,test5,0.9137645107794361,0.9469320066334992
haze_2p4e8,test1,0.8786031042128604,0.9190687361419069
haze_2p4e8,test2,0.8897464167585446,0.9217199558985667
haze_2p4e8,test3,0.9007170435741865,0.9282956425813569
haze_2p4e8,test4,0.8778153153153153,0.9239864864864865
haze_2p4e8,test5,0.8894416804864566,0.945273631840796
haze_1p0e10,test1,0.614190687361419,0.6579822616407982
haze_1p0e10,test2,0.6058434399117971,0.6879823594266814
haze_1p0e10,test3,0.6144511858797573,0.7142857142857143
haze_1p0e10,test4,0.6171171171171171,0.6818693693693694
haze_1p0e10,test5,0.6290768380320619,0.6909894969596462
tlse_spots02,test1,0.9262749445676275,0.9356984478935698
tlse_spots02,test2,0.942116868798236,0.9410143329658214
tlse_spots02,test3,0.9398786541643684,0.9448428019856592
tlse_spots02,test4,0.9476351351351351,0.9448198198198198
tlse_spots02,test5,0.9447208402432283,0.953012714206744
tlse_spots05,test1,0.8991130820399114,0.9368070953436807
tlse_spots05,test2,0.9206174200661521,0.9299889746416758
tlse_spots05,test3,0.915057915057915,0.9442912300055157
tlse_spots05,test4,0.9222972972972973,0.9391891891891891
tlse_spots05,test5,0.9209508015478165,0.94914317302377
tlse_spots10,test1,0.8719512195121951,0.9307095343680709
tlse_spots10,test2,0.8908489525909592,0.9355016538037486
tlse_spots10,test3,0.894649751792609,0.9426365140650855
tlse_spots10,test4,0.8890765765765766,0.9301801801801802
tlse_spots10,test5,0.8988391376451078,0.9408512990602543
tlse_spots20,test1,0.8492239467849224,0.9190687361419069
tlse_spots20,test2,0.8517089305402425,0.9206174200661521
tlse_spots20,test3,0.8538334252619967,0.9360176503033646
tlse_spots20,test4,0.8462837837837838,0.9296171171171171
tlse_spots20,test5,0.865118850193477,0.9303482587064676
tlse_mixed,test1,0.8786031042128604,0.9246119733924612
tlse_mixed,test2,0.896361631753032,0.9349503858875413
tlse_mixed,test3,0.8990623276337562,0.9426365140650855
tlse_mixed,test4,0.8947072072072072,0.9329954954954955
tlse_mixed,test5,0.8999447208402432,0.9391929242675512
tlse_fac10,test1,0.9379157427937915,0.9373614190687362
tlse_fac10,test2,0.9316427783902976,0.9360529217199559
tlse_fac10,test3,0.9299503585217871,0.9420849420849421
tlse_fac10,test4,0.9363738738738738,0.9363738738738738
tlse_fac10,test5,0.9474847982310669,0.9447208402432283
quenched,test1,0.8148558758314856,0.8957871396895787
quenched,test2,0.8020948180815877,0.9090407938257994
quenched,test3,0.8063982349696636,0.909542195256481
quenched,test4,0.8085585585585585,0.902027027027027
quenched,test5,0.8269762299613046,0.9226091763405196
exotransmit,test1,0.947339246119734,0.9334811529933481
exotransmit,test2,0.9514884233737596,0.942116868798236
exotransmit,test3,0.9580805295091009,0.9437396580253723
exotransmit,test4,0.9515765765765766,0.9380630630630631
exotransmit,test5,0.9590934217799889,0.9508015478164732
exomol,test1,0.8658536585365854,0.917960088691796
exomol,test2,0.8572216097023153,0.9206174200661521
exomol,test3,0.875896304467733,0.921676778819636
exomol,test4,0.8704954954954955,0.9149774774774775
exomol,test5,0.8822553897180763,0.9303482587064676
compound_spots10_haze3e7,test1,0.8636363636363636,0.9235033259423503
compound_spots10_haze3e7,test2,0.880374862183021,0.9294377067254685
compound_spots10_haze3e7,test3,0.8836183121897407,0.9360176503033646
compound_spots10_haze3e7,test4,0.8727477477477478,0.9262387387387387
compound_spots10_haze3e7,test5,0.8911000552791598,0.9320066334991708
compound_spots20_haze3e7,test1,0.8381374722838137,0.9046563192904656
compound_spots20_haze3e7,test2,0.8489525909592062,0.9167585446527012
compound_spots20_haze3e7,test3,0.8615554329840044,0.9293987865416437
compound_spots20_haze3e7,test4,0.8445945945945946,0.9166666666666666
compound_spots20_haze3e7,test5,0.8634604754007739,0.9215035931453842
white_snr12,test1,0.9429046563192904,0.9334811529933481
white_snr12,test2,0.9487320837927232,0.9355016538037486
white_snr12,test3,0.9503585217870932,0.9376723662437948
white_snr12,test4,0.9493243243243243,0.9391891891891891
white_snr12,test5,0.9541182974018795,0.9436152570480929
white_snr8,test1,0.9157427937915743,0.9146341463414634
white_snr8,test2,0.9244762954796031,0.9255788313120177
