case,axis,frozen_auroc_shift,frozen_auroc_error,full_auroc_shift,full_auroc_error
cloud_1e5Pa,aero,0.569671005120346,0.9362691461751986,0.5455542987661095,0.9162943636730565
cloud_1e4Pa,aero,0.7514931185139462,0.9120269053820844,0.7069075144138903,0.9012316570232308
cloud_1e3Pa,aero,0.9288491808706045,0.8875454899079396,0.9027690051561693,0.8962099860723987
cloud_1e2Pa,aero,0.9948408291598727,0.8398930404657408,0.9918669801453238,0.852106659369791
cloud_1e1Pa,aero,0.9999379000085818,0.632477704655013,0.9998422035281456,0.6525377805900907
haze_2p0e5,aero,0.519226159803453,0.9425675675675675,0.5119067138062354,0.9220336735729943
haze_2p0e6,aero,0.6507066408215229,0.937057906445073,0.5601756544020331,0.9213874024465696
haze_3p0e7,aero,0.9277098650019014,0.9027107856794595,0.6836855867592977,0.9134730947601117
haze_2p4e8,aero,0.9937187359512302,0.8803757997047243,0.8700854278384321,0.9057157390862974
haze_1p0e10,aero,0.9999999261885997,0.62470246446777,0.990943464207179,0.6864642794350347
tlse_spots02,spots,0.5841758617628603,0.9204657376819954,0.551239763342936,0.9188216141902342
tlse_spots05,spots,0.6732947868877885,0.9096677759109082,0.575778129623054,0.9193966001496219
tlse_spots10,spots,0.7608176635011089,0.8894283308383234,0.5651808915669194,0.915163320089138
tlse_spots20,spots,0.852617258758756,0.8611366813721459,0.4869617820315889,0.9095803191011865
tlse_mixed,spots,0.7457270580389865,0.8917434974306838,0.5930579074054683,0.9187651821821434
tlse_fac10,spots,0.5059865597313343,0.9124402360384853,0.4578294557088296,0.9186470584298947
quenched,quench,0.685319303688838,0.7975065986502949,0.6148401190942023,0.9055202826925778
exotransmit,code,0.6633984495866166,0.9409290525112413,0.6574722798825946,0.9221870283536436
exomol,opacity,0.9338584407568049,0.8507292974719788,0.9335870977475517,0.909325461844533
compound_spots10_haze3e7,compound,0.9939924286233917,0.880349097511115,0.5094581436216322,0.9100460065144624
compound_spots20_haze3e7,compound,0.9983357866602526,0.8546107075357968,0.33330844248891256,0.9033645233231812
white_snr12,noise,0.8773748079919442,0.9277572948595642,0.8496184245852192,0.921058061055548
white_snr8,noise,0.9978069402792944,0.9029368587110989,0.9970081656075879,0.9078578660475962
white_snr5,noise,0.9999996678486988,0.8796350138532124,0.9999989297346963,0.8824949577469309
correlated_snr12,noise,0.6958738910575225,0.9215089441337213,0.6478205535618824,0.9216904337132482
correlated_snr8,noise,0.9276420938345633,0.8775695727358653,0.8791564183638041,0.9011944755505786
correlated_snr5,noise,0.9905781100777953,0.8306027932159975,0.9768006832376868,0.831182811056984
