part,config,variant,case,accuracy,loss
carbonrich,ariel,all bins,clean,96.05146406388643,0.0
carbonrich,ariel,all bins,haze_2p0e6,94.7315882874889,1.3198757763975237
carbonrich,ariel,all bins,haze_3p0e7,90.99378881987577,5.057675244010653
carbonrich,ariel,all bins,haze_2p4e8,88.73114463176574,7.320319432120684
carbonrich,ariel,all bins,haze_1p0e10,61.61268855368234,34.43877551020409
carbonrich,ariel,all bins,cloud_1e3Pa,90.57231588287489,5.4791481810115386
carbonrich,ariel,all bins,cloud_1e2Pa,84.19476486246673,11.856699201419701
carbonrich,ariel,all bins,tlse_spots10,88.90860692102927,7.142857142857153
carbonrich,ariel,all bins,tlse_spots20,85.32608695652173,10.725377107364693
carbonrich,ariel,all bins,compound_spots20_haze3e7,85.13753327417923,10.913930789707194
carbonrich,ariel,all bins,absorbers,72.31588287488908,23.735581188997344
carbonrich,ariel,no optical,clean,95.89618456078084,0.0
carbonrich,ariel,no optical,haze_2p0e6,95.55235137533275,0.3438331854480907
carbonrich,ariel,no optical,haze_3p0e7,93.13442768411713,2.7617568766637106
carbonrich,ariel,no optical,haze_2p4e8,90.12866015971606,5.767524401064776
carbonrich,ariel,no optical,haze_1p0e10,61.88997338065661,34.006211180124225
carbonrich,ariel,no optical,cloud_1e3Pa,90.55013309671695,5.3460514640638905
carbonrich,ariel,no optical,cloud_1e2Pa,83.52928127772849,12.366903283052352
carbonrich,ariel,no optical,tlse_spots10,89.19698314108253,6.699201419698312
carbonrich,ariel,no optical,tlse_spots20,85.80301685891747,10.093167701863365
carbonrich,ariel,no optical,compound_spots20_haze3e7,85.71428571428571,10.18189884649513
carbonrich,ariel,no optical,absorbers,71.8944099378882,24.00177462289264
carbonrich,tier1,all bins,clean,88.55368234250221,0.0
carbonrich,tier1,all bins,haze_2p0e6,86.22448979591837,2.3291925465838403
carbonrich,tier1,all bins,haze_3p0e7,59.472049689441,29.081632653061213
carbonrich,tier1,all bins,haze_2p4e8,49.900177462289264,38.65350488021295
carbonrich,tier1,all bins,haze_1p0e10,49.71162377994676,38.84205856255545
carbonrich,tier1,all bins,cloud_1e3Pa,76.57497781721383,11.978704525288379
carbonrich,tier1,all bins,cloud_1e2Pa,64.40771960958295,24.14596273291926
carbonrich,tier1,all bins,tlse_spots10,78.92635314995563,9.627329192546583
carbonrich,tier1,all bins,tlse_spots20,70.76308784383318,17.790594498669037
carbonrich,tier1,all bins,compound_spots20_haze3e7,50.0,38.55368234250221
carbonrich,tier1,all bins,absorbers,69.42102928127773,19.132653061224488
carbonrich,tier1,no optical,clean,69.97559893522627,0.0
carbonrich,tier1,no optical,haze_2p0e6,68.7888198757764,1.1867790594498757
carbonrich,tier1,no optical,haze_3p0e7,62.577639751552795,7.397959183673478
carbonrich,tier1,no optical,haze_2p4e8,54.358917480035494,15.616681455190779
carbonrich,tier1,no optical,haze_1p0e10,50.02218278615794,19.95341614906833
carbonrich,tier1,no optical,cloud_1e3Pa,55.86734693877551,14.108251996450761
carbonrich,tier1,no optical,cloud_1e2Pa,51.94099378881988,18.034605146406392
carbonrich,tier1,no optical,tlse_spots10,67.81277728482698,2.1628216503992945
carbonrich,tier1,no optical,tlse_spots20,65.55013309671695,4.425465838509325
carbonrich,tier1,no optical,compound_spots20_haze3e7,56.89884649511979,13.076752440106482
carbonrich,tier1,no optical,absorbers,61.67923691215616,8.29636202307011
