part,variant,case,accuracy,recall,loss
particles,published,clean,81.08638743455498,63.227835476490206,0.0
particles,published,r0.03,63.547120418848166,6.656918955347518,17.539267015706812
particles,published,r0.1,63.37041884816754,6.094189809880669,17.71596858638744
particles,published,r0.5,61.2303664921466,3.7295983455107353,19.856020942408378
particles,no optical,clean,77.29712041884815,52.98534814203076,0.0
particles,no optical,r0.03,72.5458115183246,35.90240804941976,4.751308900523554
particles,no optical,r0.1,71.70157068062827,33.319702755326155,5.595549738219887
particles,no optical,r0.5,60.77225130890052,7.6415791099233505,16.52486910994763
particles,AIRS only,clean,73.66492146596858,44.18402377499476,0.0
particles,AIRS only,r0.03,73.27225130890054,43.94035185107656,0.3926701570680393
particles,AIRS only,r0.1,73.20680628272251,43.914617933760994,0.4581151832460648
particles,AIRS only,r0.5,60.274869109947645,21.908921826032607,13.39005235602093
