Frozen screen (norm_xgb) accuracy by host-star band, configuration ariel

loss = clean accuracy of the SAME band minus shifted accuracy, in points

case                             M (<4000 K)     K (4000-5300)     G (5300-6000)        F+ (>6000)
clean                                96.33%             96.23%             96.91%             96.61%  
  n                                     2588              2334              1231              2863
cloud_1e4Pa                   94.90% (+1.43)    95.24% (+0.99)    95.37% (+1.54)    95.21% (+1.40)
cloud_1e3Pa                   91.77% (+4.56)    92.20% (+4.03)    93.18% (+3.74)    92.91% (+3.70)
haze_3p0e7                    90.96% (+5.37)    89.46% (+6.77)    90.25% (+6.66)    90.57% (+6.04)
haze_2p4e8                    88.79% (+7.53)    87.57% (+8.65)    87.81% (+9.10)    88.02% (+8.59)
tlse_spots05                  90.30% (+6.03)    92.84% (+3.38)    91.23% (+5.69)    91.58% (+5.03)
tlse_spots10                  85.59% (+10.74)    90.23% (+6.00)    90.09% (+6.82)    89.94% (+6.67)
tlse_spots20                  80.14% (+16.19)    87.06% (+9.17)    87.73% (+9.18)    88.05% (+8.56)
tlse_mixed                    86.59% (+9.74)    90.49% (+5.74)    90.17% (+6.74)    90.01% (+6.60)
exotransmit                   89.37% (+6.96)    90.32% (+5.91)    89.60% (+7.31)    90.43% (+6.18)
exomol                        80.68% (+15.65)    80.38% (+15.85)    80.75% (+16.17)    80.54% (+16.07)
quenched                      98.45% (-2.13)    98.07% (-1.84)    98.78% (-1.87)    98.15% (-1.54)
compound_spots20_haze3e7      82.03% (+14.30)    86.42% (+9.81)    86.60% (+10.32)    87.11% (+9.50)
correlated_snr8               89.37% (+6.96)    89.46% (+6.77)    89.85% (+7.07)    89.56% (+7.06)
white_snr5                    89.41% (+6.92)    88.86% (+7.37)    89.20% (+7.72)    88.96% (+7.65)
exosim_shape_snr15            95.98% (+0.35)    95.97% (+0.26)    96.18% (+0.73)    96.68% (-0.07)
exosim_shape_snr7             94.05% (+2.28)    93.74% (+2.49)    93.01% (+3.90)    94.17% (+2.44)

mean loss over shifted cases, by band: M (<4000 K) +7.05, K (4000-5300) +5.71, G (5300-6000) +6.30, F+ (>6000) +5.87
stellar-contamination cases only: M +10.99 vs F+ +6.75; every other axis: M +5.08 vs F+ +5.23
