## Table 2
| Model, features | Accuracy (%) | F1 (%) | Brier | ECE | AUC |
| :-- | --: | --: | --: | --: | --: |
| XGBoost, raw bins | 86.53 ± 1.24 | 87.07 ± 1.21 | 0.0944 | 0.037 | 0.946 |
| Random Forest, raw bins | 86.30 ± 0.89 | 86.91 ± 0.84 | 0.0939 | 0.039 | 0.944 |
| XGBoost, PCA | 92.09 ± 0.57 | 92.24 ± 0.70 | 0.0575 | 0.024 | 0.979 |
| Random Forest, PCA | 90.58 ± 0.61 | 90.79 ± 0.59 | 0.0920 | 0.143 | 0.971 |
| XGBoost, per-spectrum normalized | 96.47 ± 0.26 | 96.52 ± 0.31 | 0.0264 | 0.011 | 0.994 |
| Random Forest, per-spectrum normalized | 96.03 ± 0.48 | 96.11 ± 0.48 | 0.0355 | 0.035 | 0.991 |
| MLP, per-spectrum normalized | 95.93 ± 0.35 | 95.98 ± 0.43 | 0.0311 | 0.008 | 0.992 |
| MLP, PCA whitened | 86.18 ± 0.79 | 85.69 ± 0.78 | 0.1021 | 0.123 | 0.962 |
| MLP, PCA unwhitened | 85.78 ± 0.72 | 84.03 ± 0.63 | 0.0985 | 0.128 | 0.968 |

Feature dimensions: pca 70, pcaw 70, norm 102, raw 102. n_train = 18040. Best: norm_xgb.

## Resolution ladder
| Configuration | Bins | XGBoost, normalized (%) | MLP, normalized (%) | XGBoost, PCA (%) | Brier (XGBoost, normalized) | ECE |
| :-- | --: | --: | --: | --: | --: | --: |
| Ariel delivered (photometry + R 15 / 100 / 30) | 102 | 96.47 ± 0.26 | 95.93 ± 0.35 | 92.09 ± 0.57 | 0.0264 | 0.011 |

## Table 3
| Axis | Case | Δ accuracy (pts) | Δ Brier | Predicted positive rate | Amplitude ratio |
| :-- | :-- | --: | --: | --: | --: |
| clean | reference | +0.0 | +0.000 | 0.515 | 1.00 |
| absorbers | absorbers | -24.5 | +0.237 | 0.257 | 1.02 |
| absorbers | absorbers_quenched | -30.0 | +0.290 | 0.182 | 1.01 |
| cloud | cloud_1e1Pa | -32.8 | +0.225 | 0.537 | 0.03 |
| cloud | cloud_1e2Pa | -11.0 | +0.077 | 0.500 | 0.29 |
| cloud | cloud_1e3Pa | -4.0 | +0.029 | 0.512 | 0.58 |
| cloud | cloud_1e4Pa | -1.3 | +0.010 | 0.511 | 0.81 |
| cloud | cloud_1e5Pa | -0.1 | +0.002 | 0.511 | 0.95 |
| compound | compound_spots10_haze2e6_snr10 | -8.2 | +0.074 | 0.527 | 0.95 |
| compound | compound_spots10_haze3e7 | -8.8 | +0.077 | 0.549 | 1.04 |
| compound | compound_spots10_haze3e7_snr8 | -8.8 | +0.077 | 0.549 | 1.04 |
| compound | compound_spots20_haze3e7 | -11.1 | +0.092 | 0.526 | 1.33 |
| compound | compound_spots20_haze3e7_snr8 | -11.1 | +0.092 | 0.526 | 1.33 |
| exomol | exomol | -15.9 | +0.118 | 0.335 | 0.88 |
| exotransmit | exotransmit | -6.5 | +0.057 | 0.423 | 0.90 |
| haze | haze_1p0e10 | -35.1 | +0.264 | 0.314 | 0.48 |
| haze | haze_2p0e5 | -0.2 | +0.001 | 0.520 | 0.99 |
| haze | haze_2p0e6 | -1.8 | +0.015 | 0.545 | 0.94 |
| haze | haze_2p4e8 | -8.4 | +0.070 | 0.614 | 0.78 |
| haze | haze_3p0e7 | -6.1 | +0.056 | 0.594 | 0.88 |
| quenched | quenched | +1.8 | -0.012 | 0.515 | 1.00 |
| quenched | quenched_kzz10 | +1.8 | -0.013 | 0.510 | 0.98 |
| quenched | quenched_kzz11 | +1.8 | -0.012 | 0.502 | 0.96 |
| quenched | quenched_kzz7 | +1.5 | -0.009 | 0.520 | 1.01 |
| quenched | quenched_kzz8 | +1.6 | -0.011 | 0.518 | 1.01 |
| tlse | tlse_fac05 | -1.9 | +0.015 | 0.482 | 1.02 |
| tlse | tlse_fac10 | -3.5 | +0.030 | 0.465 | 1.03 |
| tlse | tlse_mixed | -7.3 | +0.065 | 0.518 | 0.96 |
| tlse | tlse_spots02 | -2.5 | +0.023 | 0.531 | 0.98 |
| tlse | tlse_spots05 | -5.0 | +0.045 | 0.528 | 0.96 |
| tlse | tlse_spots10 | -7.7 | +0.070 | 0.517 | 0.97 |
| tlse | tlse_spots20 | -11.0 | +0.097 | 0.501 | 1.08 |
| white noise | snr12 | -1.8 | +0.013 | 0.511 | 1.00 |
