axis,case,split,oracle
white noise,snr8,test1,0.8409090909090909
white noise,snr8,test2,0.8489525909592062
white noise,snr8,test3,0.8543849972421401
white noise,snr8,test4,0.8265765765765766
white noise,snr8,test5,0.8601437258153676
correlated noise,snr8,test1,0.8802660753880266
correlated noise,snr8,test2,0.87651598676957
correlated noise,snr8,test3,0.888030888030888
correlated noise,snr8,test4,0.8868243243243243
correlated noise,snr8,test5,0.8977335544499724
white noise,snr5,test1,0.7899113082039911
white noise,snr5,test2,0.7976846747519294
white noise,snr5,test3,0.7865416436845009
white noise,snr5,test4,0.7843468468468469
white noise,snr5,test5,0.8170259812050856
correlated noise,snr5,test1,0.8747228381374723
correlated noise,snr5,test2,0.8759647188533627
correlated noise,snr5,test3,0.8830667402095973
correlated noise,snr5,test4,0.8727477477477478
correlated noise,snr5,test5,0.892758430071863
gain ramp,x1.0,test1,0.8774944567627494
gain ramp,x1.0,test2,0.8847850055126791
gain ramp,x1.0,test3,0.8924434638720353
gain ramp,x1.0,test4,0.8783783783783784
gain ramp,x1.0,test5,0.9010503040353787
gain ramp,x2.0,test1,0.8841463414634146
gain ramp,x2.0,test2,0.880374862183021
gain ramp,x2.0,test3,0.8847214561500276
gain ramp,x2.0,test4,0.8834459459459459
gain ramp,x2.0,test5,0.9038142620232172
stellar spots,tlse_spots10,test1,0.86529933481153
stellar spots,tlse_spots10,test2,0.86438809261301
stellar spots,tlse_spots10,test3,0.8714837286265857
stellar spots,tlse_spots10,test4,0.8721846846846847
stellar spots,tlse_spots10,test5,0.8734107241569928
stellar spots,tlse_spots20,test1,0.8458980044345898
stellar spots,tlse_spots20,test2,0.8478500551267916
stellar spots,tlse_spots20,test3,0.8665195808052951
stellar spots,tlse_spots20,test4,0.8536036036036037
stellar spots,tlse_spots20,test5,0.8640132669983416
haze,haze_3p0e7,test1,0.8176274944567627
haze,haze_3p0e7,test2,0.8076074972436604
haze,haze_3p0e7,test3,0.8174296745725317
haze,haze_3p0e7,test4,0.8051801801801802
haze,haze_3p0e7,test5,0.824212271973466
