case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
clean,margin,0.8855368234250222,0.8999556344276841,0.9251910278530934,0.5288248337028825,0.8864695233490235,0.5
clean,ensemble,0.8855368234250222,0.8999556344276841,0.916070988415085,0.6108647450110865,0.8328450748396017,0.5
clean,mahalanobis,0.8855368234250222,0.8999556344276841,0.8832881439487306,0.9057649667405765,0.4493210014991223,0.5
clean,pca_recon,0.8855368234250222,0.8999556344276841,0.8942568400295785,0.8070953436807096,0.575309594479657,0.5
clean,knn,0.8855368234250222,0.8999556344276841,0.8831649001725412,0.9068736141906873,0.4989404681455935,0.5
cloud_1e3Pa,margin,0.7657497781721384,0.8890860692102928,0.7910429141716566,0.563,0.7040105894913796,0.5772578083112031
cloud_1e3Pa,ensemble,0.7657497781721384,0.6147959183673469,0.8390763124661735,0.6487186870141088,0.6900884615637839,0.7248206432181298
cloud_1e3Pa,mahalanobis,0.7657497781721384,0.576530612244898,0.8153135821469796,0.6982713462545835,0.5894559231144001,0.7211823193746463
cloud_1e3Pa,pca_recon,0.7657497781721384,0.754547471162378,0.8028810818756431,0.6516041572525983,0.6150044564086695,0.6161709263389782
cloud_1e3Pa,knn,0.7657497781721384,0.49600709849157054,0.8197674418604651,0.712588028169014,0.5977702320130622,0.7693283885928124
cloud_1e4Pa,margin,0.8389529724933451,0.8880878438331854,0.879480454602223,0.5173439048562933,0.8242898888165342,0.5426770811764001
cloud_1e4Pa,ensemble,0.8389529724933451,0.7953637976929903,0.8884395481801701,0.6466124661246613,0.7719670929282245,0.5989718982284477
cloud_1e4Pa,mahalanobis,0.8389529724933451,0.7974711623779946,0.849095966620306,0.7990142387732749,0.522445380685369,0.563899402639417
cloud_1e4Pa,pca_recon,0.8389529724933451,0.8390638864241349,0.8596166556510245,0.7312198483804273,0.6178676123525529,0.5441431662650014
cloud_1e4Pa,knn,0.8389529724933451,0.7551020408163265,0.8514982373678026,0.8002717391304348,0.5530455994976932,0.5943598789965427
haze_3p0e7,margin,0.59472049689441,0.9752661934338953,0.5970658478335039,0.5022421524663677,0.5742259840222514,0.4336798356210275
haze_3p0e7,ensemble,0.59472049689441,0.737910381543922,0.6317450774086878,0.4904782056707575,0.61554081132468,0.7486492267714538
haze_3p0e7,mahalanobis,0.59472049689441,0.07841614906832298,0.8062234794908062,0.576724034179805,0.633688393276941,0.9675516719167896
haze_3p0e7,pca_recon,0.59472049689441,0.8627994676131322,0.5814372027252861,0.6782538399353274,0.5019946155587771,0.6423323314993988
haze_3p0e7,knn,0.59472049689441,0.05911712511091393,0.8105065666041276,0.5811623246492986,0.5861661671961482,0.9769126182261803
haze_2p4e8,margin,0.49900177462289264,0.9712732919254659,0.49788740436222456,0.5366795366795367,0.5587312271641995,0.47568223139145716
haze_2p4e8,ensemble,0.49900177462289264,0.36379769299023956,0.5960365853658536,0.4435146443514645,0.604873992857882,0.8928648192427698
