Reliability envelope of the randomized screen (norm xgb/rf/mlp trained on the randomized grid), configuration tier1
Decline thresholds: 10% of clean test planets declined, per score, fixed on clean data only.

accepted = accuracy of the planets kept; cov = share kept; credit = accepted minus the CLEAN accepted accuracy at the same
coverage (what declining low-score planets buys on clean data anyway). in/OUT = inside the randomized training range.

--- score: ensemble
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   87.92     90.98   90.0   +0.00      0.811
cloud_1e5Pa                         in   86.66     90.03   88.7   -1.29      0.801
cloud_1e4Pa                         in   81.81     85.66   85.8   -6.45      0.768
cloud_1e3Pa                         in   75.55     79.03   81.0  -14.03      0.688
cloud_1e2Pa                        OUT   64.50     67.75   71.9  -27.07      0.603
cloud_1e1Pa                        OUT   52.72     53.14   60.4  -43.00      0.510
haze_2p0e5                          in   87.71     90.80   90.3   -0.09      0.818
haze_2p0e6                          in   87.40     90.00   90.7   -0.73      0.792
haze_3p0e7                          in   69.32     70.73   87.0  -21.00      0.597
haze_2p4e8                          in   60.53     61.31   71.4  -33.64      0.523
haze_1p0e10                        OUT   50.18     51.63   46.9  -45.79      0.514
tlse_spots02                        in   87.82     90.18   91.0   -0.46      0.794
tlse_spots05                        in   86.49     88.95   90.9   -1.77      0.789
tlse_spots10                        in   84.94     87.10   89.7   -3.96      0.748
tlse_spots20                        in   81.70     84.32   87.5   -7.20      0.701
tlse_mixed                         OUT   85.13     87.35   90.3   -3.54      0.752
tlse_fac10                         OUT   84.57     87.36   88.8   -3.92      0.764
quenched                            in   94.23     95.28   95.8   +6.02      0.791
exotransmit                        OUT   86.85     89.88   90.3   -1.01      0.785
exomol                             OUT   66.77     67.47   95.7  -21.81      0.621
compound_spots10_haze3e7            in   65.44     67.25   86.2  -24.72      0.566
compound_spots20_haze3e7            in   62.52     64.92   82.8  -27.78      0.574
absorbers                          OUT   68.98     71.01   86.0  -21.07      0.698
absorbers_quenched                 OUT   70.63     72.06   90.5  -18.78      0.709
white_snr12                         in   86.68     89.51   90.2   -1.38      0.785
white_snr8                          in   83.05     85.91   88.4   -5.43      0.739
white_snr5                          in   74.58     78.07   81.9  -14.77      0.657
correlated_snr12                    in   87.64     91.02   90.1   +0.06      0.815
correlated_snr8                     in   87.27     90.05   90.4   -0.81      0.802
correlated_snr5                     in   86.52     89.55   90.0   -1.42      0.795
   over shifted cases: worst accepted 51.63%, mean coverage 85.2%, mean credit -11.96

--- score: margin
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   87.92     91.19   90.0   +0.00      0.842
cloud_1e5Pa                         in   86.66     90.36   88.1   -1.49      0.827
cloud_1e4Pa                         in   81.81     86.46   85.0   -6.49      0.787
cloud_1e3Pa                         in   75.55     79.85   81.6  -13.98      0.715
cloud_1e2Pa                        OUT   64.50     68.86   74.3  -26.69      0.639
cloud_1e1Pa                        OUT   52.72     53.77   64.5  -43.03      0.523
