case,axis,in_range,oracle,frozen,full,no_spots,no_quench,no_aero,no_noise,held_out
clean,clean,True,,0.8868677905944987,0.8792147293700089,0.8834294587400178,0.8829858030168589,0.8796583850931677,0.8828748890860693,
cloud_1e5Pa,aero,True,,0.8779946761313221,0.8665705412599822,0.8710070984915705,0.8716725820763088,0.8670141969831411,0.8671251109139307,0.8670141969831411
cloud_1e4Pa,aero,True,,0.8380656610470275,0.8181011535048802,0.8315217391304348,0.8196539485359361,0.8172138420585625,0.816659272404614,0.8172138420585625
cloud_1e3Pa,aero,True,,0.7654170363797693,0.7555456965394853,0.7590949423247559,0.752661934338953,0.7502218278615794,0.7508873114463177,0.7502218278615794
cloud_1e2Pa,aero,False,,0.6485137533274179,0.6449645075421473,0.6551685891748004,0.6457409050576752,0.6393078970718722,0.6385314995563443,0.6393078970718722
cloud_1e1Pa,aero,False,,0.5215173025732032,0.5271739130434783,0.52650842945874,0.5206299911268856,0.519299023957409,0.5241792369121562,0.519299023957409
haze_2p0e5,aero,True,,0.8857586512866016,0.8771073646850044,0.8806566104702751,0.8842058562555457,0.8797692990239574,0.8789929015084295,0.8797692990239574
haze_2p0e6,aero,True,,0.8730035492457853,0.8740017746228926,0.8779946761313221,0.8769964507542147,0.8714507542147294,0.8756654835847383,0.8714507542147294
haze_3p0e7,aero,True,0.7547692990239574,0.6033717834960071,0.6932120674356699,0.7124001774622892,0.6984250221827861,0.6467391304347826,0.7165039929015085,0.6467391304347826
haze_2p4e8,aero,True,,0.5017746228926353,0.6052573203194321,0.6081410825199645,0.604924578527063,0.5425909494232476,0.6278837622005324,0.5425909494232476
haze_1p0e10,aero,False,,0.5261756876663709,0.5017746228926353,0.5258429458740018,0.5073203194321206,0.49667258207630877,0.49767080745341613,0.49667258207630877
tlse_spots02,spots,True,,0.8735581188997338,0.8782165039929015,0.871561668145519,0.8755545696539485,0.8771073646850044,0.8766637089618456,0.871561668145519
tlse_spots05,spots,True,,0.8406166814551908,0.8649068322981367,0.8421694764862466,0.862910381543922,0.8660159716060337,0.8674578527062999,0.8421694764862466
tlse_spots10,spots,True,0.8552573203194321,0.7830523513753327,0.8493788819875776,0.7979148181011535,0.8449423247559894,0.8438331854480923,0.8529281277728483,0.7979148181011535
tlse_spots20,spots,True,0.8289707187222716,0.6996450754214729,0.8169920141969832,0.7282608695652174,0.8074534161490683,0.8141082519964508,0.8198757763975155,0.7282608695652174
tlse_mixed,spots,False,,0.7982475598935226,0.8512644188110027,0.8104480922803904,0.8469387755102041,0.8472715173025732,0.8521517302573203,0.8104480922803904
tlse_fac10,spots,False,,0.8694543034605147,0.8457187222715173,0.8539263531499557,0.8569210292812778,0.8532608695652174,0.8593611357586513,0.8539263531499557
quenched,quench,True,,0.9249112688553682,0.9423247559893523,0.9379991126885537,0.941659272404614,0.9401064773735581,0.9423247559893523,0.941659272404614
exotransmit,code,False,0.8752218278615794,0.8679015084294588,0.8684560780834073,0.8717834960070985,0.8724489795918368,0.8696761313220941,0.8714507542147294,0.8684560780834073
exomol,opacity,False,0.7925909494232476,0.6478482697426797,0.6677018633540373,0.6677018633540373,0.6629325643300799,0.6641526175687666,0.6566104702750666,0.6677018633540373
compound_spots10_haze3e7,compound,True,,0.5069875776397516,0.6543921916592724,0.642413487133984,0.6448535936113576,0.5991570541259982,0.6782386867790594,
compound_spots20_haze3e7,compound,True,,0.5012200532386868,0.6252218278615794,0.6071428571428571,0.6083629103815439,0.5714285714285714,0.6506211180124224,
white_snr12,noise,True,,0.868566992014197,0.8667923691215617,0.8669032830523514,0.8676796805678794,0.8667923691215617,0.867790594498669,0.867790594498669
white_snr8,noise,True,0.8400621118012422,0.8101153504880213,0.8305235137533274,0.823092280390417,0.8254214729370009,0.8291925465838509,0.8207630878438332,0.8207630878438332
white_snr5,noise,True,0.7908163265306123,0.7180567879325643,0.7457852706299911,0.7366903283052352,0.736357586512866,0.7451197870452528,0.7314773735581189,0.7314773735581189
correlated_snr12,noise,True,,0.8866459627329193,0.8764418811002662,0.87877107364685,0.8806566104702751,0.8783274179236912,0.8816548358473825,0.8816548358473825
correlated_snr8,noise,True,0.886756876663709,0.8884205856255546,0.8726708074534162,0.8774401064773736,0.8756654835847383,0.875,0.8759982253771074,0.8759982253771074
correlated_snr5,noise,True,0.8809893522626442,0.8813220940550133,0.8652395740905058,0.8705634427684117,0.8681233362910381,0.8667923691215617,0.8752218278615794,0.8752218278615794
