case,split,frozen,full
clean,test1,0.8797117516629712,0.8808203991130821
clean,test2,0.8776185226019846,0.8776185226019846
clean,test3,0.8847214561500276,0.8907887479316051
clean,test4,0.8817567567567568,0.8671171171171171
clean,test5,0.9038142620232172,0.892758430071863
cloud_1e5Pa,test1,0.8780487804878049,0.8763858093126385
cloud_1e5Pa,test2,0.8704520396912899,0.8737596471885336
cloud_1e5Pa,test3,0.882515168229454,0.8869277440706013
cloud_1e5Pa,test4,0.8761261261261262,0.8603603603603603
cloud_1e5Pa,test5,0.8977335544499724,0.8872305140961857
cloud_1e4Pa,test1,0.8425720620842572,0.8398004434589801
cloud_1e4Pa,test2,0.8230429988974641,0.8263506063947078
cloud_1e4Pa,test3,0.846111417539989,0.8510755653612796
cloud_1e4Pa,test4,0.8293918918918919,0.8282657657657657
cloud_1e4Pa,test5,0.853510226644555,0.849640685461581
cloud_1e3Pa,test1,0.7671840354767184,0.7433481152993349
cloud_1e3Pa,test2,0.7414553472987873,0.7381477398015436
cloud_1e3Pa,test3,0.7799227799227799,0.7562051847766134
cloud_1e3Pa,test4,0.7601351351351351,0.740990990990991
cloud_1e3Pa,test5,0.7799889441680486,0.7794361525704809
cloud_1e2Pa,test1,0.6402439024390244,0.6286031042128604
cloud_1e2Pa,test2,0.6212789415656009,0.6130099228224918
cloud_1e2Pa,test3,0.6530612244897959,0.6326530612244898
cloud_1e2Pa,test4,0.6447072072072072,0.6441441441441441
cloud_1e2Pa,test5,0.6611387506909895,0.6716417910447762
cloud_1e1Pa,test1,0.5271618625277162,0.5277161862527716
cloud_1e1Pa,test2,0.5082690187431091,0.5220507166482911
cloud_1e1Pa,test3,0.528957528957529,0.5096525096525096
cloud_1e1Pa,test4,0.5298423423423423,0.5337837837837838
cloud_1e1Pa,test5,0.5395245992260918,0.5472636815920398
haze_2p0e5,test1,0.88470066518847,0.8758314855875832
haze_2p0e5,test2,0.8759647188533627,0.8676957001102535
haze_2p0e5,test3,0.8830667402095973,0.885273028130171
haze_2p0e5,test4,0.8806306306306306,0.8665540540540541
haze_2p0e5,test5,0.8999447208402432,0.8872305140961857
haze_2p0e6,test1,0.8580931263858093,0.8630820399113082
haze_2p0e6,test2,0.8555678059536935,0.8583241455347299
haze_2p0e6,test3,0.8742415885273028,0.8747931605074463
haze_2p0e6,test4,0.857545045045045,0.857545045045045
haze_2p0e6,test5,0.8656716417910447,0.8761746821448314
haze_3p0e7,test1,0.5825942350332595,0.7117516629711752
haze_3p0e7,test2,0.5970231532524807,0.7414553472987873
haze_3p0e7,test3,0.6188637617209046,0.7402095973524545
haze_3p0e7,test4,0.5827702702702703,0.7308558558558559
haze_3p0e7,test5,0.5920398009950248,0.7357656163626313
haze_2p4e8,test1,0.48725055432372505,0.6225055432372506
haze_2p4e8,test2,0.5143329658213892,0.6648291069459757
haze_2p4e8,test3,0.5107556536127965,0.6646442360728075
haze_2p4e8,test4,0.49211711711711714,0.6469594594594594
haze_2p4e8,test5,0.49032614704256494,0.6683250414593698
haze_1p0e10,test1,0.5105321507760532,0.49057649667405767
haze_1p0e10,test2,0.4807056229327453,0.4658213891951488
haze_1p0e10,test3,0.48428019856591287,0.49531163816878104
haze_1p0e10,test4,0.49774774774774777,0.48761261261261263
haze_1p0e10,test5,0.5124378109452736,0.5080154781647319
tlse_spots02,test1,0.86529933481153,0.864190687361419
tlse_spots02,test2,0.8638368246968027,0.8621830209481808
tlse_spots02,test3,0.8709321566464424,0.882515168229454
tlse_spots02,test4,0.8648648648648649,0.8603603603603603
tlse_spots02,test5,0.882808181315644,0.87893864013267
tlse_spots05,test1,0.8281596452328159,0.8553215077605322
tlse_spots05,test2,0.8395810363836824,0.8550165380374862
tlse_spots05,test3,0.8455598455598455,0.8681742967457253
tlse_spots05,test4,0.8344594594594594,0.848536036036036
tlse_spots05,test5,0.8518518518518519,0.8700939745715865
tlse_spots10,test1,0.7888026607538803,0.8508869179600886
tlse_spots10,test2,0.7761852260198456,0.8417861080485116
tlse_spots10,test3,0.8052950910093767,0.8483177054605626
tlse_spots10,test4,0.7843468468468469,0.8474099099099099
tlse_spots10,test5,0.7915975677169707,0.8518518518518519
tlse_spots20,test1,0.7106430155210643,0.8364745011086474
tlse_spots20,test2,0.7116868798235942,0.8379272326350606
tlse_spots20,test3,0.716492002206288,0.8378378378378378
tlse_spots20,test4,0.7015765765765766,0.8153153153153153
tlse_spots20,test5,0.6976229961304589,0.8407960199004975
tlse_mixed,test1,0.79490022172949,0.8481152993348116
tlse_mixed,test2,0.7998897464167586,0.8412348401323043
tlse_mixed,test3,0.8207391064533922,0.8554881412024269
tlse_mixed,test4,0.8012387387387387,0.8445945945945946
tlse_mixed,test5,0.8087341072415699,0.8518518518518519
tlse_fac10,test1,0.8603104212860311,0.8503325942350333
tlse_fac10,test2,0.8682469680264608,0.8544652701212789
tlse_fac10,test3,0.8626585769442913,0.8626585769442913
tlse_fac10,test4,0.8671171171171171,0.8530405405405406
tlse_fac10,test5,0.8844665561083471,0.8778330569375346
quenched,test1,0.8043237250554324,0.8126385809312638
quenched,test2,0.8004410143329658,0.804851157662624
quenched,test3,0.8036403750689465,0.8146718146718147
quenched,test4,0.8096846846846847,0.8046171171171171
quenched,test5,0.8308457711442786,0.8291873963515755
exotransmit,test1,0.8741685144124168,0.8713968957871396
exotransmit,test2,0.8721058434399118,0.8759647188533627
exotransmit,test3,0.8714837286265857,0.8814120242691671
exotransmit,test4,0.8710585585585585,0.8597972972972973
exotransmit,test5,0.8888888888888888,0.8899944720840243
