case,axis,frozen_auroc_shift,frozen_auroc_error,full_auroc_shift,full_auroc_error
cloud_1e5Pa,aero,0.5041656140340862,0.8716557358410736,0.49390534962393584,0.8420712012492383
cloud_1e4Pa,aero,0.563899402639417,0.8242898888165342,0.5392661764080657,0.8049523472883529
cloud_1e3Pa,aero,0.7211823193746463,0.7040105894913796,0.6832489185153634,0.7134521810529704
cloud_1e2Pa,aero,0.9006700303669942,0.6028443068704812,0.8648308926691698,0.6172456106486406
cloud_1e1Pa,aero,0.9905682685577606,0.520896977657354,0.9662975547168832,0.51645236919339
haze_2p0e5,aero,0.5367670823199848,0.8806560285486436,0.5028165569205962,0.8548327832561905
haze_2p0e6,aero,0.7291648254822936,0.8062907470170811,0.5386276831920223,0.8315931698512647
haze_3p0e7,aero,0.9675516719167896,0.5742259840222514,0.6388749932093511,0.682091109773229
haze_2p4e8,aero,0.9988174429526449,0.5587312271641995,0.826620846681715,0.6289866932571172
haze_1p0e10,aero,0.9998937238855266,0.4848470980427124,0.9836071277012021,0.5240444081262287
tlse_spots02,spots,0.6222614986351779,0.8355530030889907,0.5799962297136748,0.8432794883414241
tlse_spots05,spots,0.7348065752573164,0.738772185424767,0.6216995232374035,0.8231517104888041
tlse_spots10,spots,0.8358071675199921,0.6779710289636401,0.6070834881732485,0.8084315352142525
tlse_spots20,spots,0.9186644378248193,0.6359427994824495,0.4899796718482926,0.7886232611462052
tlse_mixed,spots,0.816907450936086,0.6902771689304028,0.6389282235308383,0.811543628728376
tlse_fac10,spots,0.4652963276761652,0.8380855164506315,0.4991285949104382,0.8411584785948821
quenched,quench,0.4673922392922294,0.7107791456340299,0.49463665452485533,0.8073518225511959
exotransmit,code,0.5554692918986969,0.8688038186000152,0.5437783534192197,0.8457217261904763
exomol,opacity,0.5128445368541306,0.6749881112473208,0.5182051882131657,0.7614163936316438
compound_spots10_haze3e7,compound,0.9998479116097657,0.5852230669376751,0.3083049167643601,0.6732592017567871
compound_spots20_haze3e7,compound,0.9999762327291165,0.6037833804676532,0.19936326349528277,0.6628758001546974
white_snr12,noise,0.5627626701697229,0.8575753377563639,0.5453832346950586,0.8308280932927592
white_snr8,noise,0.702912103317852,0.7921423213747504,0.6601388766416639,0.7926597529546133
white_snr5,noise,0.8506370219087982,0.7025543957919312,0.8090624800709219,0.6933219230841864
correlated_snr12,noise,0.5096112653714702,0.881324179366485,0.5068097167689266,0.8522159911858649
correlated_snr8,noise,0.5435790011290191,0.8718123245039746,0.5337405688713509,0.8467253398698046
correlated_snr5,noise,0.5996075251017811,0.8486008149633465,0.5776003362650565,0.8293042375377797
