threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3
1e-5,CH4,KNN,0.5898234683281413,0.6926272066458983,0.411214953271028,0.5700934579439252,0.6936656282450675,0.54932502596054,0.48494288681204567,0.6199376947040498,0.5628245067497404
1e-5,CH4,MLP,0.5898234683281413,0.7279335410176532,0.411214953271028,0.5835929387331257,0.715472481827622,0.564901349948079,0.4818276220145379,0.6209761163032191,0.5628245067497404
1e-5,CH4,RFC,0.5898234683281413,0.7165109034267912,0.411214953271028,0.573208722741433,0.7061266874350987,0.54932502596054,0.4724818276220145,0.6064382139148494,0.5472481827622014
1e-5,CH4,SVC,0.5898234683281413,0.7217030114226376,0.411214953271028,0.5773624091381101,0.7092419522326064,0.5669781931464174,0.4818276220145379,0.6188992731048806,0.553478712357217
1e-5,H2O,KNN,0.6105919003115264,0.6427829698857737,0.387331256490135,0.509865005192108,0.6355140186915887,0.4984423676012461,0.4402907580477674,0.5856697819314641,0.5295950155763239
1e-5,H2O,MLP,0.6105919003115264,0.6708203530633438,0.3894080996884735,0.5036344755970924,0.6708203530633438,0.49221183800623053,0.4371754932502596,0.6043613707165109,0.5451713395638629
1e-5,H2O,RFC,0.6105919003115264,0.6801661474558671,0.3894080996884735,0.5181723779854621,0.6728971962616822,0.5067497403946002,0.446521287642783,0.5919003115264797,0.5524402907580478
1e-5,H2O,SVC,0.6105919003115264,0.656282450674974,0.3894080996884735,0.4932502596053998,0.6614745586708204,0.48286604361370716,0.43094496365524404,0.5763239875389408,0.5275181723779855
1e-5,CO2,KNN,0.5867082035306335,0.5347871235721703,0.4485981308411215,0.46002076843198336,0.5223260643821391,0.48598130841121495,0.44132917964693663,0.49221183800623053,0.45482866043613707
1e-5,CO2,MLP,0.5867082035306335,0.5514018691588785,0.4164070612668744,0.45482866043613707,0.5555555555555556,0.45586708203530635,0.4434060228452752,0.4766355140186916,0.46625129802699894
1e-5,CO2,RFC,0.5867082035306335,0.5628245067497404,0.4184839044652129,0.4797507788161994,0.5565939771547248,0.46625129802699894,0.43821391484942884,0.4963655244029076,0.4735202492211838
1e-5,CO2,SVC,0.5867082035306335,0.5212876427829699,0.4153686396677051,0.4454828660436137,0.5181723779854621,0.4423676012461059,0.44132917964693663,0.4683281412253375,0.45067497403946
1e-5,NH3,KNN,0.5752855659397715,0.4714434060228453,0.4755970924195223,0.4984423676012461,0.46625129802699894,0.48494288681204567,0.490134994807892,0.48390446521287644,0.4797507788161994
1e-5,NH3,MLP,0.5752855659397715,0.4537902388369678,0.5389408099688473,0.4672897196261682,0.4485981308411215,0.48286604361370716,0.5036344755970924,0.46625129802699894,0.470404984423676
1e-5,NH3,RFC,0.5752855659397715,0.4714434060228453,0.4797507788161994,0.46625129802699894,0.46625129802699894,0.4932502596053998,0.48390446521287644,0.4755970924195223,0.4652128764278297
1e-5,NH3,SVC,0.5752855659397715,0.4236760124610592,0.4226375908618899,0.43198338525441327,0.4215991692627207,0.43406022845275183,0.43198338525441327,0.42990654205607476,0.43406022845275183
1e-4,CH4,KNN,0.37590861889927313,0.7528556593977155,0.6240913811007269,0.6749740394600208,0.7279335410176532,0.6863966770508827,0.6438213914849429,0.6708203530633438,0.6438213914849429
1e-4,CH4,MLP,0.37590861889927313,0.7777777777777778,0.6240913811007269,0.6666666666666666,0.7694704049844237,0.6895119418483905,0.6469366562824507,0.7040498442367601,0.6573208722741433
1e-4,CH4,RFC,0.37590861889927313,0.7715472481827622,0.6240913811007269,0.6552440290758048,0.7528556593977155,0.6801661474558671,0.6469366562824507,0.6812045690550363,0.6479750778816199
1e-4,CH4,SVC,0.37590861889927313,0.7684319833852544,0.6240913811007269,0.67601246105919,0.754932502596054,0.6843198338525441,0.6438213914849429,0.6895119418483905,0.6573208722741433
1e-4,H2O,KNN,0.3821391484942887,0.7559709241952233,0.6178608515057114,0.6542056074766355,0.7559709241952233,0.6874350986500519,0.6469366562824507,0.6978193146417445,0.6728971962616822
1e-4,H2O,MLP,0.3821391484942887,0.7829698857736241,0.6178608515057114,0.656282450674974,0.7767393561786086,0.6853582554517134,0.6469366562824507,0.7185877466251298,0.6874350986500519
1e-4,H2O,RFC,0.3821391484942887,0.7892004153686397,0.6178608515057114,0.6666666666666666,0.778816199376947,0.6832814122533749,0.6500519210799585,0.7071651090342679,0.6749740394600208
1e-4,H2O,SVC,0.3821391484942887,0.778816199376947,0.6178608515057114,0.6479750778816199,0.7757009345794392,0.6708203530633438,0.6417445482866043,0.7102803738317757,0.6791277258566978
1e-4,CO2,KNN,0.40186915887850466,0.5939771547248183,0.5981308411214953,0.5721703011422637,0.5981308411214953,0.6053997923156802,0.5970924195223261,0.5815160955347871,0.5804776739356179
1e-4,CO2,MLP,0.40186915887850466,0.6251298026998962,0.5981308411214953,0.6022845275181724,0.6137071651090342,0.6012461059190031,0.6012461059190031,0.6074766355140186,0.6033229491173416
