axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9016,0.9561889973380656,0.9378326591441346,0.9771517302573203,0.9570885388375883,0.032791673695837055,0.008686797588922376,0.9914698133024284,0.5209627329192547,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9016,0.5941659272404614,0.5594954449894884,0.8855368234250222,0.6857339173752469,0.35291326706575327,0.3274096080675116,0.6332548455708042,0.7913708961845608,3330,66,0.026366339226916904,-36.202307009760425,0.3201215933699162
cloud,cloud_1e2Pa,9016,0.8498225377107365,0.820268074735987,0.8959627329192547,0.8564461407972859,0.1194736099243453,0.08312550188057519,0.9133057301659909,0.5461401952085182,1032,73,0.28634067766703464,-10.636645962732915,0.08668193622850826
cloud,cloud_1e3Pa,9016,0.9184782608695652,0.9195018901489882,0.9172582076308784,0.9183786785119378,0.06215655671339611,0.03604487056919377,0.9695976747243784,0.4987799467613132,417,77,0.5717249819238182,-3.7710736468500428,0.029364883017559053
cloud,cloud_1e4Pa,9016,0.9427684117125111,0.9388742304309586,0.9472049689440993,0.9430212014134276,0.042811547480498376,0.015794624174328073,0.9839150442592839,0.5044365572315883,180,59,0.8042534307708107,-1.3420585625554482,0.01001987378466132
cloud,cloud_1e5Pa,9016,0.9533052351375333,0.9372993794136529,0.9716060337178349,0.9541444287114693,0.03467004884775587,0.005337945684718539,0.9898585104347669,0.5183007985803016,44,18,0.9447360468223549,-0.2883762200532325,0.0018783751519188124
exomol,exomol,9016,0.8456078083407276,0.9724075197089145,0.7114019520851819,0.8216756341275941,0.13539848643100713,0.16090047020609552,0.9655820147008691,0.3657941437444543,1214,217,0.8639017328480699,-11.058118899733804,0.10260681273517008
exotransmit,exotransmit,9016,0.9029503105590062,0.9668465690053971,0.8345164152617569,0.8958209310632218,0.08378763878000062,0.07959764597186525,0.9828703177000132,0.43156610470275064,692,212,0.8865545154286638,-5.32386867790594,0.05099596508416356
haze,haze_1p0e10,9016,0.5092058562555457,0.5088429575964202,0.5297249334516415,0.5190740136941637,0.3761833719732826,0.30579924324093327,0.5072618361993152,0.5205190771960958,4257,227,0.47443118578645493,-44.69831410825199,0.34339169827744553
haze,haze_2p0e5,9016,0.9556344276841171,0.9357233771743741,0.9784826974267968,0.9566254608544784,0.03326320764280216,0.010489069712335677,0.9911999588230801,0.5228482697426797,11,6,0.9872525062901267,-0.05545696539485112,0.0004715339469651067
haze,haze_2p0e6,9016,0.948868677905945,0.9209486166007905,0.9820319432120674,0.9505099302200751,0.03829869086323755,0.021157176451093163,0.9890235804788333,0.5331632653061225,97,31,0.9468519816610971,-0.7320319432120637,0.005507017167400492
haze,haze_2p4e8,9016,0.6580523513753327,0.596793913870398,0.9744897959183674,0.7402477041031258,0.27161146238284783,0.279527867457498,0.8498834075121504,0.8164374445430346,2776,88,0.7791830149746954,-29.81366459627329,0.2388197886870108
haze,haze_3p0e7,9016,0.8908606921029282,0.8258136094674556,0.9906832298136646,0.9007664380798709,0.08487591300721666,0.08860172734518858,0.9685213568857965,0.5998225377107365,663,74,0.8939377018390666,-6.532830523513744,0.0520842393113796
quenched,quenched,9016,0.9824755989352263,0.96875,0.9971162377994676,0.9827284652383035,0.01511395633224696,0.006736650417305609,0.994812731620174,0.5146406388642414,44,281,0.9933381509030567,2.6286601597160675,-0.017677717363590095
tlse,tlse_fac05,9016,0.9483141082519965,0.9258322798145807,0.9747116237799468,0.9496433974497515,0.03892186209557342,0.01450334547287422,0.9887643302373224,0.5263975155279503,111,40,1.016674572443927,-0.7874889086069148,0.006130188399736364
tlse,tlse_fac10,9016,0.9387755102040817,0.9158957106812448,0.966282165039929,0.9404145077720207,0.04689113001139505,0.019426177717285116,0.9838131107155257,0.5275066548358474,207,50,1.0389618130838958,-1.741348713398394,0.014099456315557993
tlse,tlse_mixed,9016,0.8824312333629104,0.8693230505569837,0.9001774622892635,0.8844812554489974,0.10125559888573755,0.08168537692929934,0.9376815268370376,0.5177462289263531,798,133,0.96205301756686,-7.375776397515521,0.06846392518990049
tlse,tlse_spots02,9016,0.9417701863354038,0.9381738173817382,0.9458740017746229,0.9420081740859384,0.04467879036391346,0.02177400772155891,0.9861132461742075,0.5041038154392191,211,81,0.9818924178131848,-1.4418811002661847,0.011887116668076403
tlse,tlse_spots05,9016,0.915150842945874,0.9096082293718538,0.9219165927240461,0.9157210532114135,0.06880934372581934,0.04870622843332721,0.969749824624113,0.5067657497781721,479,109,0.9674920354559046,-4.103815439219161,0.03601767002998229
tlse,tlse_spots10,9016,0.87877107364685,0.862295777636325,0.90150842945874,0.8814662184144887,0.10361577829075351,0.0821716944864567,0.9363782143388585,0.52273735581189,830,132,0.9654960357542789,-7.741792369121558,0.07082410459491645
tlse,tlse_spots20,9016,0.8209849157054127,0.7855169692186267,0.8830967169476486,0.831453634085213,0.15935404519554527,0.13038395401774178,0.8736245491599673,0.562111801242236,1360,141,1.0817212948543486,-13.520408163265296,0.12656237149970823
white noise,snr12,9016,0.9446539485359361,0.9284035050224407,0.963620230700976,0.9456841188636116,0.04200018266497762,0.01513209230033332,0.9872870196649316,0.5189662821650399,195,91,1.0,-1.1535048802129522,0.009208508969140564
white noise,snr10,9016,0.9326752440106477,0.9173978172480205,0.9509760425909495,0.9338851976908833,0.05051541563030592,0.025822245970303047,0.9828285158436663,0.5183007985803016,320,108,1.0,-2.3513753327417897,0.017723741934468865
white noise,snr8,9016,0.9103815439219166,0.890625,0.9356699201419698,0.9125919515361316,0.06926541071037759,0.042333708208881576,0.972560365915588,0.5252883762200532,509,96,1.0,-4.5807453416149,0.036473737014540535
white noise,snr5,9016,0.8615794143744454,0.8325173398612811,0.90527950310559,0.867375132837407,0.11376990456474168,0.08085621040007798,0.9332336518574097,0.5437000887311446,980,127,1.0,-9.460958296362021,0.08097823086890463
correlated noise,snr12,9016,0.937888198757764,0.9217948717948717,0.9569653948535937,0.9390509360034828,0.047172950888878684,0.02217721783437489,0.9840553843349771,0.5190771960958296,275,110,1.0,-1.8300798580301647,0.01438127719304163
correlated noise,snr10,9016,0.9163708961845608,0.9062770562770562,0.928793256433008,0.9173970201577564,0.06455234003505168,0.04342546489231384,0.9757909432821391,0.5124223602484472,483,124,1.0,-3.9818101153504815,0.03176066633921463
correlated noise,snr8,9016,0.8965173025732032,0.8895184135977338,0.9055013309671694,0.8974387160602396,0.08337334393873991,0.060428120812040874,0.9618695719096249,0.5089840283939663,676,138,1.0,-5.967169476486244,0.05058167024290285
