Domain shift, configuration ariel, frozen pipeline norm_rf; clean paired baseline 95.53% (Brier 0.0374, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                95.53   +0.00  0.0374  0.031  0.520      0      0  1.000
cloud            cloud_1e1Pa              52.88  -42.65  0.2453  0.172  0.041   4122    277  0.026
cloud            cloud_1e2Pa              72.30  -23.23  0.1585  0.197  0.255   2309    215  0.286
cloud            cloud_1e3Pa              88.10   -7.43  0.0951  0.139  0.427    820    150  0.572
cloud            cloud_1e4Pa              94.19   -1.34  0.0553  0.081  0.498    206     85  0.804
cloud            cloud_1e5Pa              95.42   -0.11  0.0397  0.042  0.515     43     33  0.945
exomol           exomol                   78.14  -17.39  0.1324  0.193  0.303   1782    214  0.864
exotransmit      exotransmit              89.86   -5.67  0.0670  0.094  0.421    705    194  0.887
haze             haze_1p0e10              54.60  -40.93  0.2609  0.166  0.057   3983    293  0.474
haze             haze_2p0e5               95.31   -0.22  0.0379  0.031  0.524     30     10  0.987
haze             haze_2p0e6               94.54   -0.99  0.0421  0.035  0.538    130     41  0.947
haze             haze_2p4e8               89.19   -6.34  0.1226  0.204  0.484    710    138  0.779
haze             haze_3p0e7               92.49   -3.04  0.0654  0.086  0.557    353     79  0.894
quenched         quenched                 98.10   +2.57  0.0187  0.021  0.518     42    274  0.993
tlse             tlse_fac05               94.94   -0.59  0.0410  0.033  0.511    119     66  1.017
tlse             tlse_fac10               93.93   -1.60  0.0469  0.031  0.498    238     94  1.039
tlse             tlse_mixed               89.49   -6.04  0.0700  0.035  0.486    683    138  0.962
tlse             tlse_spots02             93.84   -1.69  0.0450  0.025  0.518    234     82  0.982
tlse             tlse_spots05             91.55   -3.98  0.0570  0.022  0.504    471    112  0.967
tlse             tlse_spots10             89.10   -6.43  0.0730  0.039  0.482    720    140  0.965
tlse             tlse_spots20             85.79   -9.74  0.0977  0.058  0.448   1043    165  1.082
white noise      snr12                    94.37   -1.16  0.0480  0.055  0.515    195     90  1.000
white noise      snr10                    93.59   -1.94  0.0576  0.079  0.503    302    127  1.000
white noise      snr8                     92.27   -3.26  0.0744  0.111  0.493    423    129  1.000
white noise      snr5                     88.49   -7.04  0.1150  0.184  0.437    807    172  1.000
correlated noise snr12                    93.74   -1.79  0.0491  0.036  0.515    274    113  1.000
correlated noise snr10                    92.22   -3.31  0.0604  0.045  0.508    436    138  1.000
correlated noise snr8                     90.34   -5.19  0.0757  0.075  0.490    629    161  1.000
correlated noise snr5                     83.93  -11.60  0.1191  0.137  0.438   1214    168  1.000
gain ramp        x0.25                    95.36   -0.17  0.0380  0.031  0.520     65     50  0.996
gain ramp        x0.5                     95.10   -0.43  0.0393  0.029  0.519    124     85  1.009
gain ramp        x1.0                     93.54   -1.99  0.0457  0.018  0.514    303    124  1.010
gain ramp        x2.0                     90.98   -4.55  0.0610  0.040  0.499    547    137  1.034
baseline offset  x0.25                    95.53   +0.00  0.0374  0.031  0.520      0      0  1.000
baseline offset  x0.5                     95.53   +0.00  0.0374  0.031  0.520      0      0  1.000
baseline offset  x1.0                     95.53   +0.00  0.0374  0.031  0.520      0      0  1.000
baseline offset  x2.0                     95.53   +0.00  0.0374  0.031  0.520      0      0  1.000
absolute noise   20 ppm                   90.16   -5.37  0.0616  0.023  0.477    614    130  1.000
absolute noise   50 ppm                   88.12   -7.41  0.0739  0.039  0.449    810    142  1.000
absolute noise   100 ppm                  85.90   -9.63  0.0873  0.043  0.420   1027    159  1.000
absolute noise   200 ppm                  83.10  -12.43  0.1018  0.055  0.383   1281    160  1.000
noise colouring  white snr15              94.12   -1.41  0.0476  0.045  0.518    281    154  1.000
noise colouring  ariel snr15              95.34   -0.19  0.0379  0.031  0.519    168    151  1.000
noise colouring  exosim snr15             95.35   -0.18  0.0381  0.033  0.518    167    151  1.000
noise colouring  white snr10              93.03   -2.50  0.0629  0.088  0.503    380    155  1.000
noise colouring  ariel snr10              94.59   -0.94  0.0490  0.068  0.500    243    158  1.000
noise colouring  exosim snr10             94.30   -1.23  0.0501  0.071  0.497    266    155  1.000
noise colouring  white snr7               90.84   -4.69  0.0880  0.134  0.474    587    164  1.000
noise colouring  ariel snr7               92.29   -3.24  0.0705  0.111  0.471    462    170  1.000
noise colouring  exosim snr7              92.08   -3.45  0.0724  0.114  0.467    481    170  1.000
noise colouring  white snr5               87.93   -7.60  0.1176  0.188  0.430    875    190  1.000
noise colouring  ariel snr5               89.90   -5.63  0.0988  0.161  0.438    692    184  1.000
noise colouring  exosim snr5              89.87   -5.66  0.1009  0.166  0.435    703    193  1.000
