Domain shift, configuration ariel, frozen pipeline pca_rf; clean paired baseline 90.22% (Brier 0.0931, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                90.22   +0.00  0.0931  0.141  0.517      0      0  1.000
cloud            cloud_1e1Pa              53.24  -36.98  0.2486  0.063  0.222   3746    412  0.026
cloud            cloud_1e2Pa              69.20  -21.02  0.1901  0.168  0.276   2279    384  0.286
cloud            cloud_1e3Pa              80.38   -9.84  0.1475  0.187  0.381   1186    299  0.572
cloud            cloud_1e4Pa              86.90   -3.32  0.1188  0.167  0.460    484    185  0.804
cloud            cloud_1e5Pa              89.45   -0.77  0.0989  0.147  0.505    128     59  0.945
exomol           exomol                   75.84  -14.37  0.1670  0.117  0.328   1654    358  0.864
exotransmit      exotransmit              88.49   -1.73  0.1050  0.148  0.455    427    271  0.887
haze             haze_1p0e10              52.30  -37.92  0.2539  0.090  0.090   3910    491  0.474
haze             haze_2p0e5               90.36   +0.14  0.0937  0.145  0.519     40     53  0.987
haze             haze_2p0e6               89.83   -0.39  0.1080  0.174  0.532    155    120  0.947
haze             haze_2p4e8               68.18  -22.04  0.2111  0.107  0.416   2366    379  0.779
haze             haze_3p0e7               83.36   -6.85  0.1586  0.220  0.580    830    212  0.894
quenched         quenched                 96.30   +6.08  0.0695  0.175  0.504     81    629  0.993
tlse             tlse_fac05               88.44   -1.77  0.0979  0.125  0.490    276    116  1.017
tlse             tlse_fac10               87.17   -3.05  0.1035  0.116  0.469    432    157  1.039
tlse             tlse_mixed               86.68   -3.54  0.1185  0.153  0.550    574    255  0.962
tlse             tlse_spots02             89.47   -0.74  0.0986  0.143  0.526    212    145  0.982
tlse             tlse_spots05             88.09   -2.13  0.1085  0.148  0.537    419    227  0.967
tlse             tlse_spots10             86.26   -3.96  0.1226  0.157  0.565    634    277  0.965
tlse             tlse_spots20             81.47   -8.75  0.1470  0.160  0.625   1111    322  1.082
white noise      snr12                    89.67   -0.54  0.0980  0.146  0.518    244    195  1.000
white noise      snr10                    89.25   -0.96  0.1029  0.151  0.518    294    207  1.000
white noise      snr8                     88.50   -1.72  0.1088  0.155  0.516    398    243  1.000
white noise      snr5                     86.20   -4.02  0.1249  0.160  0.511    656    294  1.000
correlated noise snr12                    89.03   -1.19  0.1030  0.147  0.517    319    212  1.000
correlated noise snr10                    87.77   -2.45  0.1114  0.146  0.519    461    240  1.000
correlated noise snr8                     86.01   -4.20  0.1240  0.150  0.520    681    302  1.000
correlated noise snr5                     80.18  -10.04  0.1525  0.121  0.534   1223    318  1.000
gain ramp        x0.25                    90.42   +0.20  0.0932  0.142  0.517     65     83  0.996
gain ramp        x0.5                     90.21   -0.01  0.0942  0.143  0.518    119    118  1.009
gain ramp        x1.0                     90.05   -0.17  0.0965  0.149  0.519    191    176  1.010
gain ramp        x2.0                     88.86   -1.35  0.1080  0.160  0.535    360    238  1.034
baseline offset  x0.25                    90.22   +0.00  0.0931  0.141  0.517      4      4  1.000
baseline offset  x0.5                     90.12   -0.10  0.0931  0.141  0.517     15      6  1.000
baseline offset  x1.0                     90.21   -0.01  0.0931  0.141  0.517     12     11  1.000
baseline offset  x2.0                     90.17   -0.04  0.0931  0.142  0.517     17     13  1.000
absolute noise   20 ppm                   87.60   -2.62  0.0944  0.088  0.526    577    341  1.000
absolute noise   50 ppm                   86.41   -3.80  0.1029  0.086  0.534    699    356  1.000
absolute noise   100 ppm                  84.80   -5.41  0.1110  0.084  0.537    818    330  1.000
absolute noise   200 ppm                  83.30   -6.92  0.1197  0.082  0.536    968    344  1.000
noise colouring  white snr15              90.52   +0.30  0.0913  0.137  0.519    275    302  1.000
noise colouring  ariel snr15              90.30   +0.08  0.0922  0.138  0.519    273    280  1.000
noise colouring  exosim snr15             90.14   -0.08  0.0931  0.141  0.518    277    270  1.000
noise colouring  white snr10              89.23   -0.99  0.1028  0.146  0.517    387    298  1.000
noise colouring  ariel snr10              89.45   -0.77  0.1026  0.153  0.519    357    288  1.000
noise colouring  exosim snr10             89.36   -0.85  0.1036  0.153  0.517    371    294  1.000
noise colouring  white snr7               87.70   -2.52  0.1130  0.153  0.513    543    316  1.000
noise colouring  ariel snr7               88.12   -2.10  0.1124  0.160  0.517    490    301  1.000
noise colouring  exosim snr7              87.99   -2.23  0.1135  0.159  0.519    501    300  1.000
noise colouring  white snr5               85.91   -4.30  0.1262  0.159  0.512    690    302  1.000
noise colouring  ariel snr5               86.68   -3.54  0.1248  0.165  0.514    621    302  1.000
noise colouring  exosim snr5              86.70   -3.52  0.1256  0.167  0.513    632    315  1.000
