axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9016,0.9155944986690329,0.9012636538873421,0.9334516415261757,0.9170752969379972,0.05890472599914957,0.015637775866311036,0.9772678601937282,0.5178571428571429,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9016,0.5720940550133097,0.5888949671772429,0.4775953859804791,0.527437530622244,0.2813122386609265,0.18686175605814367,0.6166881228205954,0.40550133096716945,3425,328,0.026366339226916904,-34.350044365572316,0.2224075126617769
cloud,cloud_1e2Pa,9016,0.7728482697426797,0.8682634730538922,0.6433007985803016,0.7390417940876657,0.1549093060954223,0.11909968452040044,0.8957452353264905,0.37045252883762203,1607,320,0.28634067766703464,-14.274622892635314,0.09600458009627275
cloud,cloud_1e3Pa,9016,0.8559228039041704,0.9096247127904008,0.7903726708074534,0.8458160237388724,0.10253281234556814,0.07747938022944573,0.9489803545545374,0.4344498669032831,785,247,0.5717249819238182,-5.967169476486244,0.04362808634641858
cloud,cloud_1e4Pa,9016,0.8952972493345164,0.9109778597785978,0.8762200532386868,0.8932609678878336,0.07392508411840462,0.03642183725655309,0.9664293449720462,0.48092280390417036,344,161,0.8042534307708107,-2.0297249334516487,0.015020358119255055
cloud,cloud_1e5Pa,9016,0.9120452528837621,0.9024918743228603,0.9239130434782609,0.9130768387591801,0.0611399952912562,0.015677512682023213,0.9749304253741157,0.5118677905944987,94,62,0.9447360468223549,-0.3549245785270716,0.0022352692921066356
exomol,exomol,9016,0.8036823425022183,0.9194240196078431,0.6657054125998225,0.7722593926917138,0.14551190074061696,0.12633378645353086,0.9220052648195577,0.36202307009760426,1353,344,0.8639017328480699,-11.191215616681461,0.0866071747414674
exotransmit,exotransmit,9016,0.9001774622892635,0.9349083895853423,0.860248447204969,0.8960258780036968,0.07221448886890106,0.04042885479669931,0.9696191538418539,0.4600709849157054,389,250,0.8865545154286638,-1.5417036379769322,0.013309762869751489
haze,haze_1p0e10,9016,0.5263975155279503,0.6355353075170843,0.12377994676131322,0.2072038618640921,0.3677516091017977,0.32003687981523554,0.5389514322954597,0.0973824312333629,3916,407,0.47443118578645493,-38.91969831410825,0.30884688310264813
haze,haze_2p0e5,9016,0.9160381543921916,0.8996377583635201,0.9365572315882875,0.9177263340941202,0.05894238445183412,0.016033168261049197,0.9772263289791825,0.5205190771960958,46,50,0.9872525062901267,0.044365572315874235,3.765845268455248e-05
haze,haze_2p0e6,9016,0.9110470275066548,0.8820618556701031,0.9489795918367347,0.9142979269074588,0.06481899396702816,0.032084463879333,0.9720444488315755,0.5379325643300799,184,143,0.9468519816610971,-0.45474711623780806,0.005914267967878591
haze,haze_2p4e8,9016,0.7283717834960071,0.7673331602181251,0.6555013309671694,0.7070223710970212,0.17898842954252644,0.07394234676611508,0.8229950707762755,0.4271295474711624,2008,320,0.7791830149746954,-18.72227151730258,0.12008370354337689
haze,haze_3p0e7,9016,0.860581188997338,0.805717509873989,0.9503105590062112,0.87206106870229,0.10418227853041637,0.09366788903216995,0.9438956102096716,0.5897293700088732,738,242,0.8939377018390666,-5.501330967169482,0.0452775525312668
