Domain shift, configuration ariel, frozen pipeline pca_xgb; clean paired baseline 91.56% (Brier 0.0589, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                91.56   +0.00  0.0589  0.016  0.518      0      0  1.000
cloud            cloud_1e1Pa              57.21  -34.35  0.2813  0.187  0.406   3425    328  0.026
cloud            cloud_1e2Pa              77.28  -14.27  0.1549  0.119  0.370   1607    320  0.286
cloud            cloud_1e3Pa              85.59   -5.97  0.1025  0.077  0.434    785    247  0.572
cloud            cloud_1e4Pa              89.53   -2.03  0.0739  0.036  0.481    344    161  0.804
cloud            cloud_1e5Pa              91.20   -0.35  0.0611  0.016  0.512     94     62  0.945
exomol           exomol                   80.37  -11.19  0.1455  0.126  0.362   1353    344  0.864
exotransmit      exotransmit              90.02   -1.54  0.0722  0.040  0.460    389    250  0.887
haze             haze_1p0e10              52.64  -38.92  0.3678  0.320  0.097   3916    407  0.474
haze             haze_2p0e5               91.60   +0.04  0.0589  0.016  0.521     46     50  0.987
haze             haze_2p0e6               91.10   -0.45  0.0648  0.032  0.538    184    143  0.947
haze             haze_2p4e8               72.84  -18.72  0.1790  0.074  0.427   2008    320  0.779
haze             haze_3p0e7               86.06   -5.50  0.1042  0.094  0.590    738    242  0.894
quenched         quenched                 97.50   +5.94  0.0223  0.013  0.509     39    575  0.993
tlse             tlse_fac05               90.32   -1.24  0.0691  0.024  0.495    247    135  1.017
tlse             tlse_fac10               89.09   -2.47  0.0798  0.041  0.472    398    175  1.039
tlse             tlse_mixed               88.03   -3.53  0.0829  0.025  0.522    564    246  0.962
tlse             tlse_spots02             91.03   -0.53  0.0638  0.016  0.521    171    123  0.982
tlse             tlse_spots05             89.44   -2.12  0.0731  0.020  0.526    387    196  0.967
tlse             tlse_spots10             87.68   -3.88  0.0846  0.030  0.541    603    253  0.965
tlse             tlse_spots20             83.62   -7.94  0.1146  0.077  0.591   1013    297  1.082
white noise      snr12                    91.13   -0.43  0.0622  0.018  0.524    216    177  1.000
white noise      snr10                    90.56   -1.00  0.0670  0.021  0.525    296    206  1.000
white noise      snr8                     90.08   -1.48  0.0709  0.025  0.532    398    265  1.000
white noise      snr5                     87.81   -3.75  0.0851  0.030  0.534    622    284  1.000
correlated noise snr12                    90.74   -0.82  0.0668  0.021  0.523    299    225  1.000
correlated noise snr10                    89.27   -2.28  0.0769  0.031  0.529    469    263  1.000
correlated noise snr8                     86.82   -4.74  0.0937  0.043  0.530    700    273  1.000
correlated noise snr5                     81.85   -9.70  0.1368  0.081  0.543   1179    304  1.000
gain ramp        x0.25                    91.60   +0.04  0.0593  0.014  0.518     71     75  0.996
gain ramp        x0.5                     91.71   +0.16  0.0592  0.015  0.519    117    131  1.009
gain ramp        x1.0                     91.47   -0.09  0.0608  0.019  0.524    188    180  1.010
gain ramp        x2.0                     89.69   -1.87  0.0731  0.033  0.543    417    248  1.034
baseline offset  x0.25                    91.53   -0.03  0.0590  0.016  0.518      5      2  1.000
baseline offset  x0.5                     91.54   -0.02  0.0589  0.016  0.518      6      4  1.000
baseline offset  x1.0                     91.49   -0.07  0.0589  0.016  0.517     16     10  1.000
baseline offset  x2.0                     91.55   -0.01  0.0589  0.015  0.517     18     17  1.000
absolute noise   20 ppm                   88.94   -2.62  0.0784  0.040  0.510    592    356  1.000
absolute noise   50 ppm                   87.60   -3.96  0.0886  0.047  0.522    713    356  1.000
absolute noise   100 ppm                  86.28   -5.28  0.1022  0.060  0.529    838    362  1.000
absolute noise   200 ppm                  84.67   -6.89  0.1165  0.072  0.532    976    355  1.000
noise colouring  white snr15              91.74   +0.18  0.0586  0.016  0.516    308    324  1.000
noise colouring  ariel snr15              91.57   +0.01  0.0589  0.017  0.520    320    321  1.000
noise colouring  exosim snr15             91.24   -0.32  0.0598  0.018  0.524    337    308  1.000
noise colouring  white snr10              90.53   -1.03  0.0668  0.020  0.524    403    310  1.000
noise colouring  ariel snr10              90.62   -0.94  0.0659  0.022  0.528    388    303  1.000
noise colouring  exosim snr10             90.54   -1.02  0.0665  0.023  0.531    391    299  1.000
noise colouring  white snr7               89.25   -2.31  0.0772  0.026  0.527    522    314  1.000
noise colouring  ariel snr7               89.27   -2.28  0.0751  0.028  0.534    507    301  1.000
noise colouring  exosim snr7              89.09   -2.47  0.0756  0.028  0.535    527    304  1.000
noise colouring  white snr5               87.36   -4.20  0.0903  0.035  0.533    688    309  1.000
noise colouring  ariel snr5               88.18   -3.38  0.0856  0.033  0.539    610    305  1.000
noise colouring  exosim snr5              87.90   -3.66  0.0863  0.034  0.540    637    307  1.000
