axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9016,0.8619121561668146,0.8263652730546109,0.9163708961845608,0.8690438624171662,0.09461958247066941,0.03466060337178353,0.9430798958216056,0.5544587400177462,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9016,0.5449201419698314,0.6173913043478261,0.23624667258207632,0.34172950425156423,0.2566341627230602,0.1337122892635315,0.6258978418727548,0.1913265306122449,3559,701,0.026366339226916904,-31.69920141969832,0.1620145802523908
cloud,cloud_1e2Pa,9016,0.6940993788819876,0.794414535666218,0.5237355811889973,0.631283422459893,0.1912122054618949,0.12292517006802722,0.8193262751263849,0.32963620230700974,2019,506,0.28634067766703464,-16.781277728482703,0.0965926229912255
cloud,cloud_1e3Pa,9016,0.7792812777284827,0.8153807615230461,0.7220496894409938,0.7658823529411765,0.14718816301883073,0.10166038154392193,0.8825033717047639,0.4427684117125111,1004,259,0.5717249819238182,-8.263087843833194,0.05256858054816131
cloud,cloud_1e4Pa,9016,0.8291925465838509,0.8220486111111112,0.8402839396628217,0.8310662571303203,0.11801211303361923,0.06020666962437148,0.9153081842474268,0.5110913930789707,403,108,0.8042534307708107,-3.2719609582963716,0.02339253056294982
cloud,cloud_1e5Pa,9016,0.853039041703638,0.8248622167789345,0.8964063886424135,0.8591474433932178,0.10018968993394459,0.0329355220349009,0.9362053972470512,0.5433673469387755,104,24,0.9447360468223549,-0.8873114463176623,0.005570107463275173
exomol,exomol,9016,0.8294143744454303,0.8353658536585366,0.8205412599822538,0.8278871978513876,0.12182021344769792,0.08151952085181899,0.9151286257143958,0.49112688553682343,505,212,0.8639017328480699,-3.249778172138429,0.027200630977028503
exotransmit,exotransmit,9016,0.8694543034605147,0.8515938357610302,0.8948535936113576,0.8726879394267172,0.0951381038647343,0.05809043182490391,0.945412705126802,0.525399290150843,164,232,0.8865545154286638,0.7542147293700063,0.0005185213940648858
haze,haze_1p0e10,9016,0.5377107364685004,0.6571164510166358,0.15771960958296363,0.25438282647584975,0.2609905082322784,0.12742901508429458,0.596224674816495,0.12000887311446318,3652,729,0.47443118578645493,-32.42014196983142,0.16637092576160895
haze,haze_2p0e5,9016,0.860581188997338,0.8239984054215667,0.917036379769299,0.8680314960629921,0.09504479936902296,0.034890564921620855,0.9427184167907354,0.5564551907719609,20,8,0.9872525062901267,-0.133096716947656,0.00042521689835355037
haze,haze_2p0e6,9016,0.8559228039041704,0.8154118340868881,0.9201419698314108,0.864616988014591,0.0979393843044464,0.04352188701567583,0.9401656987203664,0.5642191659272404,79,25,0.9468519816610971,-0.5989352262644188,0.003319801833776989
haze,haze_2p4e8,9016,0.8222049689440993,0.8083209509658247,0.84472049689441,0.8261199696279423,0.14641463694173323,0.1474641378290447,0.8884672098267183,0.5225155279503105,539,181,0.7791830149746954,-3.970718722271527,0.05179505447106382
