Domain shift, configuration ariel, frozen pipeline raw_rf; clean paired baseline 86.19% (Brier 0.0946, n=9016)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                86.19   +0.00  0.0946  0.035  0.554      0      0  1.000
cloud            cloud_1e1Pa              54.49  -31.70  0.2566  0.134  0.191   3559    701  0.026
cloud            cloud_1e2Pa              69.41  -16.78  0.1912  0.123  0.330   2019    506  0.286
cloud            cloud_1e3Pa              77.93   -8.26  0.1472  0.102  0.443   1004    259  0.572
cloud            cloud_1e4Pa              82.92   -3.27  0.1180  0.060  0.511    403    108  0.804
cloud            cloud_1e5Pa              85.30   -0.89  0.1002  0.033  0.543    104     24  0.945
exomol           exomol                   82.94   -3.25  0.1218  0.082  0.491    505    212  0.864
exotransmit      exotransmit              86.95   +0.75  0.0951  0.058  0.525    164    232  0.887
haze             haze_1p0e10              53.77  -32.42  0.2610  0.127  0.120   3652    729  0.474
haze             haze_2p0e5               86.06   -0.13  0.0950  0.035  0.556     20      8  0.987
haze             haze_2p0e6               85.59   -0.60  0.0979  0.044  0.564     79     25  0.947
haze             haze_2p4e8               82.22   -3.97  0.1464  0.147  0.523    539    181  0.779
haze             haze_3p0e7               85.13   -1.06  0.1120  0.079  0.577    181     85  0.894
quenched         quenched                 94.17   +7.97  0.0539  0.066  0.508     85    804  0.993
tlse             tlse_fac05               86.21   +0.02  0.0952  0.034  0.552    100    102  1.017
tlse             tlse_fac10               85.80   -0.39  0.0964  0.035  0.549    193    158  1.039
tlse             tlse_mixed               85.50   -0.69  0.0991  0.039  0.539    526    464  0.962
tlse             tlse_spots02             86.41   +0.22  0.0957  0.034  0.552    208    228  0.982
tlse             tlse_spots05             86.25   +0.06  0.0965  0.036  0.548    392    397  0.967
tlse             tlse_spots10             85.19   -1.00  0.1004  0.040  0.537    557    467  0.965
tlse             tlse_spots20             83.83   -2.36  0.1109  0.049  0.515    699    486  1.082
white noise      snr12                    86.31   +0.12  0.0957  0.043  0.550     63     74  1.000
white noise      snr10                    86.48   +0.29  0.0968  0.051  0.550     78    104  1.000
white noise      snr8                     86.30   +0.11  0.0996  0.067  0.551    105    115  1.000
white noise      snr5                     86.34   +0.14  0.1110  0.112  0.537    200    213  1.000
correlated noise snr12                    86.08   -0.11  0.0960  0.041  0.552    108     98  1.000
correlated noise snr10                    85.99   -0.20  0.0986  0.045  0.547    153    135  1.000
correlated noise snr8                     86.30   +0.11  0.1021  0.056  0.541    210    220  1.000
correlated noise snr5                     84.25   -1.94  0.1209  0.089  0.524    459    284  1.000
gain ramp        x0.25                    86.15   -0.04  0.0947  0.035  0.552     30     26  0.996
gain ramp        x0.5                     86.28   +0.09  0.0947  0.036  0.552     39     47  1.009
gain ramp        x1.0                     86.15   -0.04  0.0959  0.036  0.552     73     69  1.010
gain ramp        x2.0                     86.05   -0.14  0.0971  0.046  0.548    135    122  1.034
baseline offset  x0.25                    86.19   +0.00  0.0947  0.036  0.553     27     27  1.000
baseline offset  x0.5                     86.40   +0.21  0.0945  0.035  0.553     47     66  1.000
baseline offset  x1.0                     86.28   +0.09  0.0950  0.033  0.549     96    104  1.000
baseline offset  x2.0                     86.37   +0.18  0.0956  0.035  0.552    158    174  1.000
absolute noise   20 ppm                   85.33   -0.87  0.0985  0.028  0.557    277    199  1.000
absolute noise   50 ppm                   85.03   -1.16  0.1032  0.033  0.548    386    281  1.000
absolute noise   100 ppm                  83.48   -2.71  0.1100  0.036  0.538    536    292  1.000
absolute noise   200 ppm                  81.83   -4.36  0.1194  0.044  0.523    723    330  1.000
noise colouring  white snr15              86.26   +0.07  0.0949  0.036  0.550     87     93  1.000
noise colouring  ariel snr15              86.41   +0.22  0.0947  0.036  0.551     77     97  1.000
noise colouring  exosim snr15             86.31   +0.12  0.0948  0.037  0.551     80     91  1.000
noise colouring  white snr10              86.48   +0.29  0.0970  0.053  0.551    101    127  1.000
noise colouring  ariel snr10              86.40   +0.21  0.0964  0.050  0.552     95    114  1.000
noise colouring  exosim snr10             86.45   +0.26  0.0965  0.051  0.551     96    119  1.000
noise colouring  white snr7               86.47   +0.28  0.1016  0.078  0.545    143    168  1.000
noise colouring  ariel snr7               86.58   +0.39  0.1005  0.073  0.547    127    162  1.000
noise colouring  exosim snr7              86.61   +0.42  0.1007  0.074  0.547    124    162  1.000
noise colouring  white snr5               86.24   +0.04  0.1121  0.114  0.538    216    220  1.000
noise colouring  ariel snr5               86.54   +0.34  0.1089  0.109  0.542    175    206  1.000
noise colouring  exosim snr5              86.49   +0.30  0.1094  0.111  0.541    182    209  1.000
