Reliability envelope of the randomized screen (norm xgb/rf/mlp trained on the randomized grid), configuration ariel
Decline thresholds: 10% of clean test planets declined, per score, fixed on clean data only.

accepted = accuracy of the planets kept; cov = share kept; credit = accepted minus the CLEAN accepted accuracy at the same
coverage (what declining low-score planets buys on clean data anyway). in/OUT = inside the randomized training range.

--- score: ensemble
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     96.82   90.0   +0.00      0.865
cloud_1e5Pa                         in   95.00     96.80   89.4   -0.14      0.859
cloud_1e4Pa                         in   94.13     97.00   84.7   -0.59      0.855
cloud_1e3Pa                         in   92.45     96.92   71.9   -2.16      0.808
cloud_1e2Pa                        OUT   86.39     94.21   51.5   -5.51      0.736
cloud_1e1Pa                        OUT   64.53     72.61   17.0  -27.39      0.569
haze_2p0e5                          in   95.06     96.78   90.4   -0.04      0.865
haze_2p0e6                          in   94.74     96.42   90.2   -0.39      0.860
haze_3p0e7                          in   93.90     96.00   88.5   -1.08      0.855
haze_2p4e8                          in   92.83     95.88   82.4   -1.98      0.812
haze_1p0e10                        OUT   66.59     75.95   23.5  -24.05      0.627
tlse_spots02                        in   94.68     96.69   89.7   -0.20      0.864
tlse_spots05                        in   94.06     96.52   88.0   -0.68      0.864
tlse_spots10                        in   92.92     96.01   85.6   -1.46      0.863
tlse_spots20                        in   91.59     95.85   81.8   -2.14      0.850
tlse_mixed                         OUT   93.13     96.03   85.7   -1.44      0.862
tlse_fac10                         OUT   93.52     97.13   83.4   -0.64      0.881
quenched                            in   98.20     98.41   98.5   +3.02      0.876
exotransmit                        OUT   89.65     97.11   81.1   -0.94      0.910
exomol                             OUT   88.83     95.90   51.2   -3.81      0.775
compound_spots10_haze3e7            in   92.54     95.73   84.4   -1.91      0.842
compound_spots20_haze3e7            in   90.69     94.91   82.0   -3.05      0.821
absorbers                          OUT   75.03     83.80   72.8  -15.12      0.837
absorbers_quenched                 OUT   75.37     85.59   75.6  -13.14      0.894
white_snr12                         in   94.21     96.61   86.7   -0.70      0.862
white_snr8                          in   92.22     96.41   78.6   -1.96      0.833
white_snr5                          in   90.48     95.97   55.3   -3.67      0.749
correlated_snr12                    in   93.09     95.69   87.3   -1.57      0.870
correlated_snr8                     in   91.10     95.96   78.8   -2.41      0.846
correlated_snr5                     in   86.89     95.24   62.4   -4.32      0.804
   over shifted cases: worst accepted 72.61%, mean coverage 75.8%, mean credit -4.12

--- score: margin
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     98.08   90.0   +0.00      0.918
cloud_1e5Pa                         in   95.00     97.97   90.2   -0.09      0.916
cloud_1e4Pa                         in   94.13     97.55   89.1   -0.71      0.909
cloud_1e3Pa                         in   92.45     96.70   86.1   -1.88      0.894
cloud_1e2Pa                        OUT   86.39     93.01   78.6   -6.21      0.845
cloud_1e1Pa                        OUT   64.53     71.59   60.3  -28.11      0.648
haze_2p0e5                          in   95.06     98.08   90.1   +0.01      0.918
haze_2p0e6                          in   94.74     97.80   90.3   -0.25      0.916
haze_3p0e7                          in   93.90     97.13   89.7   -1.04      0.909
haze_2p4e8                          in   92.83     96.81   87.9   -1.60      0.903
haze_1p0e10                        OUT   66.59     80.13   42.3  -19.84      0.678
tlse_spots02                        in   94.68     97.84   89.9   -0.27      0.919
tlse_spots05                        in   94.06     97.50   89.4   -0.71      0.916
tlse_spots10                        in   92.92     96.78   88.8   -1.56      0.914
tlse_spots20                        in   91.59     96.63   86.1   -1.96      0.906
tlse_mixed                         OUT   93.13     96.95   88.8   -1.37      0.913
tlse_fac10                         OUT   93.52     96.77   89.5   -1.44      0.912
quenched                            in   98.20     98.47   99.1   +2.96      0.919
exotransmit                        OUT   89.65     93.25   93.2   -4.20      0.943
exomol                             OUT   88.83     95.59   80.4   -3.48      0.881
compound_spots10_haze3e7            in   92.54     96.66   87.4   -1.85      0.903
compound_spots20_haze3e7            in   90.69     95.96   85.5   -2.65      0.896
absorbers                          OUT   75.03     77.08   85.8  -21.50      0.713
absorbers_quenched                 OUT   75.37     77.03   92.8  -20.55      0.799
white_snr12                         in   94.21     97.56   89.8   -0.59      0.917
white_snr8                          in   92.22     96.17   89.6   -2.02      0.915
white_snr5                          in   90.48     95.16   87.1   -3.38      0.892
correlated_snr12                    in   93.09     96.68   90.6   -1.32      0.922
correlated_snr8                     in   91.10     94.56   90.6   -3.44      0.896
correlated_snr5                     in   86.89     90.69   88.9   -7.61      0.856
   over shifted cases: worst accepted 71.59%, mean coverage 86.1%, mean credit -4.71

--- score: mahalanobis
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     94.82   90.0   +0.00      0.435
cloud_1e5Pa                         in   95.00     94.53   85.1   -0.07      0.418
cloud_1e4Pa                         in   94.13     93.00   62.0   -0.57      0.433
cloud_1e3Pa                         in   92.45     92.13   20.6   -4.58      0.523
cloud_1e2Pa                        OUT   86.39     94.92    1.3   -1.69      0.636
cloud_1e1Pa                        OUT   64.53    100.00    0.0   +0.00      0.600
haze_2p0e5                          in   95.06     94.66   88.6   -0.11      0.436
haze_2p0e6                          in   94.74     93.92   81.7   -0.54      0.442
haze_3p0e7                          in   93.90     92.95   70.6   -1.01      0.477
haze_2p4e8                          in   92.83     93.34   41.2   -0.92      0.516
haze_1p0e10                        OUT   66.59     91.08    4.2   -5.25      0.613
tlse_spots02                        in   94.68     94.39   86.0   -0.25      0.488
tlse_spots05                        in   94.06     93.80   82.6   -0.71      0.505
tlse_spots10                        in   92.92     92.63   80.4   -1.77      0.503
tlse_spots20                        in   91.59     90.98   82.6   -3.53      0.426
tlse_mixed                         OUT   93.13     93.10   78.0   -1.19      0.523
tlse_fac10                         OUT   93.52     93.20   91.1   -1.66      0.434
quenched                            in   98.20     97.96   80.3   +3.56      0.382
exotransmit                        OUT   89.65     88.22   54.2   -5.34      0.484
exomol                             OUT   88.83     97.01    3.3   +0.33      0.788
compound_spots10_haze3e7            in   92.54     91.78   80.7   -2.61      0.471
compound_spots20_haze3e7            in   90.69     90.24   89.4   -4.55      0.436
absorbers                          OUT   75.03     93.62   62.3   +0.02      0.873
absorbers_quenched                 OUT   75.37     98.41   42.4   +4.21      0.923
white_snr12                         in   94.21     93.18   46.7   -0.52      0.428
white_snr8                          in   92.22     92.86    0.2   -7.14      0.458
white_snr5                          in   90.48       nan    0.0    +nan      0.453
correlated_snr12                    in   93.09     91.85   76.9   -2.41      0.443
correlated_snr8                     in   91.10     91.03   34.8   -4.02      0.465
correlated_snr5                     in   86.89     89.47    5.9   -7.52      0.499
   over shifted cases: worst accepted 88.22%, mean coverage 52.9%, mean credit -1.78

--- score: knn
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   95.12     94.64   90.0   +0.00      0.415
cloud_1e5Pa                         in   95.00     94.40   87.4   -0.09      0.387
cloud_1e4Pa                         in   94.13     92.92   70.0   -0.62      0.397
cloud_1e3Pa                         in   92.45     91.70   37.0   -3.03      0.509
cloud_1e2Pa                        OUT   86.39     87.50    3.5  -10.31      0.639
cloud_1e1Pa                        OUT   64.53     88.89    0.1  -11.11      0.617
haze_2p0e5                          in   95.06     94.52   89.2   -0.07      0.417
haze_2p0e6                          in   94.74     93.95   85.4   -0.43      0.412
haze_3p0e7                          in   93.90     92.44   72.3   -1.23      0.403
haze_2p4e8                          in   92.83     93.11   49.7   -0.04      0.512
haze_1p0e10                        OUT   66.59     91.54    6.6   -6.60      0.628
tlse_spots02                        in   94.68     94.33   86.4   -0.12      0.480
tlse_spots05                        in   94.06     94.11   79.9   +0.04      0.520
tlse_spots10                        in   92.92     93.79   72.1   +0.14      0.584
tlse_spots20                        in   91.59     93.69   64.2   +0.40      0.610
tlse_mixed                         OUT   93.13     94.03   72.1   +0.38      0.582
tlse_fac10                         OUT   93.52     93.24   86.3   -1.20      0.468
quenched                            in   98.20     97.98   82.9   +3.72      0.405
exotransmit                        OUT   89.65     86.25   66.2   -7.14      0.355
exomol                             OUT   88.83     90.25   18.4   -7.28      0.548
compound_spots10_haze3e7            in   92.54     93.82   60.3   +0.83      0.561
compound_spots20_haze3e7            in   90.69     93.46   54.6   +0.51      0.598
absorbers                          OUT   75.03     93.54   66.1   +0.17      0.871
absorbers_quenched                 OUT   75.37     97.84   52.9   +4.88      0.950
white_snr12                         in   94.21     92.58   74.8   -1.14      0.415
white_snr8                          in   92.22     94.35   23.4   -2.75      0.434
white_snr5                          in   90.48       nan    0.0    +nan      0.450
correlated_snr12                    in   93.09     91.29   77.0   -2.58      0.416
correlated_snr8                     in   91.10     90.74   35.1   -4.33      0.431
correlated_snr5                     in   86.89     92.06    3.8   -5.88      0.481
   over shifted cases: worst accepted 86.25%, mean coverage 54.4%, mean credit -1.96

randomized screen on clean data: 95.12% (frozen clean-trained screen: see results/ariel_trust_randomized.txt)
